Time,type_data,unit,Region,category,technology,sub_technology,material,value

2020,inflow,kg/kWh,World,storage,battery,LFP,steel,1.176
2020,inflow,kg/kWh,World,storage,battery,LFP,aluminium,0.418
2020,inflow,kg/kWh,World,storage,battery,LFP,concrete,0
2020,inflow,kg/kWh,World,storage,battery,LFP,plastics,0.835
2020,inflow,kg/kWh,World,storage,battery,LFP,glass,0
2020,inflow,kg/kWh,World,storage,battery,LFP,copper,0.418
2020,inflow,kg/kWh,World,storage,battery,LFP,neodymium,0
2020,inflow,kg/kWh,World,storage,battery,LFP,cobalt,0
2020,inflow,kg/kWh,World,storage,battery,LFP,lead,0
2020,inflow,kg/kWh,World,storage,battery,LFP,lithium,0.111
2020,inflow,kg/kWh,World,storage,battery,LFP,nickel,0
2020,inflow,kg/kWh,World,storage,battery,LFP,manganese,0
2020,inflow,kg/kWh,World,storage,battery,LFP,graphite,1.34
2020,inflow,kg/kWh,World,storage,battery,LFP,phosphorous,0.38

2020,inflow,kg/kWh,World,storage,battery,NMC333,steel,1.094
2020,inflow,kg/kWh,World,storage,battery,NMC333,aluminium,0.191
2020,inflow,kg/kWh,World,storage,battery,NMC333,concrete,0
2020,inflow,kg/kWh,World,storage,battery,NMC333,plastics,0.428
2020,inflow,kg/kWh,World,storage,battery,NMC333,glass,0
2020,inflow,kg/kWh,World,storage,battery,NMC333,copper,0.511
2020,inflow,kg/kWh,World,storage,battery,NMC333,lead,0
2020,inflow,kg/kWh,World,storage,battery,NMC333,cobalt,0.394
2020,inflow,kg/kWh,World,storage,battery,NMC333,lithium,0.152
2020,inflow,kg/kWh,World,storage,battery,NMC333,nickel,0.39
2020,inflow,kg/kWh,World,storage,battery,NMC333,manganese,0.37
2020,inflow,kg/kWh,World,storage,battery,NMC333,graphite,0.87
2020,inflow,kg/kWh,World,storage,battery,NMC333,neodymium,0
2020,inflow,kg/kWh,World,storage,battery,NMC333,phosphorous,0

2020,inflow,kg/kWh,World,storage,battery,NMC532,steel,1.094
2020,inflow,kg/kWh,World,storage,battery,NMC532,aluminium,0.191
2020,inflow,kg/kWh,World,storage,battery,NMC532,concrete,0
2020,inflow,kg/kWh,World,storage,battery,NMC532,plastics,0.428
2020,inflow,kg/kWh,World,storage,battery,NMC532,glass,0
2020,inflow,kg/kWh,World,storage,battery,NMC532,copper,0.511
2020,inflow,kg/kWh,World,storage,battery,NMC532,lead,0
2020,inflow,kg/kWh,World,storage,battery,NMC532,cobalt,0.23
2020,inflow,kg/kWh,World,storage,battery,NMC532,lithium,0.15
2020,inflow,kg/kWh,World,storage,battery,NMC532,nickel,0.494
2020,inflow,kg/kWh,World,storage,battery,NMC532,manganese,0.37
2020,inflow,kg/kWh,World,storage,battery,NMC532,graphite,0
2020,inflow,kg/kWh,World,storage,battery,NMC532,neodymium,0
2020,inflow,kg/kWh,World,storage,battery,NMC532,phosphorous,0

2020,inflow,kg/kWh,World,storage,battery,NMC622,steel,1.094
2020,inflow,kg/kWh,World,storage,battery,NMC622,aluminium,0.191
2020,inflow,kg/kWh,World,storage,battery,NMC622,concrete,0
2020,inflow,kg/kWh,World,storage,battery,NMC622,plastics,0.428
2020,inflow,kg/kWh,World,storage,battery,NMC622,glass,0
2020,inflow,kg/kWh,World,storage,battery,NMC622,copper,0.511
2020,inflow,kg/kWh,World,storage,battery,NMC622,neodymium,0
2020,inflow,kg/kWh,World,storage,battery,NMC622,cobalt,0.214
2020,inflow,kg/kWh,World,storage,battery,NMC622,lead,0
2020,inflow,kg/kWh,World,storage,battery,NMC622,lithium,0.1368
2020,inflow,kg/kWh,World,storage,battery,NMC622,nickel,0.62
2020,inflow,kg/kWh,World,storage,battery,NMC622,manganese,0.2
2020,inflow,kg/kWh,World,storage,battery,NMC622,graphite,0
2020,inflow,kg/kWh,World,storage,battery,NMC622,phosphorous,0

2020,inflow,kg/kWh,World,storage,battery,NMC811,steel,1.094
2020,inflow,kg/kWh,World,storage,battery,NMC811,aluminium,0.191
2020,inflow,kg/kWh,World,storage,battery,NMC811,concrete,0
2020,inflow,kg/kWh,World,storage,battery,NMC811,plastics,0.428
2020,inflow,kg/kWh,World,storage,battery,NMC811,glass,0
2020,inflow,kg/kWh,World,storage,battery,NMC811,copper,0.511
2020,inflow,kg/kWh,World,storage,battery,NMC811,neodymium,0
2020,inflow,kg/kWh,World,storage,battery,NMC811,cobalt,0.094
2020,inflow,kg/kWh,World,storage,battery,NMC811,lead,0
