Time,type_data,unit,Region,category,technology,sub_technology,material,value,min,max
2020,inflow,kg/kWh,World,storage,battery,Na-ion,steel,1.176,1.176,1.176
2020,inflow,kg/kWh,World,storage,battery,Na-ion,aluminium,0.26,0.26,0.26
2020,inflow,kg/kWh,World,storage,battery,Na-ion,plastics,0.835,0.835,0.835
2020,inflow,kg/kWh,World,storage,battery,Na-ion,copper,0.45499999999999996,0.45499999999999996,0.45499999999999996
2020,inflow,kg/kWh,World,storage,battery,Na-ion,cobalt,0,0,0
2020,inflow,kg/kWh,World,storage,battery,Na-ion,lithium,0,0,0
2020,inflow,kg/kWh,World,storage,battery,Na-ion,nickel,0.26,0,0.43
2020,inflow,kg/kWh,World,storage,battery,Na-ion,manganese,0.41,0,0.63
2020,inflow,kg/kWh,World,storage,battery,Na-ion,graphite,0,0,0
2020,inflow,kg/kWh,World,storage,battery,Na-ion,phosphorous,0.0645,0,0.43
2020,inflow,kg/kWh,World,storage,battery,Na-ion,vanadium,0.0975,0,0.65
2020,inflow,kg/kWh,World,storage,battery,Na-ion,sodium,0.42900000000000005,0.27,0.45
2020,inflow,kg/kWh,World,storage,battery,Na-ion,carbon,0.046000000000000006,0,0.5
2020,inflow,kg/kWh,World,storage,battery,Na-ion,titanium,0.11249999999999999,0,0.15
2020,inflow,kg/kWh,World,storage,battery,LFP,steel,1.176,1.176,1.176
2020,inflow,kg/kWh,World,storage,battery,LFP,aluminium,0.26,0.26,0.418
2020,inflow,kg/kWh,World,storage,battery,LFP,plastics,0.835,0.835,0.835
2020,inflow,kg/kWh,World,storage,battery,LFP,copper,0.45499999999999996,0.418,0.48
2020,inflow,kg/kWh,World,storage,battery,LFP,cobalt,0,0,0
2020,inflow,kg/kWh,World,storage,battery,LFP,lithium,0.111,0.09,0.53
2020,inflow,kg/kWh,World,storage,battery,LFP,nickel,0,0,0
2020,inflow,kg/kWh,World,storage,battery,LFP,manganese,0,0,0
2020,inflow,kg/kWh,World,storage,battery,LFP,graphite,1.4100000000000001,0.96,1.86
2020,inflow,kg/kWh,World,storage,battery,LFP,phosphorous,0.385,0.38,0.39
2020,inflow,kg/kWh,World,storage,battery,high-nickel,steel,1.1145,1.094,1.176
2020,inflow,kg/kWh,World,storage,battery,high-nickel,aluminium,0.24775000000000003,0.191,0.418
2020,inflow,kg/kWh,World,storage,battery,high-nickel,plastics,0.5297499999999999,0.428,0.835
2020,inflow,kg/kWh,World,storage,battery,high-nickel,copper,0.45075,0.27,0.511
2020,inflow,kg/kWh,World,storage,battery,high-nickel,cobalt,0.131175,0.094,0.214
2020,inflow,kg/kWh,World,storage,battery,high-nickel,lithium,0.17535000000000003,0.046,0.394
2020,inflow,kg/kWh,World,storage,battery,high-nickel,nickel,0.68445,0.62,0.75
2020,inflow,kg/kWh,World,storage,battery,high-nickel,manganese,0.11679999999999999,0,0.2
2020,inflow,kg/kWh,World,storage,battery,high-nickel,graphite,0.87,0.87,0.87
2020,inflow,kg/kWh,World,storage,battery,high-nickel,phosphorous,0,0,0
2020,inflow,kg/kWh,World,storage,battery,low-nickel,steel,1.094,1.094,1.094
2020,inflow,kg/kWh,World,storage,battery,low-nickel,aluminium,0.191,0.191,0.191
2020,inflow,kg/kWh,World,storage,battery,low-nickel,plastics,0.428,0.428,0.428
2020,inflow,kg/kWh,World,storage,battery,low-nickel,copper,0.511,0.511,0.511
2020,inflow,kg/kWh,World,storage,battery,low-nickel,cobalt,0.2985,0.20500000000000002,0.392
2020,inflow,kg/kWh,World,storage,battery,low-nickel,lithium,0.133,0.13,0.136
2020,inflow,kg/kWh,World,storage,battery,low-nickel,nickel,0.466,0.39,0.542
2020,inflow,kg/kWh,World,storage,battery,low-nickel,manganese,0.33999999999999997,0.32999999999999996,0.35
2020,inflow,kg/kWh,World,storage,battery,low-nickel,graphite,0.87,0.87,0.87
2020,inflow,kg/kWh,World,storage,battery,low-nickel,phosphorous,0,0,0
2020,inflow,kg/kWh,World,storage,mechanical_storage,PHS,steel,15.211222222222224,2,25.417
2020,inflow,kg/kWh,World,storage,mechanical_storage,PHS,aluminium,0.093,0.030000000000000002,0.18000000000000002
2020,inflow,kg/kWh,World,storage,mechanical_storage,PHS,concrete,1083.580760095012,250,1600
2020,inflow,kg/kWh,World,storage,mechanical_storage,PHS,copper,0.5381666666666667,0.49333333333333335,0.583
