Cohort,Type,unit,steel,aluminium,concrete,plastics,glass,copper,neodymium,cobalt,lead
2000,Flywheel,wt%,0.608582773,0.20239317,0,0,0,0.013558201,0.006416159,0,0
2000,Compressed Air,wt%,0.984282243,0.007689705,0,0,0,0.008028052,0,0,0
2000,Hydrogen FC,wt%,0.961674445,0.00471409,0,0,0,0.017677839,0,0,0
2000,NiMH,wt%,0.1,0.00255,0,0.21,0,0.01769956,0.047101968,0.00255,0
2000,Deep-cycle Lead-Acid,wt%,0,0,0,0.1,0.02,0,0,0,0.61
2000,LMO,wt%,0.2147,0.0374,0,0.0839875,0,0.1003,0,0,0
2000,NMC,wt%,0.2147,0.0374,0,0.0839875,0,0.1003,0,0.076449528,0
2000,NCA,wt%,0.007413299,0.243716195,0,0,0,0.124721604,0,0.031307668,0
2000,LFP,wt%,0.140880503,0.05,0,0.1,0,0.05,0,0,0
2000,LTO,wt%,0.045,0.1398492,0,0.0618742,0,0,0,0,0
2000,Zinc-Bromide,wt%,0.15,0,0,0.043,0,0.01,0,0,0
2000,Vanadium Redox,wt%,0.106,0,0,0.043,0,0.008,0,0,0
2000,Sodium-Sulfur,wt%,0.128,0.227,0,0.08,0.043,0.034,0,0,0
2000,ZEBRA,wt%,0.304,0.111334308,0,0.022,0,0.035,0,0,0
2000,Lithium Sulfur,wt%,0.0053,0.1838,0,0.0407,0,0.0782,0,0,0
2000,Lithium Ceramic,wt%,0.0053,0.1838,0,0.0407,0,0.0782,0,0.020989311,0
2000,Lithium-air,wt%,0,0,0,0.305731707,0,0.093719512,0,0.009359756,0
2000,PHS,wt%,0.948384508,0.003226686,0,0,0,0.021738769,0,0,0
2050,Flywheel,wt%,0.608582773,0.20239317,0,0,0,0.013558201,0.006416159,0,0
2050,Compressed Air,wt%,0.984282243,0.007689705,0,0,0,0.008028052,0,0,0
2050,Hydrogen FC,wt%,0.961674445,0.00471409,0,0,0,0.017677839,0,0,0
2050,NiMH,wt%,0.1,0.00255,0,0.21,0,0.01769956,0.047101968,0.00255,0
2050,Deep-cycle Lead-Acid,wt%,0,0,0,0.1,0.02,0,0,0,0.61
2050,LMO,wt%,0.2147,0.0374,0,0.0839875,0,0.1003,0,0,0
2050,NMC,wt%,0.2147,0.0374,0,0.0839875,0,0.1003,0,0.076449528,0
2050,NCA,wt%,0.007413299,0.243716195,0,0,0,0.124721604,0,0.031307668,0
2050,LFP,wt%,0.140880503,0.05,0,0.1,0,0.05,0,0,0
2050,LTO,wt%,0.045,0.1398492,0,0.0618742,0,0,0,0,0
2050,Zinc-Bromide,wt%,0.15,0,0,0.043,0,0.01,0,0,0
2050,Vanadium Redox,wt%,0.106,0,0,0.043,0,0.008,0,0,0
2050,Sodium-Sulfur,wt%,0.128,0.227,0,0.08,0.043,0.034,0,0,0
2050,ZEBRA,wt%,0.304,0.111334308,0,0.022,0,0.035,0,0,0
2050,Lithium Sulfur,wt%,0.0053,0.1838,0,0.0407,0,0.0782,0,0,0
2050,Lithium Ceramic,wt%,0.0053,0.1838,0,0.0407,0,0.0782,0,0.020989311,0
2050,Lithium-air,wt%,0,0,0,0.305731707,0,0.093719512,0,0.009359756,0
2050,PHS,wt%,0.948384508,0.003226686,0,0,0,0.021738769,0,0,0
