material,Compressed Air,Deep-cycle Lead-Acid,Flywheel,Hydrogen FC,LFP,LMO,LTO,Lithium Ceramic,Lithium Sulfur,Lithium-air,NCA,NMC,NiMH,PHS,Sodium-Sulfur,Vanadium Redox,ZEBRA,Zinc-Bromide
aluminium,0.242,0.0,12.144,0.03,0.387,0.297,1.903,0.554,0.508,0.0,1.019,0.191,0.033,0.086,1.097,0.0,0.561,0.0
cobalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0,0.023,0.131,0.39,0.033,0.0,0.0,0.0,0.0,0.0
concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copper,0.252,0.0,0.813,0.112,0.387,0.795,0.0,0.236,0.216,0.227,0.521,0.511,0.226,0.583,0.164,0.305,0.176,0.233
glass,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.208,0.0,0.0,0.0
lead,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lithium,0.0,0.0,0.0,0.0,0.136,0.084,0.0,0.096,0.081,0.137,0.079,0.046,0.007,0.0,0.0,0.0,0.0,0.0
manganese,0.0,0.0,0.0,0.0,0.0,1.324,0.0,0.059,0.0,0.0,0.122,0.363,0.033,0.0,0.0,0.0,0.0,0.0
neodymium,0.0,0.0,0.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.601,0.0,0.0,0.0,0.0,0.0
nickel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.507,0.0,0.0,0.391,0.39,5.643,0.0,0.0,0.0,0.0,0.0
plastics,0.0,2.0,0.0,0.0,0.774,0.666,0.842,0.123,0.112,0.74,0.0,0.428,2.677,0.0,0.387,1.638,0.111,1.003
steel,30.923,0.0,36.515,6.116,1.091,1.702,0.612,0.016,0.015,0.0,0.031,1.094,1.275,25.417,0.619,4.038,1.532,3.498
