Time,Region,Sector,Element,Steel,Concrete,Wood,Cu,Aluminium,Glass
2020,1,Electricity,grid,0.765,0.0,0.253,0.738,0.799,0.458
2020,1,Electricity,storage,0.765,0.0,0.253,0.738,0.799,0.458
2020,1,Electricity,generation,0.765,0.0,0.253,0.738,0.799,0.458
2020,1,Buildings,commercial,0.826,0.0,0.253,0.689,0.854,0.381
2020,1,Buildings,rural,0.826,0.0,0.253,0.689,0.854,0.381
2020,1,Buildings,urban,0.826,0.0,0.253,0.689,0.854,0.381
2020,1,Vehicles,passenger,0.788,0.0,0.253,0.695,0.837,0.458
2020,1,Vehicles,freight,0.788,0.0,0.253,0.695,0.837,0.458
2020,2,Electricity,grid,0.765,0.0,0.253,0.738,0.799,0.458
2020,2,Electricity,storage,0.765,0.0,0.253,0.738,0.799,0.458
2020,2,Electricity,generation,0.765,0.0,0.253,0.738,0.799,0.458
2020,2,Buildings,commercial,0.826,0.0,0.253,0.689,0.854,0.381
2020,2,Buildings,rural,0.826,0.0,0.253,0.689,0.854,0.381
2020,2,Buildings,urban,0.826,0.0,0.253,0.689,0.854,0.381
2020,2,Vehicles,passenger,0.788,0.0,0.253,0.695,0.837,0.458
2020,2,Vehicles,freight,0.788,0.0,0.253,0.695,0.837,0.458
2020,3,Electricity,grid,0.765,0.0,0.253,0.738,0.799,0.458
2020,3,Electricity,storage,0.765,0.0,0.253,0.738,0.799,0.458
2020,3,Electricity,generation,0.765,0.0,0.253,0.738,0.799,0.458
2020,3,Buildings,commercial,0.826,0.0,0.253,0.689,0.854,0.381
2020,3,Buildings,rural,0.826,0.0,0.253,0.689,0.854,0.381
2020,3,Buildings,urban,0.826,0.0,0.253,0.689,0.854,0.381
2020,3,Vehicles,passenger,0.788,0.0,0.253,0.695,0.837,0.458
2020,3,Vehicles,freight,0.788,0.0,0.253,0.695,0.837,0.458
2020,4,Electricity,grid,0.765,0.0,0.253,0.738,0.799,0.458
2020,4,Electricity,storage,0.765,0.0,0.253,0.738,0.799,0.458
2020,4,Electricity,generation,0.765,0.0,0.253,0.738,0.799,0.458
2020,4,Buildings,commercial,0.826,0.0,0.253,0.689,0.854,0.381
