Region,Transmission,Distribution
1,28786.42043812114,180628.54814185324
2,287705.69303257245,1805290.857066741
3,32092.985127427888,201376.52479461062
4,8248.107335377996,51755.085565780675
5,14965.730139067664,93906.71246233647
6,39404.651525795416,247255.64647539228
7,41927.349210246524,263085.02759357344
8,8068.096022784698,50625.55360077895
9,302.52963991466146,1898.3079103262626
10,376.7486451970859,2364.0160798263346
11,166443.5496042183,1044397.1933645795
12,24225.67013518716,152010.82863666798
13,23648.74303172135,148390.73612441137
14,28463.16007692316,178600.1594493266
15,29892.78221043669,187570.72843420948
16,181385.20206344905,1138152.8236053206
17,174881.35952810146,1097342.6215509055
18,27856.370927371532,174792.68907115498
19,17509.042694258766,109865.44742567182
20,78221.3653772548,490822.1114931074
21,43098.993500053,270436.84153172385
22,21285.789350390743,133563.71399768762
23,49148.894481781,308398.6587392691
24,12489.738775082655,78370.4033804293
25,24051.520324309997,150918.07632432203
26,1640.0068029547715,10290.68717999373
