Region,time,Steel,Cast iron,PE
1,2012,0.51,0.02,0.46
2,2012,0.51,0.02,0.46
3,2012,0.51,0.02,0.46
4,2012,0.51,0.02,0.46
5,2012,0.51,0.02,0.46
6,2012,0.51,0.02,0.46
7,2012,0.51,0.02,0.46
8,2012,0.51,0.02,0.46
9,2012,0.51,0.02,0.46
10,2012,0.51,0.02,0.46
11,2012,0.51,0.02,0.46
12,2012,0.51,0.02,0.46
13,2012,0.51,0.02,0.46
14,2012,0.51,0.02,0.46
15,2012,0.51,0.02,0.46
16,2012,0.51,0.02,0.46
17,2012,0.51,0.02,0.46
18,2012,0.51,0.02,0.46
19,2012,0.51,0.02,0.46
20,2012,0.51,0.02,0.46
21,2012,0.51,0.02,0.46
22,2012,0.51,0.02,0.46
23,2012,0.51,0.02,0.46
24,2012,0.51,0.02,0.46
25,2012,0.51,0.02,0.46
26,2012,0.51,0.02,0.46
1,2050,0.4,0,0.6
2,2050,0.4,0,0.6
3,2050,0.4,0,0.6
4,2050,0.4,0,0.6
5,2050,0.4,0,0.6
6,2050,0.4,0,0.6
7,2050,0.4,0,0.6
8,2050,0.4,0,0.6
9,2050,0.4,0,0.6
10,2050,0.4,0,0.6
11,2050,0.4,0,0.6
12,2050,0.4,0,0.6
13,2050,0.4,0,0.6
14,2050,0.4,0,0.6
15,2050,0.4,0,0.6
16,2050,0.4,0,0.6
17,2050,0.4,0,0.6
18,2050,0.4,0,0.6
19,2050,0.4,0,0.6
20,2050,0.4,0,0.6
21,2050,0.4,0,0.6
22,2050,0.4,0,0.6
23,2050,0.4,0,0.6
24,2050,0.4,0,0.6
25,2050,0.4,0,0.6
26,2050,0.4,0,0.6
