Region,Crude,Product 
1,12680.386225846043,8662.751971927735
2,111509.71236915114,76179.14498109127
3,11836.27634194347,8086.088577685356
4,7497.571179516363,5122.052149140312
5,16502.894166222497,11274.142319858263
6,18243.45532858324,12463.226735186892
7,11920.146492507716,8143.385437516438
8,5232.810401254217,3574.854725622875
9,4458.6252036253345,3045.961186581685
10,3780.1362709912332,2582.4436537223855
11,73392.16797746214,50138.70528445929
12,10589.008598867256,7234.00324618084
13,6347.336598864725,4336.256140702514
14,2400.5844311580363,1639.9869171497417
15,4129.275049705701,2820.9618336829017
16,25045.234198042202,17109.940349786648
17,54148.110979819874,36991.90598867581
18,29117.220684540705,19891.76484135291
19,16752.642028546466,11444.760449960791
20,90938.0595233954,62125.38328319053
21,30733.127659035807,20995.690311795373
22,11123.403726104829,7599.08143542637
23,25174.500433489044,17198.25006812459
24,8745.120637635448,5974.3299375226925
25,6892.575589540692,4708.742440214656
26,2734.617904150403,1868.1857334410354
