type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Crude,1900,oil,pipelines,km,277.26925572517763,2849.8746500536863,81.41251147035781,104.68183558757524,117.02027274534495,232.38282053232575,58.031771945673235,26.724803549408097,24.346085894768198,40.45789466542898,2407.2392560963017,212.90648469934118,33.47082514140686,183.67086141879975,87.98413973775689,680.791207003475,160.38543557572518,77.29126243837764,46.136739756657164,186.86835279770673,153.1275055208308,40.41338981894385,905.5942078262464,121.09120812931329,30.405403012959912,17.89918249698461
Crude,1901,oil,pipelines,km,346.5865696564721,3562.343312567108,101.76563933794728,130.85229448446907,146.27534093168117,290.4785256654073,72.53971493209156,33.40600443676012,30.432607368460246,50.57236833178623,3009.0490701203767,266.13310587417647,41.838531426758585,229.58857677349963,109.98017467219611,850.9890087543438,200.48179446965648,96.61407804797204,57.670924695821455,233.58544099713345,191.4093819010385,50.51673727367981,1131.992759782808,151.36401016164163,38.006753766199886,22.373978121230763
Crude,1902,oil,pipelines,km,415.9038835877665,4274.81197508053,122.11876720553673,157.0227533813629,175.53040911801742,348.5742307984887,87.04765791850987,40.08720532411215,36.5191288421523,60.68684199814347,3610.8588841444525,319.3597270490117,50.2062377121103,275.50629212819956,131.97620960663528,1021.1868105052124,240.57815336358777,115.93689365756646,69.20510963498575,280.3025291965601,229.69125828124615,60.62008472841577,1358.3913117393695,181.63681219396997,45.60810451943986,26.84877374547692
Crude,1903,oil,pipelines,km,485.2211975190609,4987.280637593952,142.4718950731262,183.19321227825668,204.78547730435366,406.6699359315702,101.55560090492817,46.76840621146418,42.60565031584435,70.80131566450073,4212.668698168528,372.586348223847,58.573943997462024,321.4240074828995,153.97224454107453,1191.3846122560813,280.67451225751904,135.25970926716087,80.73929457415004,327.0196173959868,267.9731346614539,70.72343218315173,1584.789863695931,211.90961422629823,53.20945527267985,31.32356936972307
Crude,1904,oil,pipelines,km,554.5385114503553,5699.749300107373,162.82502294071563,209.36367117515047,234.04054549068994,464.7656410646516,116.06354389134647,53.449607098816195,48.692171789536395,80.91578933085796,4814.478512192603,425.8129693986823,66.94165028281373,367.3417228375995,175.96827947551378,1361.58241400695,320.77087115145036,154.5825248767553,92.27347951331433,373.7367055954136,306.2550110416616,80.8267796378877,1811.1884156524927,242.18241625862657,60.810806025919824,35.79836499396922
Crude,1905,oil,pipelines,km,623.8558253816498,6412.217962620795,183.1781508083051,235.53413007204435,263.29561367702615,522.8613461977332,130.57148687776478,60.13080798616823,54.77869326322845,91.03026299721522,5416.288326216678,479.0395905735176,75.30935656816544,413.25943819229934,197.964314409953,1531.7802157578185,360.8672300453817,173.9053404863497,103.80766445247863,420.45379379484024,344.53688742186927,90.93012709262366,2037.5869676090542,272.45521829095486,68.41215677915982,40.27316061821538
Crude,1906,oil,pipelines,km,762.4904532442386,7837.155287647638,223.88440654348395,287.87504786583196,321.8057500496986,639.052756463896,159.58737285060144,73.49320976087228,66.95173621061257,111.2592103299297,6619.907954264829,585.4928329231882,92.04476913886889,505.0948689016992,241.95638427883145,1872.175819259556,441.0599478332442,212.55097170553853,126.87603433080722,513.8879701936935,421.1006401822846,111.13682200209557,2490.3840715221777,333.0008223556116,83.61485828563976,49.22275186670769
Crude,1907,oil,pipelines,km,901.1250811068273,9262.09261267448,264.5906622786629,340.21596565961954,380.3158864223711,755.244166730059,188.60325882343804,86.85561153557632,79.12477915799666,131.4881576626442,7823.52758231298,691.9460752728588,108.78018170957232,596.9302996110991,285.9484541477099,2212.571422761294,521.2526656211068,251.1966029247274,149.94440420913583,607.3221465925468,497.6643929427001,131.3435169115675,2943.1811754353007,393.5464264202682,98.81755979211972,58.172343115199986
Crude,1908,oil,pipelines,km,1039.7597089694161,10687.029937701325,305.2969180138418,392.5568834534072,438.82602279504357,871.4355769962217,217.6191447962746,100.21801331028037,91.29782210538075,151.71710499535865,9027.147210361132,798.3993176225295,125.51559428027576,688.7657303204988,329.9405240165883,2552.967026263031,601.4453834089695,289.8422341439162,173.01277408746438,700.7563229914003,574.2281457031154,151.55021182103943,3395.978279348424,454.0920304849248,114.02026129859966,67.1219343636923
Crude,1909,oil,pipelines,km,1178.394336832005,12111.967262728167,346.00317374902073,444.8978012471948,497.33615916771606,987.6269872623847,246.63503076911124,113.58041508498442,103.47086505276486,171.94605232807316,10230.766838409281,904.8525599721999,142.2510068509792,780.6011610298989,373.93259388546676,2893.362629764769,681.6381011968319,328.48786536310496,196.0811439657929,794.1904993902536,650.7918984635307,171.75690673051133,3848.7753832615467,514.6376345495814,129.22296280507962,76.0715256121846
Crude,1910,oil,pipelines,km,1317.028964694594,13536.90458775501,386.7094294841996,497.2387190409824,555.8462955403885,1103.8183975285476,275.65091674194787,126.94281685968846,115.64390800014895,192.17499966078768,11434.386466457432,1011.3058023218704,158.9864194216826,872.4365917392987,417.92466375434526,3233.7582332665065,761.8308189846946,367.13349658229384,219.1495138441215,887.624675789107,727.3556512239462,191.96360163998327,4301.572487174671,575.1832386142381,144.4256643115596,85.02111686067691
Crude,1911,oil,pipelines,km,1455.6635925571827,14961.841912781856,427.4156852193785,549.5796368347701,614.356431913061,1220.0098077947102,304.6668027147845,140.3052186343925,127.81695094753303,212.40394699350216,12638.006094505581,1117.7590446715412,175.72183199238606,964.2720224486986,461.9167336232237,3574.1538367682433,842.0235367725572,405.7791278014827,242.21788372245013,981.0588521879605,803.9194039843617,212.17029654945517,4754.369591087794,635.7288426788948,159.62836581803955,93.97070810916922
Crude,1912,oil,pipelines,km,1594.2982204197715,16386.7792378087,468.12194095455743,601.9205546285576,672.8665682857334,1336.2012180608735,333.6826886876212,153.66762040909654,139.98999389491715,232.63289432621664,13841.625722553734,1224.2122870212118,192.45724456308946,1056.1074531580985,505.9088034921021,3914.5494402699806,922.2162545604198,444.42475902067144,265.2862536007787,1074.4930285868138,880.4831567447769,232.3769914589271,5207.166695000917,696.2744467435516,174.83106732451947,102.92029935766153
Crude,1913,oil,pipelines,km,1732.9328482823603,17811.71656283554,508.82819668973633,654.2614724223453,731.376704658406,1452.3926283270364,362.6985746604577,167.0300221838006,152.16303684230127,252.8618416589311,15045.245350601883,1330.6655293708823,209.19265713379295,1147.9428838674983,549.9008733609805,4254.945043771719,1002.4089723482822,483.0703902398603,288.3546234791073,1167.9272049856672,957.0469095051924,252.58368636839904,5659.963798914039,756.8200508082081,190.03376883099943,111.86989060615382
Crude,1914,oil,pipelines,km,1871.5674761449488,19236.653887862383,549.5344524249152,706.6023902161329,789.8868410310785,1568.5840385931992,391.7144606332944,180.39242395850468,164.33607978968533,273.09078899164564,16248.864978650035,1437.118771720553,225.92806970449635,1239.7783145768983,593.892943229859,4595.340647273457,1082.6016901361452,521.716021459049,311.4229933574358,1261.3613813845207,1033.6106622656077,272.79038127787095,6112.760902827164,817.3656548728648,205.2364703374794,120.81948185464613
Crude,1915,oil,pipelines,km,2010.202104007538,20661.591212889227,590.2407081600941,758.9433080099207,848.396977403751,1684.7754488593619,420.7303466061309,193.7548257332087,176.50912273706948,293.3197363243601,17452.484606698188,1543.5720140702235,242.66348227519978,1331.6137452862981,637.8850130987374,4935.736250775195,1162.7944079240076,560.3616526782379,334.4913632357644,1354.7955577833739,1110.174415026023,292.9970761873429,6565.558006740286,877.9112589375212,220.43917184395931,129.76907310313842
Crude,1916,oil,pipelines,km,2148.8367318701266,22086.528537916074,630.9469638952731,811.2842258037081,906.9071137764234,1800.9668591255252,449.7462325789676,207.1172275079128,188.68216568445357,313.5486836570746,18656.10423474634,1650.025256419894,259.3988948459032,1423.4491759956982,681.8770829676159,5276.131854276931,1242.98712571187,599.0072838974268,357.55973311409304,1448.229734182227,1186.7381677864387,313.20377109681476,7018.355110653409,938.456863002178,235.64187335043928,138.71866435163076
Crude,1917,oil,pipelines,km,2287.4713597327154,23511.46586294291,671.653219630452,863.6251435974957,965.4172501490958,1917.158269391688,478.7621185518042,220.4796292826168,200.85520863183763,333.77763098978915,19859.72386279449,1756.4784987695646,276.13430741660665,1515.2846067050978,725.8691528364943,5616.5274577786695,1323.1798434997327,637.6529151166155,380.62810299242165,1541.6639105810805,1263.301920546854,333.4104660062867,7471.152214566531,999.0024670668347,250.8445748569193,147.66825560012305
Crude,1918,oil,pipelines,km,2426.105987595304,24936.403187969758,712.3594753656308,915.9660613912835,1023.9273865217685,2033.349679657851,507.7780045246409,233.84203105732087,213.02825157922175,354.00657832250363,21063.34349084264,1862.9317411192349,292.8697199873101,1607.1200374144976,769.8612227053728,5956.923061280408,1403.3725612875953,676.2985463358044,403.6964728707502,1635.0980869799344,1339.8656733072694,353.61716091575863,7923.949318479655,1059.5480711314913,266.0472763633992,156.61784684861533
Crude,1919,oil,pipelines,km,2564.740615457893,26361.340512996605,753.0657311008099,968.3069791850712,1082.4375228944407,2149.5410899240137,536.7938904974775,247.20443283202488,225.20129452660584,374.235525655218,22266.96311889079,1969.3849834689056,309.6051325580135,1698.9554681238974,813.8532925742512,6297.318664782143,1483.565279075458,714.9441775549932,426.76484274907887,1728.5322633787875,1416.4294260676847,373.82385582523057,8376.74642239278,1120.093675196148,281.2499778698792,165.56743809710764
Crude,1920,oil,pipelines,km,2703.375243320482,27786.27783802344,793.7719868359885,1020.6478969788586,1140.9476592671133,2265.732500190177,565.8097764703141,260.56683460672895,237.37433747398995,394.46447298793254,23470.582746938944,2075.838225818576,326.340545128717,1790.7908988332974,857.8453624431297,6637.714268283881,1563.7579968633206,753.5898087741821,449.8332126274074,1821.9664397776405,1492.9931788281,394.0305507347025,8829.5435263059,1180.6392792608046,296.45267937635913,174.51702934559998
Crude,1921,oil,pipelines,km,2842.0098711830706,29211.21516305029,834.4782425711675,1072.9888147726463,1199.4577956397857,2381.9239104563394,594.8256624431507,273.929236381433,249.54738042137402,414.69342032064714,24674.202374987093,2182.2914681682473,343.0759576994204,1882.6263295426968,901.837432312008,6978.10987178562,1643.950714651183,792.2354399933708,472.901582505736,1915.4006161764942,1569.5569315885157,414.23724564417444,9282.340630219025,1241.1848833254612,311.6553808828391,183.46662059409226
Crude,1922,oil,pipelines,km,2980.64449904566,30636.15248807713,875.1844983063465,1125.329732566434,1257.9679320124583,2498.1153207225025,623.8415484159874,287.291638156137,261.72042336875813,434.92236765336156,25877.822003035242,2288.7447105179176,359.81137027012386,1974.4617602520968,945.8295021808866,7318.505475287356,1724.143432439046,830.8810712125596,495.96995238406464,2008.8347925753471,1646.1206843489308,434.4439405536463,9735.137734132148,1301.730487390118,326.858082389319,192.41621184258457
Crude,1923,oil,pipelines,km,3119.2791269082486,32061.089813103972,915.8907540415255,1177.6706503602215,1316.4780683851307,2614.3067309886655,652.8574343888239,300.6540399308411,273.8934663161423,455.15131498607604,27081.44163108339,2395.1979528675884,376.54678284082723,2066.2971909614967,989.8215720497651,7658.901078789096,1804.336150226908,869.5267024317484,519.0383222623931,2102.2689689742006,1722.6844371093462,454.65063546311836,10187.934838045272,1362.2760914547744,342.060783895799,201.36580309107688
Crude,1924,oil,pipelines,km,3257.9137547708374,33486.02713813081,956.5970097767043,1230.0115681540092,1374.988204757803,2730.498141254828,681.8733203616606,314.0164417055452,286.0665092635263,475.3802623187905,28285.06125913154,2501.6511952172586,393.2821954115307,2158.1326216708967,1033.8136419186433,7999.296682290832,1884.5288680147708,908.1723336509373,542.1066921407216,2195.7031453730538,1799.2481898697617,474.85733037259024,10640.731941958395,1422.8216955194312,357.263485402279,210.31539433956914
Crude,1925,oil,pipelines,km,3396.548382633426,34910.96446315765,997.3032655118833,1282.3524859477968,1433.4983411304756,2846.689551520991,710.8892063344973,327.3788434802492,298.23955221091046,495.609209651505,29488.680887179697,2608.104437566929,410.01760798223415,2249.9680523802963,1077.805711787522,8339.692285792567,1964.7215858026336,946.817964870126,565.1750620190503,2289.1373217719074,1875.811942630177,495.0640252820621,11093.529045871519,1483.3672995840877,372.46618690875886,219.26498558806148
Crude,1926,oil,pipelines,km,3535.183010496015,36335.90178818451,1038.0095212470624,1334.6934037415845,1492.0084775031482,2962.8809617871543,739.9050923073339,340.7412452549533,310.41259515829455,515.8381569842196,30692.300515227842,2714.5576799165997,426.75302055293764,2341.803483089697,1121.7977816564005,8680.087889294306,2044.9143035904956,985.4635960893147,588.2434318973789,2382.571498170761,1952.3756953905925,515.270720191534,11546.326149784642,1543.9129036487445,387.6688884152388,228.21457683655385
Crude,1927,oil,pipelines,km,3673.817638358603,37760.83911321135,1078.7157769822413,1387.0343215353723,1550.5186138758206,3079.072372053317,768.9209782801706,354.1036470296573,322.58563810567864,536.067104316934,31895.920143275995,2821.0109222662704,443.48843312364096,2433.6389137990964,1165.7898515252787,9020.483492796044,2125.107021378359,1024.1092273085037,611.3118017757074,2476.0056745696143,2028.9394481510078,535.4774151010059,11999.123253697764,1604.458507713401,402.8715899217188,237.1641680850461
Crude,1928,oil,pipelines,km,3812.452266221193,39185.77643823819,1119.42203271742,1439.3752393291597,1609.0287502484928,3195.2637823194796,797.9368642530069,367.46604880436126,334.7586810530627,556.2960516496485,33099.53977132415,2927.4641646159407,460.22384569434445,2525.474344508496,1209.7819213941573,9360.879096297782,2205.299739166221,1062.7548585276927,634.380171654036,2569.4398509684675,2105.5032009114234,555.6841100104779,12451.920357610887,1665.0041117780574,418.07429142819876,246.11375933353844
Crude,1929,oil,pipelines,km,3951.0868940837813,40610.713763265034,1160.1282884525988,1491.7161571229472,1667.5388866211654,3311.455192585643,826.9527502258438,380.8284505790654,346.9317240004468,576.5249989823631,34303.1593993723,3033.917406965612,476.95925826504794,2617.309775217896,1253.7739912630357,9701.27469979952,2285.492456954084,1101.4004897468815,657.4485415323646,2662.874027367321,2182.066953671839,575.8908049199497,12904.71746152401,1725.5497158427145,433.27699293467873,255.06335058203072
Crude,1930,oil,pipelines,km,4089.72152194637,42035.65108829188,1200.834544187778,1544.0570749167348,1726.049022993838,3427.6466028518053,855.9686361986802,394.1908523537694,359.10476694783097,596.7539463150774,35506.77902742045,3140.3706493152827,493.6946708357514,2709.1452059272956,1297.7660611319143,10041.670303301258,2365.6851747419464,1140.0461209660702,680.5169114106932,2756.3082037661743,2258.630706432254,596.0974998294217,13357.514565437134,1786.095319907371,448.4796944411586,264.01294183052306
Crude,1931,oil,pipelines,km,4228.356149808958,43460.588413318714,1241.5407999229567,1596.3979927105224,1784.5591593665101,3543.8380131179683,884.984522171517,407.5532541284735,371.277809895215,616.982893647792,36710.3986554686,3246.823891664953,510.4300834064547,2800.9806366366956,1341.7581310007924,10382.065906802995,2445.8778925298093,1178.691752185259,703.5852812890216,2849.742380165028,2335.1944591926695,616.3041947388936,13810.311669350254,1846.6409239720278,463.6823959476387,272.9625330790153
Crude,1932,oil,pipelines,km,4366.990777671548,44885.52573834556,1282.2470556581354,1648.7389105043103,1843.0692957391827,3660.029423384131,914.0004081443534,420.9156559031775,383.45085284259915,637.2118409805065,37914.01828351674,3353.2771340146232,527.1654959771583,2892.8160673460957,1385.7502008696708,10722.461510304733,2526.0706103176713,1217.3373834044478,726.6536511673503,2943.176556563881,2411.758211953085,636.5108896483655,14263.108773263379,1907.1865280366842,478.88509745411864,281.9121243275076
Crude,1933,oil,pipelines,km,4505.625405534136,46310.46306337241,1322.9533113933144,1701.079828298098,1901.579432111855,3776.2208336502945,943.01629411719,434.2780576778816,395.62389578998324,657.440788313221,39117.6379115649,3459.730376364294,543.9009085478615,2984.6514980554953,1429.7422707385495,11062.85711380647,2606.263328105534,1255.9830146236368,749.722021045679,3036.6107329627353,2488.3219647135,656.7175845578375,14715.905877176503,1967.732132101341,494.08779896059855,290.861715576
Crude,1934,oil,pipelines,km,4644.260033396725,47735.40038839924,1363.6595671284933,1753.4207460918853,1960.089568484528,3892.412243916457,972.0321800900266,447.6404594525856,407.79693873736744,677.6697356459356,40321.25753961304,3566.1836187139643,560.636321118565,3076.486928764895,1473.7343406074278,11403.252717308205,2686.456045893397,1294.6286458428256,772.7903909240076,3130.0449093615885,2564.8857174739155,676.9242794673095,15168.702981089627,2028.277736165997,509.2905004670786,299.81130682449225
Crude,1935,oil,pipelines,km,4782.894661259314,49160.337713426095,1404.3658228636723,1805.7616638856728,2018.5997048572,4008.6036541826206,1001.0480660628633,461.00286122728966,419.9699816847515,697.89868297865,41524.8771676612,3672.636861063635,577.3717336892684,3168.322359474295,1517.7264104763062,11743.648320809945,2766.6487636812594,1333.2742770620143,795.8587608023362,3223.4790857604407,2641.449470234331,697.1309743767814,15621.500085002748,2088.823340230654,524.4932019735585,308.7608980729846
Crude,1936,oil,pipelines,km,4921.529289121903,50585.275038452935,1445.072078598851,1858.1025816794606,2077.109841229873,4124.795064448784,1030.0639520357001,474.36526300199375,432.14302463213556,718.1276303113644,42728.49679570935,3779.0901034133053,594.1071462599718,3260.1577901836945,1561.7184803451846,12084.043924311682,2846.8414814691223,1371.919908281203,818.9271306806646,3316.9132621592944,2718.0132229947467,717.3376692862533,16074.297188915873,2149.3689442953105,539.6959034800384,317.7104893214768
Crude,1937,oil,pipelines,km,5060.163916984492,52010.21236347977,1485.7783343340302,1910.443499473248,2135.619977602545,4240.986474714947,1059.0798380085366,487.7276647766978,444.31606757951965,738.356577644079,43932.11642375751,3885.543345762976,610.8425588306753,3351.993220893095,1605.7105502140632,12424.43952781342,2927.0341992569843,1410.565539500392,841.9955005589933,3410.3474385581476,2794.576975755162,737.5443641957253,16527.094292828995,2209.9145483599673,554.8986049865183,326.66008056996924
Crude,1938,oil,pipelines,km,5198.798544847081,53435.14968850662,1526.4845900692092,1962.784417267036,2194.1301139752177,4357.177884981108,1088.0957239813733,501.09006655140183,456.4891105269038,758.5855249767935,45135.73605180565,3991.996588112647,627.5779714013788,3443.828651602495,1649.7026200829416,12764.835131315156,3007.2269170448476,1449.2111707195809,865.0638704373218,3503.781614957001,2871.1407285155774,757.751059105197,16979.89139674212,2270.460152424624,570.1013064929982,335.6096718184615
Crude,1939,oil,pipelines,km,5337.43317270967,54860.08701353347,1567.1908458043877,2015.1253350608235,2252.6402503478907,4473.369295247272,1117.1116099542098,514.452468326106,468.6621534742879,778.814472309508,46339.355679853805,4098.449830462318,644.3133839720822,3535.664082311895,1693.6946899518202,13105.230734816892,3087.4196348327096,1487.8568019387692,888.1322403156504,3597.2157913558544,2947.7044812759927,777.957754014669,17432.68850065524,2331.005756489281,585.3040079994781,344.5592630669538
Crude,1940,oil,pipelines,km,5476.067800572258,56285.02433856032,1607.8971015395666,2067.466252854611,2311.1503867205624,4589.560705513435,1146.1274959270465,527.8148701008099,480.835196421672,799.0434196422224,47542.97530790195,4204.903072811989,661.0487965427857,3627.499513021294,1737.6867598206982,13445.626338318632,3167.6123526205724,1526.5024331579584,911.2006101939792,3690.6499677547085,3024.2682340364076,798.164448924141,17885.485604568366,2391.5513605539377,600.5067095059583,353.50885431544606
Crude,1941,oil,pipelines,km,5614.702428434847,57709.961663587164,1648.6033572747453,2119.8071706483984,2369.6605230932355,4705.752115779598,1175.143381899883,541.1772718755141,493.00823936905607,819.272366974937,48746.5949359501,4311.356315161659,677.7842091134889,3719.3349437306942,1781.678829689577,13786.02194182037,3247.805070408435,1565.1480643771474,934.2689800723077,3784.0841441535617,3100.831986796823,818.3711438336128,18338.282708481485,2452.0969646185936,615.7094110124382,362.45844556393837
