type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Open cast,1880,coal,extraction,kg,160819.901320008,5063089.14167364,13393.514847215998,1386.9160522383509,12815.706383927998,47884.6517584176,16862.461785998134,4974.787885050816,2169.563714648567,396430.53924326994,3457016.4395491197,338264.800618416,31652.134463674705,11545.27129355754,114753.23892846238,1359405.230952384,2033.2435968264003,598932.596409273,232604.80008821998,229712.83861556096,21291.0570561864,947.6804293992,409236.2741135643,408276.56345236994,8808.036052872,22864.884725361837
Open cast,1881,coal,extraction,kg,201024.87665001,6328861.42709205,16741.893559019998,1733.6450652979386,16019.632979909999,59855.814698022,21078.077232497668,6218.48485631352,2711.954643310709,495538.17405408743,4321270.5494364,422831.00077302003,39565.168079593386,14431.589116946923,143441.548660578,1699256.5386904797,2541.554496033,748665.7455115912,290756.00011027494,287141.0482694512,26613.821320233,1184.600536749,511545.3426419554,510345.7043154624,11010.045066089999,28581.105906702294
Open cast,1882,coal,extraction,kg,241229.85198001197,7594633.712510459,20090.272270824003,2080.3740783575263,19223.559575892,71826.9776376264,25293.6926789972,7462.181827576224,3254.345571972851,594645.808864905,5185524.65932368,507397.2009276239,47478.201695512056,17317.90694033631,172129.8583926936,2039107.8464285757,3049.8653952396,898398.8946139095,348907.20013233,344569.2579233415,31936.585584279594,1421.5206440988,613854.4111703462,612414.8451785549,13212.054079308,34297.32708804275
Open cast,1883,coal,extraction,kg,281434.827310014,8860405.997928869,23438.650982627994,2427.1030914171142,22427.486171874,83798.1405772308,29509.308125496733,8705.878798838927,3796.736500634993,693753.4436757223,6049778.769210961,591963.401082228,55391.23531143073,20204.224763725695,200818.1681248092,2378959.1541666714,3558.1762944462,1048132.0437162276,407058.400154385,401997.4675772317,37259.3498483262,1658.4407514485997,716163.4796987375,714483.9860416475,15414.063092525997,40013.54826938322
Open cast,1884,coal,extraction,kg,321639.802640016,10126178.28334728,26787.029694431996,2773.8321044767017,25631.412767855996,95769.3035168352,33724.92357199627,9949.575770101632,4339.127429297134,792861.0784865399,6914032.879098239,676529.601236832,63304.26892734941,23090.542587115084,229506.4778569248,2718810.461904768,4066.4871936527998,1197865.192818546,465209.60017643997,459425.6772311219,42582.11411237281,1895.3608587984,818472.5482271286,816553.1269047399,17616.072105744,45729.769450723674
Open cast,1885,coal,extraction,kg,361844.77797001804,11391950.56876569,30135.408406236,3120.56111753629,28835.339363838,107740.46645643961,37940.5390184958,11193.272741364335,4881.518357959276,891968.7132973574,7778286.98898552,761095.801391436,71217.30254326807,25976.860410504465,258194.78758904044,3058661.769642864,4574.798092859399,1347598.3419208643,523360.80019849504,516853.8868850122,47904.878376419394,2132.2809661482,920781.6167555195,918622.2677678323,19818.081118962,51445.99063206414
Open cast,1886,coal,extraction,kg,442254.728630022,13923495.139602508,36832.165829843994,3814.019143655465,35243.192555802,131682.79233564838,46371.76991149486,13680.66668388974,5966.300215283562,1090183.9829189926,9506795.208760079,930228.201700644,87043.36977510543,31749.49605728323,315571.40705327154,3738364.3851190554,5591.4198912726,1647064.6401255007,639663.200242605,631710.3061927927,58550.4069045126,2606.1211808478,1125399.7538123017,1122760.5494940171,24222.099145398002,62878.43299474505
Open cast,1887,coal,extraction,kg,522664.679290026,16455039.71043933,43528.923253452005,4507.477169774641,41651.045747765995,155625.11821485718,54803.000804493924,16168.060626415152,7051.082072607844,1288399.2525406273,11235303.42853464,1099360.602009852,102869.4370069428,37522.131704062005,372948.0265175028,4418067.000595247,6608.0416896858,1946530.938330137,755965.600286715,746566.7255005733,69195.93543260581,3079.961395547399,1330017.8908690838,1326898.8312202021,28626.117171834,74310.87535742598
Open cast,1888,coal,extraction,kg,603074.62995003,18986584.281276148,50225.68067706,5200.935195893817,48058.89893972999,179567.44409406596,63234.23169749301,18655.454568940557,8135.863929932127,1486614.5221622621,12963811.648309201,1268493.00231906,118695.50423878014,43294.76735084077,430324.64598173404,5097769.616071439,7624.663488099,2245997.236534774,872268.0003308251,861423.1448083536,79841.463960699,3553.8016102469996,1534636.0279258662,1531037.112946387,33030.13519827,85743.3177201069
Open cast,1889,coal,extraction,kg,683484.5806100339,21518128.852112968,56922.438100668,5894.393222012991,54466.752131694,203509.76997327476,71665.46259049208,21142.84851146597,9220.64578725641,1684829.7917838974,14692319.868083758,1437625.402628268,134521.57147061752,49067.402997619545,487701.26544596517,5777472.231547631,8641.2852865122,2545463.53473941,988570.400374935,976279.5641161342,90486.9924887922,4027.6418249466005,1739254.164982648,1735175.394672572,37434.153224705995,97175.76008278783
