type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
offshore,1920,gas,extraction,kg,332802.8991850431,5821025.405375462,115446.5823343632,12445.678854586467,1696.2245613636874,124907.24919271894,20826.652529163806,2597.3995856066176,1722.894186311524,325.80050183257134,1083892.7467408902,517467.51620885805,2188.274599647288,887113.3706550627,401740.3202527165,3575693.508193952,127894.06276113755,10508.860177362081,533.9784372687935,22387.23243848499,2674.818141814768,1582.1124759267216,76249.9960012632,29955.340659177735,42697.84256641114,671.0307707877907
offshore,1921,gas,extraction,kg,416003.623981304,7276281.756719328,144308.22791795398,15557.098568233085,2120.2807017046093,156134.06149089866,26033.315661454755,3246.7494820082716,2153.617732889405,407.25062729071425,1354865.9334261126,646834.3952610726,2735.3432495591087,1108891.7133188283,502175.40031589556,4469616.885242439,159867.57845142196,13136.075221702604,667.4730465859922,27984.04054810623,3343.5226772684605,1977.6405949084021,95312.495001579,37444.17582397217,53372.30320801393,838.7884634847384
offshore,1922,gas,extraction,kg,499204.34877756477,8731538.108063195,173169.8735015448,18668.518281879704,2544.3368420455313,187360.87378907835,31239.978793745715,3896.0993784099264,2584.3412794672863,488.70075274885704,1625839.1201113355,776201.274313287,3282.4118994709315,1330670.0559825941,602610.4803790747,5363540.262290928,191841.09414170633,15763.290266043123,800.9676559031905,33580.84865772748,4012.2272127221518,2373.1687138900825,114374.99400189478,44933.010988766604,64046.763849616706,1006.5461561816861
offshore,1923,gas,extraction,kg,582405.0735738254,10186794.45940706,202031.5190851356,21779.93799552632,2968.3929823864532,218587.68608725813,36446.64192603666,4545.44927481158,3015.064826045167,570.1508782069998,1896812.3067965582,905568.1533655017,3829.480549382753,1552448.3986463598,703045.5604422537,6257463.639339415,223814.60983199076,18390.50531038364,934.4622652203889,39177.65676734873,4680.9317481758435,2768.696832871763,133437.4930022106,52421.84615356103,74721.2244912195,1174.303848878634
offshore,1924,gas,extraction,kg,665605.7983700862,11642050.810750924,230893.1646687264,24891.357709172935,3392.4491227273747,249814.49838543785,41653.30505832761,5194.799171213235,3445.7883726230475,651.6010036651427,2167785.4934817804,1034935.032417716,4376.549199294575,1774226.7413101254,803480.6405054328,7151387.016387905,255788.12552227516,21017.720354724166,1067.9568745375873,44774.46487696998,5349.636283629536,3164.224951853443,152499.9920025264,59910.68131835547,85395.68513282228,1342.0615415755815
offshore,1925,gas,extraction,kg,748806.5231663472,13097307.162094792,259754.8102523172,28002.77742281955,3816.5052630682967,281041.3106836176,46859.968190618565,5844.14906761489,3876.5119192009297,733.0511291232857,2438758.680167003,1164301.9114699306,4923.617849206396,1996005.083973891,903915.7205686119,8045310.393436392,287761.64121255954,23644.935399064685,1201.4514838547857,50371.27298659122,6018.340819083227,3559.7530708351237,171562.49100284217,67399.5164831499,96070.14577442507,1509.8192342725295
offshore,1926,gas,extraction,kg,915207.972758869,16007819.864782523,317478.10141949874,34225.61685011278,4664.617543750141,343494.93527997704,57273.29445520047,7142.8488604181985,4737.959012356691,895.9513800395714,2980705.0535374484,1423035.6695743597,6017.755149030041,2439561.7693014224,1104785.8806949703,9833157.147533368,351708.67259312834,28899.365487745727,1468.440702489183,61564.88920583371,7355.749889990613,4350.809308798485,209687.48900347378,82377.18681273877,117419.06705763063,1845.3346196664243
offshore,1927,gas,extraction,kg,1081609.4223513904,18918332.567470256,375201.3925866803,40448.456277406025,5512.7298244319845,405948.55987633654,67686.62071978237,8441.548653221507,5599.406105512452,1058.8516309558572,3522651.4269078937,1681769.4276787885,7111.892448853685,2883118.454628953,1305656.0408213283,11621003.901630346,415655.70397369715,34153.79557642677,1735.429921123579,72758.50542507619,8693.158960897994,5141.8655467618455,247812.48700410538,97354.85714232763,138767.98834083622,2180.8500050603197
offshore,1928,gas,extraction,kg,1248010.871943912,21828845.270157985,432924.68375386193,46671.295704699245,6360.842105113828,468402.184472696,78099.94698436427,9740.248446024816,6460.853198668214,1221.7518818721426,4064597.8002783386,1940503.1857832177,8206.029748677329,3326675.139956485,1506526.2009476866,13408850.655727321,479602.7353542659,39408.225665107806,2002.4191397579762,83952.1216443187,10030.56803180538,5932.921784725206,285937.485004737,112332.5274719165,160116.90962404176,2516.3653904542157
offshore,1929,gas,extraction,kg,1414412.3215364337,24739357.97284571,490647.9749210437,52894.135131992494,7208.954385795672,530855.8090690555,88513.27324894618,11038.948238828123,7322.300291823976,1384.6521327884286,4606544.173648784,2199236.943887647,9300.16704850097,3770231.825284017,1707396.361074045,15196697.409824297,543549.7667348348,44662.655753788844,2269.408358392373,95145.7378635612,11367.977102712763,6723.978022688567,324062.4830053687,127310.19780150538,181465.83090724738,2851.880775848111
