type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Transmission,1920,gas,pipelines,km,315.4523925723115,7972.187435230812,176.80784908409942,16.78053408453761,2.344389100142498,178.08159400971613,29.34369320063171,3.6902138936948647,2.477129187504238,0.4014671902744012,1485.7255519911455,712.4368949196767,3.036234762604102,1186.2613196871228,531.7717688622257,4832.14076975615,172.53717027633706,14.199746273801301,0.746288135368705,30.722589071108438,3.7255599328780016,2.3932949752593586,101.15692885379413,36.05381311796323,59.322992959034934,1.2293188596329232
Transmission,1921,gas,pipelines,km,394.3154907153894,9965.234294038515,221.0098113551243,20.975667605672015,2.9304863751781225,222.6019925121451,36.67961650078963,4.612767367118582,3.096411484380298,0.5018339878430015,1857.1569399889318,890.5461186495958,3.7952934532551272,1482.8266496089034,664.714711077782,6040.175962195188,215.67146284542136,17.74968284225163,0.9328601692108814,38.40323633888555,4.656949916097502,2.9916187190741983,126.44616106724264,45.067266397454034,74.15374119879367,1.5366485745411536
Transmission,1922,gas,pipelines,km,473.17858885846726,11958.281152846219,265.2117736261492,25.170801126806413,3.516583650213747,267.12239101457413,44.015539800947565,5.535320840542298,3.7156937812563577,0.6022007854116017,2228.588327986718,1068.6553423795149,4.5543521439061525,1779.3919795306842,797.6576532933385,7248.211154634224,258.8057554145056,21.299619410701954,1.1194322030530575,46.08388360666266,5.588339899317002,3.5899424628890375,151.73539328069117,54.080719676944845,88.98448943855239,1.8439782894493846
Transmission,1923,gas,pipelines,km,552.041687001545,13951.328011653923,309.413735897174,29.36593464794082,4.102680925249372,311.64278951700317,51.35146310110549,6.457874313966014,4.334976078132417,0.702567582980202,2600.0197159845047,1246.764566109434,5.313410834557178,2075.957309452465,930.6005955088948,8456.246347073264,301.9400479835899,24.849555979152274,1.3060042368952338,53.76453087443977,6.5197298825365015,4.188266206703878,177.0246254941397,63.09417295643565,103.81523767831114,2.1513080043576154
Transmission,1924,gas,pipelines,km,630.904785144623,15944.374870461625,353.61569816819883,33.56106816907522,4.688778200284996,356.1631880194322,58.68738640126342,7.3804277873897295,4.954258375008476,0.8029343805488024,2971.4511039822905,1424.8737898393529,6.072469525208204,2372.5226393742455,1063.5435377244512,9664.281539512302,345.07434055267424,28.399492547602605,1.4925762707374102,61.445178142216875,7.451119865756003,4.786589950518717,202.31385770758826,72.10762623592646,118.64598591806987,2.4586377192658464
Transmission,1925,gas,pipelines,km,709.7678832877009,17937.42172926933,397.81766043922374,37.756201690209615,5.27487547532062,400.6835865218613,66.02330970142134,8.302981260813448,5.573540671884537,0.9033011781174026,3342.8824919800772,1602.9830135692723,6.831528215859229,2669.087969296026,1196.4864799400075,10872.316731951338,388.20863312175845,31.94942911605293,1.6791483045795865,69.12582540999398,8.382509848975504,5.384913694333558,227.60308992103677,81.12107951541726,133.4767341578286,2.7659674341740774
Transmission,1926,gas,pipelines,km,867.4940795738567,21923.515446884732,486.2215849812734,46.146468732478425,6.44707002539187,489.72438352671924,80.6951563017372,10.148088207660878,6.812105265636656,1.1040347732546032,4085.74526797565,1959.2014610291108,8.349645597161281,3262.218629139587,1462.3723643711205,13288.387116829415,474.47721825992704,39.04930225295358,2.0522923722639392,84.4871199455482,10.245289815414505,6.581561181963235,278.1815543479338,99.14798607439889,163.13823063734606,3.380626863990538
Transmission,1927,gas,pipelines,km,1025.2202758600124,25909.60916450014,574.6255095233231,54.53673577474724,7.6192645754631165,578.7651805315772,95.36700290205304,11.993195154508312,8.050669859388774,1.3047683683918039,4828.608043971223,2315.4199084889487,9.867762978463333,3855.349288983148,1728.2582488022333,15704.457501707493,560.7458033980955,46.14917538985423,2.425436439948291,99.84841448110241,12.108069781853505,7.778208669592916,328.7600187748309,117.1748926333805,192.79972711686355,3.995286293807
Transmission,1928,gas,pipelines,km,1182.9464721461682,29895.702882115547,663.0294340653727,62.927002817016024,8.791459125534367,667.8059775364353,110.03884950236889,13.838302101355742,9.289234453140894,1.5055019635290043,5571.470819966796,2671.638355948787,11.38588035976538,4448.47994882671,1994.1441332333459,18120.527886585565,647.0143885362642,53.249048526754876,2.7985805076326438,115.20970901665663,13.970849748292508,8.974856157222595,379.338483201728,135.2017991923621,222.46122359638096,4.609945723623462
Transmission,1929,gas,pipelines,km,1340.672668432324,33881.79659973095,751.4333586074227,71.31726985928485,9.963653675605617,756.8467745412934,124.71069610268476,15.683409048203174,10.527799046893014,1.7062355586662052,6314.333595962369,3027.8568034086256,12.903997741067432,5041.610608670272,2260.0300176644587,20536.598271463638,733.2829736744327,60.348921663655524,3.1717245753169974,130.57100355221087,15.833629714731506,10.171503644852274,429.91694762862505,153.2287057513437,252.12272007589848,5.224605153439923
