type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
processing,1920,gas,refinery,kg,59889453.294489205,1047521010.1683408,20775157.66134581,2239658.6817758903,305243.61985282094,22477649.33835847,3747854.471761667,467414.32105980936,310042.94480343355,58629.33882368005,195051618.21346155,93120723.16465726,393790.3478365587,159640240.24088487,72295067.7569383,643462932.2003639,23015140.544544432,1891119.0146228422,96091.94137846916,4028688.195928363,481346.1558410227,284708.61121002043,13721546.853723658,5390605.008915033,7683678.400694223,120755.15599374504
processing,1921,gas,refinery,kg,74861816.61811152,1309401262.710426,25968947.076682266,2799573.3522198624,381554.52481602615,28097061.67294808,4684818.089702084,584267.9013247618,387553.681004292,73286.67352960007,243814522.7668269,116400903.95582157,492237.9347956982,199550300.30110607,90368834.69617286,804328665.2504547,28768925.680680536,2363898.768278553,120114.92672308648,5035860.244910453,601682.6948012784,355885.76401252556,17151933.56715457,6738256.2611437915,9604598.00086778,150943.94499218126
processing,1922,gas,refinery,kg,89834179.94173382,1571281515.2525113,31162736.492018722,3359488.022663835,457865.42977923143,33716474.0075377,5621781.707642502,701121.4815897142,465064.4172051504,87944.00823552009,292577427.3201923,139681084.74698585,590685.5217548381,239460360.3613273,108442601.63540745,965194398.3005457,34522710.81681664,2836678.521934264,144137.91206770376,6043032.293892545,722019.233761534,427062.9168150306,20582320.280585486,8085907.513372549,11525517.601041334,181132.73399061756
processing,1923,gas,refinery,kg,104806543.26535611,1833161767.7945964,36356525.907355174,3919402.693107808,534176.3347424368,39335886.342127316,6558745.325582919,817975.0618546664,542575.1534060087,102601.34294144009,341340331.8735577,162961265.5381502,689133.1087139776,279370420.4215485,126516368.574642,1126060131.3506367,40276495.95295276,3309458.2755899737,168160.89741232106,7050204.342874635,842355.7727217897,498240.0696175358,24012706.9940164,9433558.765601307,13446437.201214889,211321.5229890538
processing,1924,gas,refinery,kg,119778906.58897841,2095042020.3366816,41550315.32269162,4479317.363551781,610487.2397056419,44955298.67671693,7495708.943523334,934828.6421196187,620085.889606867,117258.6776473601,390103236.4269231,186241446.3293145,787580.6956731173,319280480.48176974,144590135.51387656,1286925864.400728,46030281.08908887,3782238.0292456853,192183.88275693834,8057376.391856726,962692.3116820453,569417.2224200409,27443093.707447316,10781210.017830066,15367356.801388446,241510.31198749007
processing,1925,gas,refinery,kg,134751269.91260073,2356922272.8787665,46744104.73802808,5039232.033995752,686798.1446688471,50574711.011306554,8432672.56146375,1051682.2223845713,697596.6258077256,131916.01235328015,438866140.98028845,209521627.12047884,886028.2826322569,359190540.54199094,162663902.45311114,1447791597.4508188,51784066.225224964,4255017.782901396,216206.86810155565,9064548.440838816,1083028.8506423011,640594.375222546,30873480.42087823,12128861.270058826,17288276.401562,271699.10098592634
processing,1926,gas,refinery,kg,164695996.55984536,2880682777.9629374,57131683.56870098,6159061.374883697,839419.9545952576,61813535.680485785,10306599.797344586,1285389.3829144759,852618.0982094423,161230.68176512016,536391950.08701926,256081988.7028075,1082923.4565505362,439010660.6624333,198811436.3315803,1769523063.5510006,63291636.49749719,5200577.290212817,264252.83879079024,11078892.538802998,1323701.9285628125,782948.6808275562,37734253.84774006,14824163.77451634,21130115.601909112,332076.6789827988
processing,1927,gas,refinery,kg,194640723.20708993,3404443283.0471077,67519262.39937387,7278890.715771644,992041.7645216681,73052360.34966503,12180527.033225417,1519096.5434443806,1007639.5706111591,190545.3511769602,633917759.19375,302642350.28513604,1279818.6304688158,518830780.78287566,234958970.21004942,2091254529.651183,74799206.76976942,6146136.797524238,312298.8094800248,13093236.636767179,1564375.0064833236,925302.9864325663,44595027.27460189,17519466.27897386,24971954.802256227,392454.25697967137
processing,1928,gas,refinery,kg,224585449.85433456,3928203788.131278,77906841.2300468,8398720.056659587,1144663.5744480786,84291185.01884425,14054454.269106252,1752803.7039742852,1162661.0430128758,219860.02058880017,731443568.3004807,349202711.8674647,1476713.804387095,598650900.9033182,271106504.08851856,2412985995.751364,86306777.04204163,7091696.304835659,360344.7801692594,15107580.73473136,1805048.0844038352,1067657.2920375764,51455800.70146373,20214768.783431377,28813794.002603333,452831.8349765439
processing,1929,gas,refinery,kg,254530176.50157914,4451964293.215448,88294420.06071971,9518549.397547534,1297285.3843744888,95530009.6880235,15928381.504987087,1986510.8645041897,1317682.5154145926,249174.6900006403,828969377.4072115,395763073.44979334,1673608.978305374,678471021.0237607,307254037.9669878,2734717461.8515463,97814347.31431384,8037255.81214708,408390.750858494,17121924.832695544,2045721.1623243464,1210011.5976425868,58316574.12832556,22910071.287888892,32655633.20295045,513209.4129734165
