type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
offshore,1900,oil,extraction,kg,1207368.957082431,12436977.708912633,404275.70930483786,319915.2738630471,463142.2826896763,967120.8984242345,236201.02666093316,139058.004251112,75817.53976961164,229652.0101451308,10448762.502093254,989745.2256758609,149003.73653374898,748630.1467173438,289088.32761708746,2240921.478247657,864056.826840752,327834.61372534063,217701.16906567468,793840.9445265045,508430.21408194327,175479.03108663062,3861723.1622884497,540261.0255161559,115175.7683951673,61070.68528453941
offshore,1901,oil,extraction,kg,1509211.1963530388,15546222.136140795,505344.6366310473,399894.09232880885,578927.8533620954,1208901.1230302933,295251.28332616645,173822.50531389,94771.92471201456,287065.01268141356,13060953.12761657,1237181.5320948265,186254.67066718623,935787.6833966798,361360.40952135937,2801151.8478095713,1080071.0335509402,409793.26715667587,272126.4613320934,992301.1806581306,635537.7676024291,219348.7888582883,4827153.952860562,675326.2818951949,143969.71049395914,76338.35660567427
offshore,1902,oil,extraction,kg,1811053.4356236467,18655466.563368954,606413.5639572567,479872.91079457063,694713.4240345145,1450681.3476363518,354301.53999139974,208587.00637666797,113726.30965441746,344478.01521769626,15673143.753139885,1484617.8385137916,223505.60480062355,1122945.2200760157,433632.4914256311,3361382.2173714857,1296085.2402611282,491751.920588011,326551.7535985121,1190761.4167897569,762645.3211229148,263218.5466299459,5792584.743432673,810391.5382742337,172763.65259275094,91606.02792680913
offshore,1903,oil,extraction,kg,2112895.674894254,21764710.99059711,707482.4912834663,559851.7292603323,810498.9947069335,1692461.5722424106,413351.796656633,243351.50743944597,132680.6945968204,401891.017753979,18285334.378663197,1732054.144932757,260756.53893406078,1310102.7567553518,505904.573329903,3921612.5869333996,1512099.4469713161,573710.5740193462,380977.0458649307,1389221.6529213828,889752.8746434007,307088.3044016036,6758015.534004787,945456.7946532726,201557.5946915428,106873.69924794397
offshore,1904,oil,extraction,kg,2414737.914164862,24873955.417825267,808551.4186096757,639830.5477260941,926284.5653793527,1934241.7968484694,472402.0533218664,278116.008502224,151635.07953922328,459304.0202902618,20897525.004186507,1979490.4513517222,298007.47306749795,1497260.293434688,578176.6552341749,4481842.956495314,1728113.6536815045,655669.2274506813,435402.33813134936,1587681.8890530092,1016860.4281638867,350958.06217326125,7723446.324576899,1080522.0510323117,230351.53679033462,122141.37056907883
offshore,1905,oil,extraction,kg,2716580.15343547,27983199.845053427,909620.3459358852,719809.366191856,1042070.1360517717,2176022.021454528,531452.3099870996,312880.50956500194,170589.4644816262,516717.0228265445,23509715.62970982,2226926.7577706873,335258.4072009353,1684417.8301140235,650448.7371384468,5042073.326057228,1944127.8603916927,737627.8808820164,489827.63039776805,1786142.125184635,1143967.9816843723,394827.81994491897,8688877.115149012,1215587.3074113508,259145.4788891264,137409.0418902137
offshore,1906,oil,extraction,kg,3320264.6319766855,34201688.699509755,1111758.200588304,879767.0031233794,1273641.2773966098,2659582.470666645,649552.8233175662,382409.51169055793,208498.23436643204,631543.0278991099,28734096.880756453,2721799.3706086176,409760.27546780976,2058732.9034726953,794992.9009469904,6162534.065181056,2376156.273812068,901545.1877446867,598678.2149306053,2183062.597447887,1398183.0887253438,482567.33548823424,10619738.696293237,1485717.8201694284,316733.3630867101,167944.38453248338
offshore,1907,oil,extraction,kg,3923949.1105179014,40420177.55396606,1313896.0552407228,1039724.6400549029,1505212.4187414479,3143142.919878763,767653.3366480329,451938.5138161139,246407.00425123784,746369.0329716753,33958478.13180308,3216671.9834465487,484262.1437346843,2433047.9768313677,939537.064755534,7282994.804304886,2808184.6872324445,1065462.4946073573,707528.7994634428,2579983.0697111394,1652398.1957663158,570306.8510315495,12550600.27743746,1755848.3329275064,374321.24728429376,198479.72717475312
offshore,1908,oil,extraction,kg,4527633.589059117,46638666.40842238,1516033.9098931418,1199682.2769864264,1736783.5600862862,3626703.36909088,885753.8499784995,521467.5159416698,284315.7741360437,861195.0380442408,39182859.38284971,3711544.596284479,558764.0120015588,2807363.0501900394,1084081.228564078,8403455.543428713,3240213.1006528214,1229379.8014700273,816379.38399628,2976903.5419743913,1906613.3028072873,658046.366574865,14481461.858581686,2025978.8456855842,431909.1314818773,229015.0698170228
offshore,1909,oil,extraction,kg,5131318.067600332,52857155.26287869,1718171.7645455608,1359639.9139179501,1968354.7014311245,4110263.818302997,1003854.363308966,590996.5180672259,322224.5440208495,976021.0431168061,44407240.63389634,4206417.209122409,633265.8802684332,3181678.123548711,1228625.3923726215,9523916.282552542,3672241.514073197,1393297.1083326975,925229.9685291175,3373824.014237643,2160828.409848259,745785.8821181802,16412323.439725908,2296109.358443662,489497.015679461,259550.4124592926
