type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Crude,1900,oil,storage,m3,256946.8014004857,2734513.189062538,87314.66812182401,68985.36033920816,97651.41779923427,200889.68489192458,50068.8967822046,29211.45090655701,16214.238972838259,50779.37759202999,2272490.858116374,218146.77284868932,32282.323090328955,156107.04725025911,60793.00330780131,469912.620047882,180920.52531190577,70565.17388768059,46708.29397278508,178005.63053539302,109731.29255307895,37728.84116311719,810273.4443772087,116187.9337504715,24695.736508900234,13401.840338732174
Crude,1901,oil,storage,m3,321183.50175060716,3418141.4863281725,109143.33515228001,86231.70042401018,122064.27224904286,251112.10611490574,62586.12097775576,36514.31363319627,20267.798716047822,63474.22199003749,2840613.5726454672,272683.46606086165,40352.9038629112,195133.8090628239,75991.25413475164,587390.7750598526,226150.65663988225,88206.46735960075,58385.36746598135,222507.0381692413,137164.11569134868,47161.05145389649,1012841.8054715107,145234.91718808937,30869.67063612529,16752.30042341522
Crude,1902,oil,storage,m3,385420.2021007286,4101769.7835938074,130972.00218273602,103478.04050881222,146477.1266988514,301334.52733788686,75103.34517330692,43817.17635983552,24321.35845925739,76169.066388045,3408736.2871745606,327220.15927303396,48423.48463549343,234160.57087538863,91189.50496170195,704868.9300718231,271380.78796785866,105847.76083152089,70062.44095917762,267008.4458030896,164596.93882961842,56593.26174467578,1215410.166565813,174281.90062570723,37043.604763350355,20102.76050809826
Crude,1903,oil,storage,m3,449656.90245084994,4785398.080859442,152800.66921319204,120724.38059361426,170889.98114865998,351556.94856086804,87620.56936885806,51120.03908647477,28374.918202466954,88863.9107860525,3976859.001703655,381756.8524852064,56494.06540807567,273187.3326879534,106387.75578865228,822347.0850837935,316610.91929583513,123489.05430344104,81739.5144523739,311509.85343693785,192029.76196788816,66025.47203545508,1417978.527660115,203328.8840633251,43217.53889057541,23453.220592781305
Crude,1904,oil,storage,m3,513893.6028009714,5469026.378125076,174629.33624364808,137970.72067841628,195302.83559846858,401779.36978384916,100137.79356440922,58422.90181311402,32428.477945676517,101558.75518405999,4544981.716232748,436293.5456973787,64564.64618065791,312214.09450051823,121586.00661560262,939825.240095764,361841.0506238116,141130.34777536118,93416.58794557017,356011.26107078616,219462.58510615793,75457.68232623438,1620546.8887544174,232375.867500943,49391.473017800476,26803.680677464352
Crude,1905,oil,storage,m3,578130.3031510928,6152654.675390711,196458.00327410406,155217.06076321832,219715.69004827712,452001.79100683035,112655.01775996036,65725.76453975328,36482.037688886085,114253.59958206752,5113104.430761841,490830.238909551,72635.22695324016,351240.8563130829,136784.25744255295,1057303.3951077345,407071.181951788,158771.64124728134,105093.66143876642,400512.66870463436,246895.4082444276,84889.89261701368,1823115.2498487197,261422.85093856085,55565.40714502553,30154.14076214739
Crude,1906,oil,storage,m3,706603.7038513357,7519911.269921981,240115.33733501605,189709.74093282243,268541.3989478943,552446.6334527927,137689.4661510627,80331.48999303178,44589.157175305205,139643.2883780825,6249349.859820028,599903.6253338956,88776.38849840463,429294.3799382125,167180.7590964536,1292259.7051316756,497531.4446077408,194054.2281911216,128447.80842515895,489515.48397233087,301761.05452096707,103754.31319857229,2228251.9720373238,319516.8178137966,67913.27539947563,36855.06093151348
Crude,1907,oil,storage,m3,835077.1045515786,8887167.864453249,283772.6713959281,224202.42110242648,317367.1078475114,652891.475898755,162723.914542165,94937.21544631028,52696.27666172434,165032.9771740975,7385595.2888782155,708977.0117582403,104917.55004356909,507347.9035633421,197577.26075035427,1527216.0151556164,587991.7072636938,229336.81513496194,151801.95541155152,578518.2992400274,356626.7007975066,122618.73378013085,2633388.694225928,377610.7846890323,80261.14365392577,43555.981100879566
Crude,1908,oil,storage,m3,963550.5052518216,10254424.458984518,327430.00545684004,258695.10127203053,366192.81674712856,753336.3183447173,187758.36293326726,109542.94089958878,60803.39614814346,190422.6659701125,8521840.717936402,818050.3981825848,121058.71158873358,585401.4271884717,227973.76240425493,1762172.3251795575,678451.9699196467,264619.40207880223,175156.10239794405,667521.114507724,411492.3470740461,141483.1543616895,3038525.4164145323,435704.751564268,92609.01190837588,50256.90127024565
Crude,1909,oil,storage,m3,1092023.905952064,11621681.053515786,371087.3395177521,293187.78144163464,415018.5256467457,853781.1607906795,212792.8113243696,124148.6663528673,68910.5156345626,215812.35476612748,9658086.146994589,927123.7846069296,137199.87313389807,663454.9508136013,258370.26405815556,1997128.6352034986,768912.2325755997,299901.9890226425,198510.2493843366,756523.9297754203,466357.9933505855,160347.57494324804,3443662.138603136,493798.71843950375,104956.88016282597,56957.821439611755
Crude,1910,oil,storage,m3,1220497.306652307,12988937.648047054,414744.6735786642,327680.4616112388,463844.23454636295,954226.0032366418,237827.25971547188,138754.3918061458,77017.63512098174,241202.0435621425,10794331.576052774,1036197.1710312741,153341.03467906252,741508.4744387306,288766.7657120562,2232084.9452274395,859372.4952315525,335184.57596648287,221864.3963707291,845526.745043117,521223.63962712506,179211.99552480664,3848798.860791741,551892.6853147396,117304.74841727613,63658.741608977834
Crude,1911,oil,storage,m3,1348970.70735255,14356194.242578324,458402.0076395761,362173.14178084274,512669.9434459799,1054670.8456826042,262861.70810657425,153360.1172594243,85124.75460740086,266591.73235815746,11930577.005110962,1145270.557455619,169482.196224227,819561.9980638601,319163.26736595685,2467041.2552513806,949832.7578875055,370467.1629103231,245218.5433571216,934529.5603108134,576089.2859036644,198076.41610636527,4253935.582980346,609986.6521899754,129652.61667172622,70359.66177834391
Crude,1912,oil,storage,m3,1477444.1080527925,15723450.837109596,502059.3417004881,396665.82195044693,561495.652345597,1155115.6881285664,287896.1564976765,167965.8427127028,93231.87409381999,291981.42115417245,13066822.434169149,1254343.9438799634,185623.3577693915,897615.52168899,349559.7690198576,2701997.5652753217,1040293.0205434584,405749.7498541634,268572.6903435142,1023532.3755785101,630954.932180204,216940.83668792387,4659072.305168949,668080.619065211,142000.48492617634,77060.58194771
Crude,1913,oil,storage,m3,1605917.508753036,17090707.431640863,545716.6757614003,431158.50212005095,610321.3612452141,1255560.5305745287,312930.6048887788,182571.56816598133,101338.99358023911,317371.10995018744,14203067.863227338,1363417.3303043083,201764.51931455598,975669.0453141192,379956.2706737582,2936953.8752992623,1130753.2831994111,441032.33679800376,291926.8373299067,1112535.1908462066,685820.5784567434,235805.25726948242,5064209.027357554,726174.5859404469,154348.35318062647,83761.5021170761
Crude,1914,oil,storage,m3,1734390.9094532784,18457964.02617213,589374.0098223122,465651.18228965503,659147.0701448313,1356005.373020491,337965.05327988113,197177.29361925978,109446.11306665825,342760.7987462025,15339313.292285522,1472490.7167286528,217905.68085972048,1053722.568939249,410352.7723276589,3171910.1853232034,1221213.5458553643,476314.92374184396,315280.9843162992,1201538.006113903,740686.2247332829,254669.6778510411,5469345.749546158,784268.5528156826,166696.2214350766,90462.42228644219
Crude,1915,oil,storage,m3,1862864.3101535214,19825220.6207034,633031.3438832243,500143.86245925917,707972.7790444485,1456450.2154664532,362999.5016709834,211783.0190725383,117553.23255307738,368150.4875422175,16475558.72134371,1581564.1031529976,234046.84240488496,1131776.0925643786,440749.2739815595,3406866.495347144,1311673.808511317,511597.5106856843,338635.13130269176,1290540.8213815994,795551.8710098225,273534.0984325996,5874482.471734763,842362.5196909184,179044.0896895267,97163.34245580826
Crude,1916,oil,storage,m3,1991337.7108537643,21192477.21523467,676688.6779441362,534636.5426288632,756798.4879440657,1556895.0579124158,388033.9500620857,226388.74452581684,125660.35203949652,393540.17633823253,17611804.150401898,1690637.4895773425,250188.00395004937,1209829.616189508,471145.7756354602,3641822.805371086,1402134.0711672697,546880.0976295245,361989.2782890844,1379543.6366492962,850417.5172863618,292398.51901415817,6279619.193923367,900456.4865661543,191391.95794397677,103864.26262517435
Crude,1917,oil,storage,m3,2119811.111554007,22559733.809765935,720346.0120050481,569129.2227984673,805624.1968436828,1657339.9003583777,413068.39845318807,240994.46997909536,133767.47152591564,418929.86513424746,18748049.57946008,1799710.8760016868,266329.1654952139,1287883.1398146376,501542.27728936076,3876779.1153950267,1492594.3338232224,582162.6845733649,385343.4252754769,1468546.4519169927,905283.1635629014,311262.93959571683,6684755.916111971,958550.4534413896,203739.8261984269,110565.18279454045
Crude,1918,oil,storage,m3,2248284.51225425,23926990.404297207,764003.3460659601,603621.9029680713,854449.9057432999,1757784.7428043403,438102.8468442904,255600.19543237388,141874.59101233477,444319.5539302625,19884295.008518275,1908784.2624260315,282470.32704037835,1365936.6634397672,531938.7789432615,4111735.425418968,1583054.5964791756,617445.2715172053,408697.57226186944,1557549.2671846894,960148.8098394409,330127.36017727543,7089892.638300575,1016644.4203166255,216087.69445287704,117266.10296390652
Crude,1919,oil,storage,m3,2376757.9129544925,25294246.99882848,807660.6801268721,638114.5831376754,903275.6146429171,1858229.585250303,463137.29523539264,270205.9208856523,149981.71049875388,469709.24272627756,21020540.437576458,2017857.6488503763,298611.48858554283,1443990.1870648968,562335.2805971622,4346691.7354429085,1673514.8591351283,652727.8584610454,432051.719248262,1646552.0824523855,1015014.4561159803,348991.78075883404,7495029.360489179,1074738.3871918614,228435.56270732716,123967.02313327261
