type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Rail Cargo,1900,oil,transport,kg,7427258.313886444,76507388.68701519,2486944.9437332973,1967992.7694019312,2849068.9191906997,5949346.876295671,1453015.6906263374,855430.0755605843,466399.6446894057,1412728.7202852145,64276671.77316591,6088522.827184605,916612.3035370331,4605277.82217346,1778357.5369786061,13785266.36986019,5315337.298659043,2016709.4292826415,1339211.852682608,4883396.844478754,3127662.436920979,1079477.8885986651,23755799.993685376,3323473.052620258,708515.9663524976,375682.8037971245
Rail Cargo,1901,oil,transport,kg,9284072.892358055,95634235.85876901,3108681.1796666207,2459990.961752414,3561336.1489883745,7436683.595369589,1816269.6132829217,1069287.5944507306,582999.5558617573,1765910.9003565183,80345839.71645737,7610653.533980759,1145765.3794212916,5756597.277716826,2222946.921223258,17231582.962325238,6644171.623323805,2520886.7866033013,1674014.81585326,6104246.055598442,3909578.0461512245,1349347.3607483315,29694749.99210672,4154341.3157753223,885644.957940622,469603.50474640576
Rail Cargo,1902,oil,transport,kg,11140887.470829666,114761083.03052282,3730417.415599945,2951989.1541028973,4273603.37878605,8924020.314443506,2179523.5359395063,1283145.1133408765,699599.4670341085,2119093.0804278217,96415007.65974887,9132784.240776911,1374918.4553055498,6907916.733260189,2667536.305467909,20677899.55479029,7973005.947988565,3025064.1439239616,2008817.7790239123,7325095.266718131,4691493.655381469,1619216.8328979977,35633699.99052806,4985209.578930387,1062773.9495287463,563524.205695687
Rail Cargo,1903,oil,transport,kg,12997702.049301276,133887930.20227663,4352153.65153327,3443987.34645338,4985870.608583724,10411357.033517426,2542777.458596091,1497002.6322310227,816199.3782064602,2472275.2604991253,112484175.60304034,10654914.947573064,1604071.5311898082,8059236.1888035545,3112125.689712561,24124216.14725533,9301840.272653326,3529241.5012446223,2343620.742194564,8545944.477837818,5473409.264611714,1889086.3050476636,41572649.98894941,5816077.842085452,1239902.9411168708,657444.906644968
Rail Cargo,1904,oil,transport,kg,14854516.627772888,153014777.37403038,4973889.887466595,3935985.538803862,5698137.838381399,11898693.752591344,2906031.3812526753,1710860.1511211686,932799.2893788114,2825457.4405704294,128553343.54633182,12177045.654369213,1833224.6070740663,9210555.644346923,3556715.0739572123,27570532.73972038,10630674.597318089,4033418.858565283,2678423.705365216,9766793.688957509,6255324.873841959,2158955.7771973303,47511599.98737075,6646946.105240516,1417031.9327049954,751365.6075942491
Rail Cargo,1905,oil,transport,kg,16711331.2062445,172141624.54578424,5595626.123399919,4427983.731154346,6410405.068179075,13386030.471665258,3269285.3039092594,1924717.6700113146,1049399.200551163,3178639.620641733,144622511.48962325,13699176.361165363,2062377.682958325,10361875.099890284,4001304.4582018643,31016849.33218543,11959508.921982849,4537596.215885942,3013226.6685358672,10987642.900077194,7037240.483072203,2428825.2493469967,53450549.98579209,7477814.368395581,1594160.9242931195,845286.3085435303
Rail Cargo,1906,oil,transport,kg,20424960.363187723,210395318.88929188,6839098.595266568,5411980.115855311,7834939.527774423,16360703.909813095,3995793.1492224284,2352432.707791607,1282599.0228958656,3885003.9807843408,176760847.37620625,16743437.774757667,2520683.8347268417,12664514.010977015,4890483.226691168,37909482.517115526,14617177.571312366,5545950.930527261,3682832.5948771713,13429341.322316572,8601071.701532694,2968564.1936463295,65328449.982634805,9139550.89470571,1948418.9074693683,1033127.7104420925
Rail Cargo,1907,oil,transport,kg,24138589.520130944,248649013.2327994,8082571.067133216,6395976.500556275,9259473.987369772,19335377.347960934,4722300.994535597,2780147.7455718983,1515798.8452405687,4591368.340926948,208899183.26278916,19787699.188349977,2978989.9864953575,14967152.922063747,5779661.99518047,44802115.70204563,17274846.220641892,6554305.645168584,4352438.521218475,15871039.744555952,10164902.919993183,3508303.137945661,77206349.97947747,10801287.421015838,2302676.8906456176,1220969.1123406552
Rail Cargo,1908,oil,transport,kg,27852218.677074168,286902707.576307,9326043.538999865,7379972.885257242,10684008.446965123,22310050.786108766,5448808.839848765,3207862.7833521906,1748998.6675852712,5297732.701069555,241037519.14937216,22831960.60194227,3437296.138263875,17269791.83315048,6668840.763669774,51694748.88697571,19932514.869971417,7562660.359809904,5022044.4475597795,18312738.16679532,11728734.138453672,4048042.0822449946,89084249.97632018,12463023.947325967,2656934.873821866,1408810.5142392174
Rail Cargo,1909,oil,transport,kg,31565847.83401739,325156401.91981465,10569516.010866512,8363969.26995821,12108542.906560473,25284724.224256605,6175316.685161934,3635577.8211324834,1982198.4899299743,6004097.061212162,273175855.0359551,25876222.015534576,3895602.2900323905,19572430.744237207,7558019.532159076,58587382.07190581,22590183.519300938,8571015.074451223,5691650.373901085,20754436.5890347,13292565.356914159,4587781.026544326,100962149.97316284,14124760.473636096,3011192.8569981144,1596651.9161377796
Rail Cargo,1910,oil,transport,kg,35279476.99096061,363410096.26332223,11812988.482733164,9347965.654659174,13533077.366155822,28259397.66240444,6901824.530475103,4063292.8589127753,2215398.312274677,6710461.42135477,305314190.92253804,28920483.429126877,4353908.441800908,21875069.655323934,8447198.300648378,65480015.2568359,25247852.16863046,9579369.789092546,6361256.300242388,23196135.011274077,14856396.575374652,5127519.970843659,112840049.97000554,15786496.999946225,3365450.840174364,1784493.3180363418
