type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
preparation,1880,coal,refinery,kg,180357.71744890348,3435586.6223879363,15021.129010510198,1555.4576364060376,14373.103785659097,53749.93106222202,18911.714198754067,5579.33855165996,1622.1430956705108,362936.5259121255,3876813.1902785935,1517490.9351155567,35556.48310569811,517930.97554234124,128698.34587719376,1016402.4198593231,2280.32855647833,288910.74782479013,260877.57626005873,2061028.3990197857,23878.413257904595,1062.84497782149,456772.7758499503,237793.90381535597,9878.411110800898,25643.78597522265
preparation,1881,coal,refinery,kg,225447.14681112935,4294483.277984921,18776.411263137747,1944.322045507547,17966.379732073874,67187.4138277775,23639.64274844258,6974.173189574949,2027.6788695881387,453670.6573901569,4846016.487848242,1896863.6688944458,44445.60388212264,647413.7194279266,160872.93234649222,1270503.0248241539,2850.4106955979123,361138.4347809877,326096.9703250734,2576285.498774732,29848.016572380748,1328.5562222768624,570965.969812438,297242.37976919493,12348.013888501122,32054.732469028317
preparation,1882,coal,refinery,kg,270536.5761733552,5153379.9335819045,22531.6935157653,2333.1864546090565,21559.65567848865,80624.89659333302,28367.571298131093,8369.007827489939,2433.2146435057666,544404.7888681882,5815219.78541789,2276236.402673335,53334.724658547166,776896.4633135119,193047.51881579065,1524603.6297889845,3420.4928347174946,433366.1217371852,391316.3643900881,3091542.598529679,35817.61988685689,1594.2674667322349,685159.1637749254,356690.85572303395,14817.616666201347,38465.67896283398
preparation,1883,coal,refinery,kg,315626.0055355811,6012276.589178889,26286.975768392844,2722.050863710566,25152.931624903424,94062.37935888853,33095.499847819614,9763.842465404929,2838.750417423394,635138.9203462196,6784423.082987539,2655609.136452224,62223.84543497169,906379.2071990973,225222.10528508908,1778704.2347538155,3990.574973837077,505593.8086933828,456535.7584551028,3606799.698284625,41787.22320133304,1859.9787111876071,799352.3577374131,416139.3316768729,17287.219443901573,44876.62545663964
preparation,1884,coal,refinery,kg,360715.43489780696,6871173.244775873,30042.258021020396,3110.9152728120753,28746.207571318195,107499.86212444404,37823.42839750814,11158.67710331992,3244.2861913410215,725873.051824251,7753626.380557187,3034981.8702311134,71112.96621139623,1035861.9510846827,257396.69175438755,2032804.8397186461,4560.657112956659,577821.4956495803,521755.15252011747,4122056.7980395714,47756.82651580919,2125.6899556429794,913545.5516999007,475587.80763071193,19756.822221601797,51287.5719504453
preparation,1885,coal,refinery,kg,405804.8642600328,7730069.900372857,33797.540273647945,3499.779681913585,32339.483517732973,120937.34488999954,42551.35694719665,12553.51174123491,3649.821965258649,816607.1833022822,8722829.678126836,3414354.604010002,80002.08698782074,1165344.694970268,289571.278223686,2286905.444683477,5130.739252076241,650049.1826057779,586974.546585132,4637313.897794518,53726.42983028535,2391.401200098352,1027738.7456623883,535036.2835845508,22226.42499930202,57698.51844425096
preparation,1886,coal,refinery,kg,495983.7229844846,9447863.211566824,41308.10477890304,4277.5085001166035,39526.035410562516,147812.3104211105,52007.21404657369,15343.18101706489,4460.893513093905,998075.4462583449,10661236.273266133,4173100.071567781,97780.32854066981,1424310.1827414385,353920.45116228284,2795106.6546131386,6270.903530315406,794504.5565181728,717413.3347151615,5667828.097304411,65665.63645923763,2922.823689009097,1256125.1335873634,653933.2354922289,27165.63055470247,70520.4114318623
preparation,1887,coal,refinery,kg,586162.5817089364,11165656.522760794,48818.669284158146,5055.237318319622,46712.587303392065,174687.27595222153,61463.07114595072,18132.85029289487,5271.96506092916,1179543.7092144077,12599642.868405428,4931845.539125559,115558.57009351888,1683275.6705126092,418269.6241008797,3303307.8645428,7411.067808554571,938959.930430568,847852.1228451909,6698342.296814304,77604.84308818994,3454.2461779198416,1484511.5215123387,772830.1873999068,32104.836110102922,83342.30441947361
preparation,1888,coal,refinery,kg,676341.440433388,12883449.833954763,56329.23378941324,5832.966136522641,53899.139196221615,201562.24148333253,70918.92824532776,20922.519568724845,6083.036608764415,1361011.9721704703,14538049.463544726,5690591.0066833375,133336.81164636792,1942241.15828378,482618.79703947663,3811509.0744724614,8551.232086793736,1083415.304342963,978290.9109752203,7728856.496324196,89544.04971714223,3985.6686668305865,1712897.909437314,891727.1393075847,37044.04166550337,96164.19740708492
preparation,1889,coal,refinery,kg,766520.2991578397,14601243.14514873,63839.79829466834,6610.694954725659,61085.69108905117,228437.20701444356,80374.78534470478,23712.18884455483,6894.10815659967,1542480.235126533,16476456.058684021,6449336.474241115,151115.05319921699,2201206.6460549505,546967.9699780735,4319710.284402123,9691.396365032902,1227870.6782553582,1108729.6991052497,8759370.69583409,101483.25634609452,4517.091155741333,1941284.2973622887,1010624.0912152628,41983.24722090382,108986.09039469625
preparation,1890,coal,refinery,kg,856699.1578822915,16319036.456342699,71350.36279992343,7388.423772928679,68272.24298188071,255312.17254555455,89830.6424440818,26501.858120384808,7705.179704434926,1723948.4980825959,18414862.65382332,7208081.941798893,168893.29475206602,2460172.133826121,611317.1429166704,4827911.494331785,10831.560643272065,1372326.0521677532,1239168.4872352788,9789884.895343982,113422.46297504684,5048.513644652076,2169670.685287264,1129521.0431229407,46922.45277630427,121807.98338230758
