type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Rail Cargo,1880,coal,transport,kg,13829141.453434702,263427670.56802526,1151762.8456097993,119266.55528216255,1102074.744503737,4121339.5816146224,1450078.0697426684,427802.38704987103,124379.74179893539,27828587.689234294,297259239.8886011,116355413.52403338,2726335.426121517,39712970.563179046,9868097.995102443,77933858.5377144,174846.89102244517,22152573.538853664,20003096.92958739,158031791.88972357,1830905.5985956695,81494.89663801141,35023593.21605724,18233129.023484416,757438.8638243282,1966267.6411583466
Rail Cargo,1881,coal,transport,kg,17286426.816793382,329284588.2100316,1439703.5570122488,149083.1941027032,1377593.4306296713,5151674.477018277,1812597.5871783353,534752.9838123387,155474.67724866924,34785734.611542866,371574049.86075133,145444266.90504175,3407919.2826518966,49641213.20397381,12335122.493878055,97417323.17214301,218558.61377805646,27690716.923567083,25003871.161984235,197539739.86215448,2288631.998244587,101868.62079751425,43779491.520071566,22791411.27935552,946798.5797804103,2457834.551447933
Rail Cargo,1882,coal,transport,kg,20743712.180152055,395141505.8520379,1727644.2684146985,178899.8329232438,1653112.1167556057,6182009.372421933,2175117.1046140017,641703.5805748065,186569.6126984031,41742881.53385144,445888859.83290166,174533120.28605008,4089503.1391822756,59569455.84476856,14802146.992653666,116900787.80657159,262270.3365336678,33228860.308280498,30004645.394381084,237047687.83458534,2746358.3978935042,122242.34495701709,52535389.82408587,27349693.535226624,1136158.2957364921,2949401.46173752
Rail Cargo,1883,coal,transport,kg,24200997.543510728,460998423.49404424,2015584.979817148,208716.47174378447,1928630.8028815398,7212344.2678255895,2537636.6220496693,748654.1773372742,217664.5481481369,48700028.45616001,520203669.8050519,203621973.6670584,4771086.995712654,69497698.48556332,17269171.49142928,136384252.4410002,305982.05928927904,38767003.69299392,35005419.62677793,276555635.80701625,3204084.7975424216,142616.06911651994,61291288.12810019,31907975.791097734,1325518.0116925742,3440968.372027106
Rail Cargo,1884,coal,transport,kg,27658282.906869404,526855341.1360505,2303525.6912195985,238533.1105643251,2204149.489007474,8242679.163229245,2900156.1394853373,855604.7740997421,248759.48359787077,55657175.37846859,594518479.7772022,232710827.04806677,5452670.852243034,79425941.1263581,19736195.990204893,155867717.0754288,349693.78204489034,44305147.07770733,40006193.85917478,316063583.77944714,3661811.197191339,162989.7932760228,70047186.43211448,36466258.04696883,1514877.7276486563,3932535.282316693
Rail Cargo,1885,coal,transport,kg,31115568.27022808,592712258.7780569,2591466.402622048,268349.74938486575,2479668.1751334085,9273014.058632901,3262675.656921004,962555.3708622099,279854.4190476046,62614322.30077715,668833289.7493526,261799680.42907512,6134254.708773414,89354183.76715286,22203220.4889805,175351181.70985743,393405.5048005016,49843290.462420754,45006968.09157162,355571531.751878,4119537.596840257,183363.51743552563,78803084.73612882,41024540.302839935,1704237.4436047382,4424102.19260628
Rail Cargo,1886,coal,transport,kg,38030138.99694543,724426094.0620695,3167347.825426948,327983.027025947,3030705.5473852768,11333683.84944021,3987714.691792338,1176456.5643871455,342044.2899470724,76528616.1453943,817462909.693653,319977387.1910918,7497422.421834173,109210669.04874235,27137269.48653172,214318110.97871464,480828.9503117243,60919577.231847584,55008516.55636532,434587427.6967398,5034990.396138091,224110.96575453135,96314881.34415744,50141104.81458215,2082956.8755169027,5407236.013185454
Rail Cargo,1887,coal,transport,kg,44944709.723662786,856139929.3460822,3743229.2482318473,387616.3046670283,3581742.9196371455,13394353.640247522,4712753.726663672,1390357.757912081,404234.16084653995,90442909.99001144,966092529.6379536,378155093.95310843,8860590.134894932,129067154.33033189,32071318.484082945,253285040.2475718,568252.3958229468,71995864.00127444,65010065.02115902,513603323.6416016,5950443.195435926,264858.41407353705,113826677.95218605,59257669.32632435,2461676.307429067,6390369.833764627
Rail Cargo,1888,coal,transport,kg,51859280.450380124,987853764.630095,4319110.671036746,447249.58230810956,4132780.2918890133,15455023.431054832,5437792.761535007,1604258.9514370163,466424.03174600756,104357203.8346286,1114722149.5822542,436332800.7151252,10223757.84795569,148923639.61192143,37005367.48163416,292251969.516429,655675.8413341695,83072150.77070124,75011613.48595272,592619219.5864633,6865895.994733761,305605.8623925427,131338474.5602147,68374233.83806656,2840395.739341231,7373503.6543438
Rail Cargo,1889,coal,transport,kg,58773851.177097484,1119567599.914107,4894992.093841646,506882.85994919075,4683817.664140883,17515693.22186214,6162831.796406341,1818160.144961952,528613.9026454753,118271497.67924573,1263351769.5265546,494510507.4771418,11586925.56101645,168780124.89351094,41939416.47918539,331218898.7852862,743099.2868453921,94148437.5401281,85013161.9507464,671635115.5313252,7781348.794031595,346353.31071154843,148850271.1682433,77490798.34980877,3219115.171253395,8356637.474922971
