type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
offshore,1920,gas,extraction,kg,332759.67775398545,5820056.230027262,115461.72485012261,12446.435033006432,1698.5758215131216,125035.32619760511,20827.374673834907,2597.3995856066176,1722.894186311524,325.80050183257134,1082340.6672965917,517465.47489892144,2188.274599647288,887096.1035324814,401351.36312293325,3575693.508193952,127933.2194471901,10508.860177362081,533.9784372687935,22387.23243848499,2674.818141814768,1582.1124759267216,76248.14773990201,29862.8310668303,42700.059765049846,671.0307707877907
offshore,1921,gas,extraction,kg,415949.59719248186,7275070.287534079,144327.15606265326,15558.043791258036,2123.219776891402,156294.15774700636,26034.218342293636,3246.7494820082716,2153.617732889405,407.25062729071425,1352925.8341207397,646831.8436236517,2735.3432495591087,1108870.1294156017,501689.20390366646,4469616.885242439,159916.5243089876,13136.075221702604,667.4730465859922,27984.04054810623,3343.5226772684605,1977.6405949084021,95310.18467487751,37328.538833537874,53375.07470631232,838.7884634847384
offshore,1922,gas,extraction,kg,499139.51663097815,8730084.345040893,173192.5872751839,18669.652549509647,2547.863732269682,187552.98929640764,31241.062010752372,3896.0993784099264,2584.3412794672863,488.70075274885704,1623511.0009448878,776198.2123483822,3282.4118994709315,1330644.1552987222,602027.0446843999,5363540.262290928,191899.82917078512,15763.290266043123,800.9676559031905,33580.84865772748,4012.2272127221518,2373.1687138900825,114372.22160985303,44794.24660024546,64050.089647574765,1006.5461561816861
offshore,1923,gas,extraction,kg,582329.4360694746,10185098.402547708,202058.01848771458,21781.261307761255,2972.507687647963,218811.8208458089,36447.90567921109,4545.44927481158,3015.064826045167,570.1508782069998,1894096.1677690358,905564.5810731126,3829.480549382753,1552418.1811818425,702364.885465133,6257463.639339415,223883.13403258263,18390.50531038364,934.4622652203889,39177.65676734873,4680.9317481758435,2768.696832871763,133434.2585448285,52259.95436695302,74725.10458883723,1174.303848878634
offshore,1924,gas,extraction,kg,665519.3555079709,11640112.460054524,230923.44970024523,24892.870066012863,3397.151643026243,250070.6523952102,41654.749347669815,5194.799171213235,3445.7883726230475,651.6010036651427,2164681.334593184,1034930.949797843,4376.549199294575,1774192.2070649627,802702.7262458664,7151387.016387905,255866.4388943802,21017.720354724166,1067.9568745375873,44774.46487696998,5349.636283629536,3164.224951853443,152496.29547980402,59725.6621336606,85400.11953009969,1342.0615415755815
offshore,1925,gas,extraction,kg,748709.2749464674,13095126.51756134,259788.8809127758,28004.478824264468,3821.7955984045234,281329.48394461145,46861.59301612855,5844.14906761489,3876.5119192009297,733.0511291232857,2435266.501417332,1164297.318522573,4923.617849206396,1995966.232948083,903040.5670265997,8045310.393436392,287849.7437561777,23644.935399064685,1201.4514838547857,50371.27298659122,6018.340819083227,3559.7530708351237,171558.3324147795,67191.36990036817,96075.13447136217,1509.8192342725295
offshore,1926,gas,extraction,kg,915089.11382346,16005154.63257497,317519.7433378372,34227.69634076768,4671.083509161083,343847.14704341406,57275.280353046015,7142.8488604181985,4737.959012356691,895.9513800395714,2976436.8350656275,1423030.0559720343,6017.755149030041,2439514.2847143235,1103716.2485880663,9833157.147533368,351816.35347977275,28899.365487745727,1468.440702489183,61564.88920583371,7355.749889990613,4350.809308798485,209682.40628473053,82122.78543378331,117425.1643538871,1845.3346196664243
offshore,1927,gas,extraction,kg,1081468.9527004526,18915182.7475886,375250.6057628984,40450.9138572709,5520.371419917644,406364.81014221656,67688.96768996347,8441.548653221507,5599.406105512452,1058.8516309558572,3517607.1687139235,1681762.793421495,7111.892448853685,2883062.3364805644,1304391.9301495329,11621003.901630346,415782.9632033678,34153.79557642677,1735.429921123579,72758.50542507619,8693.158960897994,5141.8655467618455,247806.48015468154,97054.20096719847,138775.19423641203,2180.8500050603197
offshore,1928,gas,extraction,kg,1247848.7915774456,21825210.862602234,432981.4681879598,46674.131373774115,6369.659330674206,468882.47324101906,78102.65502688092,9740.248446024816,6460.853198668214,1221.7518818721426,4058777.5023622196,1940495.5308709552,8206.029748677329,3326610.3882468045,1505067.6117109999,13408850.655727321,479749.57292696286,39408.225665107806,2002.4191397579762,83952.1216443187,10030.56803180538,5932.921784725206,285930.5540246325,111985.61650061361,160125.22411893695,2516.3653904542157
offshore,1929,gas,extraction,kg,1414228.6304544383,24735238.97761586,490712.3306130211,52897.348890277324,7218.9472414307675,531400.1363398216,88516.34236379838,11038.948238828123,7322.300291823976,1384.6521327884286,4599947.836010516,2199228.2683204156,9300.16704850097,3770158.4400130454,1705743.2932724664,15196697.409824297,543716.1826505578,44662.655753788844,2269.408358392373,95145.7378635612,11367.977102712763,6723.978022688567,324054.6278945835,126917.03203402877,181475.25400146184,2851.880775848111
