type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
processing,1920,gas,refinery,kg,59881675.39386698,1047346602.4877216,20777882.628563814,2239794.7596534435,305666.7402200039,22500697.400202315,3747984.4251053967,467414.32105980936,310042.94480343355,58629.33882368005,194772314.1881172,93120355.82129453,393790.3478365587,159637132.94063628,72225073.08467206,643462932.2003639,23022186.975108147,1891119.0146228422,96091.94137846916,4028688.195928363,481346.1558410227,284708.61121002043,13721214.250363719,5373957.470916564,7684077.396059476,120755.15599374504
processing,1921,gas,refinery,kg,74852094.24233374,1309183253.109652,25972353.28570476,2799743.449566804,382083.4252750049,28125871.750252888,4684980.531381746,584267.9013247618,387553.681004292,73286.67352960007,243465392.7351465,116400444.77661817,492237.9347956982,199546416.17579535,90281341.35584006,804328665.2504547,28777733.71888518,2363898.768278553,120114.92672308648,5035860.244910453,601682.6948012784,355885.76401252556,17151517.81295465,6717446.838645705,9605096.745074347,150943.94499218126
processing,1922,gas,refinery,kg,89822513.09080046,1571019903.7315822,31166823.94284572,3359692.1394801657,458500.1103300058,33751046.10030347,5621976.637658096,701121.4815897142,465064.4172051504,87944.00823552009,292158471.2821758,139680533.73194182,590685.5217548381,239455699.41095442,108337609.62700808,965194398.3005457,34533280.46266221,2836678.521934264,144137.91206770376,6043032.293892545,722019.233761534,427062.9168150306,20581821.37554558,8060936.206374846,11526116.094089212,181132.73399061756
processing,1923,gas,refinery,kg,104792931.9392672,1832856554.3535125,36361294.59998667,3919640.829393526,534916.7953850068,39376220.45035404,6558972.743934444,817975.0618546664,542575.1534060087,102601.34294144009,340851549.8292051,162960622.68726546,689133.1087139776,279364982.6461135,126393877.89817607,1126060131.3506367,40288827.20643925,3309458.2755899737,168160.89741232106,7050204.342874635,842355.7727217897,498240.0696175358,24012124.93813651,9404425.574103985,13447135.443104083,211321.5229890538
processing,1924,gas,refinery,kg,119763350.78773396,2094693204.9754431,41555765.25712763,4479589.519306887,611333.4804400078,45001394.80040462,7495968.850210793,934828.6421196187,620085.889606867,117258.6776473601,389544628.3762345,186240711.6425891,787580.6956731173,319274265.88127255,144450146.1693441,1286925864.400728,46044373.95021629,3782238.0292456853,192183.88275693834,8057376.391856726,962692.3116820453,569417.2224200409,27442428.500727437,10747914.941833127,15368154.792118952,241510.31198749007
processing,1925,gas,refinery,kg,134733769.63620073,2356529855.5973735,46750235.914268576,5039538.209220247,687750.1654950087,50626569.1504552,8432964.956487143,1051682.2223845713,697596.6258077256,131916.01235328015,438237706.9232637,209520800.5979127,886028.2826322569,359183549.1164316,162506414.44051212,1447791597.4508188,51799920.69399332,4255017.782901396,216206.86810155565,9064548.440838816,1083028.8506423011,640594.375222546,30872732.063318364,12091404.309562268,17289174.141133823,271699.10098592634
processing,1926,gas,refinery,kg,164674607.3331342,2880203156.8412337,57139177.228550486,6159435.589046969,840583.5356050106,61876917.850556366,10306957.169039842,1285389.3829144759,852618.0982094423,161230.68176512016,535623864.0173223,256080978.50856003,1082923.4565505362,439002115.5867497,198618950.98284814,1769523063.5510006,63311014.1815474,5200577.290212817,264252.83879079024,11078892.538802998,1323701.9285628125,782948.6808275562,37733339.18850023,14778383.045020547,21131212.83916356,332076.6789827988
processing,1927,gas,refinery,kg,194615445.03006768,3403876458.085095,67528118.54283237,7279332.968873691,993416.9057150126,73127266.55065753,12180949.38159254,1519096.5434443806,1007639.5706111591,190545.3511769602,633010021.1113808,302641156.4192073,1279818.6304688158,518820682.0570679,234731487.52518415,2091254529.651183,74822107.66910148,6146136.797524238,312298.8094800248,13093236.636767179,1564375.0064833236,925302.9864325663,44593946.31368209,17465361.780478828,24973251.5371933,392454.25697967137
processing,1928,gas,refinery,kg,224556282.7270012,3927549759.3289557,77917059.8571143,8399230.348700412,1146250.2758250146,84377615.25075868,14054941.594145238,1752803.7039742852,1162661.0430128758,219860.02058880017,730396178.2054396,349201334.3298545,1476713.804387095,598639248.527386,270844024.0675202,2412985995.751364,86333201.15665554,7091696.304835659,360344.7801692594,15107580.73473136,1805048.0844038352,1067657.2920375764,51454553.43886394,20152340.515937112,28815290.23522304,452831.8349765439
processing,1929,gas,refinery,kg,254497120.4239347,4451223060.572816,88306001.17139621,9519127.728527132,1299083.6459350167,95627963.95085983,15928933.806697937,1986510.8645041897,1317682.5154145926,249174.6900006403,827782335.2994982,395761512.24050176,1673608.978305374,678457814.9977041,306956560.60985625,2734717461.8515463,97844294.64420961,8037255.81214708,408390.750858494,17121924.832695544,2045721.1623243464,1210011.5976425868,58315160.5640458,22839319.251395393,32657328.933252767,513209.4129734165
