type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
refinery,1900,oil,refinery,kg,13364948.30792467,137722455.45470124,4476587.523247593,3542034.9473763863,5127659.997348665,10714791.156392748,2615262.30721695,1539551.4645728539,839405.311149744,2542574.4008795875,115638271.65209615,10957750.413650917,1650150.686181603,8288248.010115002,3200576.1674773637,24809856.335561223,9566282.806918511,3629583.9150844323,2410247.7043376225,8788830.897403669,5628972.1957804235,1942776.4843269736,42692242.34894324,5978907.9549985835,1275283.4743460563,675712.9482445213
refinery,1901,oil,refinery,kg,16706185.384905836,172153069.31837657,5595734.404059491,4427543.684220483,6409574.996685833,13393488.945490936,3269077.884021188,1924439.3307160677,1049256.6389371797,3178218.001099485,144547839.56512016,13697188.01706365,2062688.3577270035,10360310.012643753,4000720.209346705,31012320.419451527,11957853.508648138,4536979.893855541,3012809.6304220273,10986038.621754583,7036215.244725528,2428470.605408717,53365302.93617904,7473634.94374823,1594104.3429325698,844641.1853056515
refinery,1902,oil,refinery,kg,20047422.461887002,206583683.18205184,6714881.284871388,5313052.421064579,7691489.996022998,16072186.734589122,3922893.460825425,2309327.196859281,1259107.9667246158,3813861.601319381,173457407.4781442,16436625.620476378,2475226.0292724045,12432372.015172502,4800864.251216046,37214784.50334183,14349424.210377764,5444375.872626648,3615371.556506434,13183246.346105503,8443458.293670634,2914164.7264904603,64038363.523414865,8968361.932497876,1912925.2115190844,1013569.422366782
refinery,1903,oil,refinery,kg,23388659.538868174,241014297.04572713,7834028.165683287,6198561.157908675,8973404.995360166,18750884.52368731,4576709.037629664,2694215.0630024946,1468959.2945120519,4449505.201539279,202366975.39116827,19176063.22388911,2887763.7008178057,14504434.017701253,5601008.293085387,43417248.587232135,16740994.912107395,6351771.8513977565,4217933.482590839,15380454.07045642,9850701.34261574,3399858.847572203,74711424.11065066,10463088.921247523,2231746.080105598,1182497.6594279122
refinery,1904,oil,refinery,kg,26729896.615849335,275444910.9094025,8953175.046495188,7084069.8947527725,10255319.994697334,21429582.312785495,5230524.614433901,3079102.9291457077,1678810.622299488,5085148.801759176,231276543.3041923,21915500.827301834,3300301.372363206,16576496.020230005,6401152.334954727,49619712.67112245,19132565.613837022,7259167.830168865,4820495.408675244,17577661.794807337,11257944.391560847,3885552.968653947,85384484.69788647,11957815.909997167,2550566.948692112,1351425.8964890426
refinery,1905,oil,refinery,kg,30071133.692830503,309875524.7730778,10072321.927307084,7969578.631596869,11537234.994034497,24108280.101883687,5884340.19123814,3463990.7952889213,1888661.9500869235,5720792.401979073,260186111.21721628,24654938.430714566,3712839.043908608,18648558.022758752,7201296.376824069,55822176.755012736,21524136.315566648,8166563.808939972,5423057.33475965,19774869.51915825,12665187.440505952,4371247.0897356905,96057545.2851223,13452542.898746813,2869387.817278627,1520354.1335501724
refinery,1906,oil,refinery,kg,36753607.84679284,378736752.50042844,12310615.688930882,9740596.105285062,14101064.99270883,29465675.68008006,7191971.344846613,4233766.5275753485,2308364.6056617955,6992079.602418867,318005247.0432644,30133813.637540024,4537914.386999409,22792682.02781626,8801584.46056275,68227104.92279336,26307277.719025906,9981355.76648219,6628181.186928461,24169284.967860088,15479673.538396163,5342635.331899177,117403666.45959388,16441996.876246104,3507029.5544516547,1858210.6076724334
refinery,1907,oil,refinery,kg,43436082.000755176,447597980.227779,14548909.450554678,11511613.578973254,16664894.991383163,34823071.25827644,8499602.498455089,5003542.259861777,2728067.261236668,8263366.802858661,375824382.86931247,35612688.84436549,5362989.73009021,26936806.032873757,10401872.544301432,80632033.09057397,31090419.122485165,11796147.724024406,7833305.039097273,28563700.416561924,18294159.636286378,6314023.574062662,138749787.6340655,19431450.853745397,4144671.291624683,2196067.081794694
refinery,1908,oil,refinery,kg,50118556.15471751,516459207.95512956,16787203.212178472,13282631.052661447,19228724.9900575,40180466.83647281,9807233.652063565,5773317.992148202,3147769.91681154,9534654.003298456,433643518.69536054,41091564.05119094,6188065.073181012,31080930.03793125,12002160.628040116,93036961.25835457,35873560.52594442,13610939.681566622,9038428.891266083,32958115.865263756,21108645.734176584,7285411.816226151,160095908.80853716,22420904.83124469,4782313.028797711,2533923.5559169543
refinery,1909,oil,refinery,kg,56801030.30867985,585320435.6824803,19025496.973802276,15053648.52634964,21792554.98873183,45537862.41466918,11114864.80567204,6543093.72443463,3567472.5723864115,10805941.203738248,491462654.52140856,46570439.2580164,7013140.416271814,35225054.042988755,13602448.711778795,105441889.42613518,40656701.92940368,15425731.63910884,10243552.743434895,37352531.313965596,23923131.8320668,8256800.058389638,181442029.98300874,25410358.808743984,5419954.76597074,2871780.0300392155
refinery,1910,oil,refinery,kg,63483504.462642185,654181663.4098309,21263790.73542607,16824666.00003783,24356384.987406164,50895257.99286555,12422495.959280515,7312869.456721057,3987175.227961283,12077228.404178042,549281790.3474566,52049314.46484186,7838215.759362615,39369178.04804627,15202736.795517476,117846817.5939158,45439843.33286292,17240523.59665105,11448676.595603704,41746946.762667425,26737617.929957006,9228188.300553123,202788151.1574804,28399812.786243267,6057596.503143767,3209636.504161476
refinery,1911,oil,refinery,kg,70165978.61660452,723042891.1371815,23502084.497049864,18595683.473726027,26920214.986080498,56252653.57106193,13730127.112888988,8082645.189007484,4406877.883536156,13348515.604617834,607100926.1735048,57528189.67166732,8663291.102453414,43513302.05310376,16803024.879256163,130251745.76169641,50222984.73632218,19055315.55419327,12653800.447772518,46141362.21136926,29552104.02784722,10199576.542716611,224134272.33195198,31389266.76374256,6695238.240316794,3547492.978283737
refinery,1912,oil,refinery,kg,76848452.77056684,791904118.8645321,25740378.25867366,20366700.94741422,29484044.98475483,61610049.14925831,15037758.266497465,8852420.921293912,4826580.5391110275,14619802.80505763,664920061.9995527,63007064.87849279,9488366.445544219,47657426.05816125,18403312.962994844,142656673.92947704,55006126.139781445,20870107.511735484,13858924.299941327,50535777.6600711,32366590.125737432,11170964.784880098,245480393.50642356,34378720.74124186,7332879.977489823,3885349.452405997
refinery,1913,oil,refinery,kg,83530926.9245292,860765346.5918825,27978672.020297453,22137718.421102412,32047874.983429167,66967444.72745467,16345389.42010594,9622196.653580338,5246283.194685899,15891090.005497426,722739197.8256009,68485940.08531824,10313441.788635021,51801550.06321875,20003601.046733525,155061602.09725764,59789267.54324068,22684899.469277706,15064048.15211014,54930193.10877292,35181076.22362764,12142353.027043583,266826514.68089524,37368174.71874115,7970521.714662852,4223205.926528258
refinery,1914,oil,refinery,kg,90213401.07849154,929626574.3192333,30216965.78192125,23908735.89479061,34611704.9821035,72324840.30565105,17653020.573714416,10391972.385866765,5665985.850260772,17162377.205937218,780558333.651649,73964815.2921437,11138517.131725822,55945674.068276264,21603889.13047221,167466530.26503825,64572408.946699955,24499691.426819917,16269172.004278952,59324608.557474755,37995562.321517855,13113741.269207073,288172635.8553668,40357628.69624043,8608163.45183588,4561062.400650518
refinery,1915,oil,refinery,kg,96895875.23245387,998487802.0465838,32455259.543545045,25679753.3684788,37175534.98077782,77682235.88384742,18960651.727322888,11161748.118153192,6085688.505835642,18433664.406377014,838377469.477697,79443690.49896915,11963592.474816622,60089798.07333377,23204177.214210887,179871458.43281883,69355550.3501592,26314483.38436214,17474295.856447764,63719024.006176606,40810048.41940807,14085129.511370556,309518757.02983856,43347082.67373973,9245805.189008908,4898918.874772779
refinery,1916,oil,refinery,kg,103578349.38641618,1067349029.7739347,34693553.305168845,27450770.842166986,39739364.97945216,83039631.4620438,20268282.88093137,11931523.850439617,6505391.161410516,19704951.606816806,896196605.3037452,84922565.70579462,12788667.817907423,64233922.078391254,24804465.297949567,192276386.6005995,74138691.75361846,28129275.34190435,18679419.708616573,68113439.45487842,43624534.51729828,15056517.753534043,330864878.20431,46336536.65123903,9883446.926181935,5236775.348895039
refinery,1917,oil,refinery,kg,110260823.54037853,1136210257.5012853,36931847.066792645,29221788.315855183,42303194.978126496,88397027.04024018,21575914.03453984,12701299.582726046,6925093.816985386,20976238.8072566,954015741.1297932,90401440.91262007,13613743.160998223,68378046.08344875,26404753.38168825,204681314.7683801,78921833.1570777,29944067.299446564,19884543.560785383,72507854.90358026,46439020.61518848,16027905.995697532,352210999.37878174,49325990.62873831,10521088.663354965,5574631.823017299
refinery,1918,oil,refinery,kg,116943297.69434087,1205071485.2286358,39170140.82841644,30992805.789543375,44867024.97680084,93754422.61843655,22883545.18814832,13471075.315012474,7344796.472560259,22247526.007696394,1011834876.9558412,95880316.11944553,14438818.504089028,72522170.08850627,28005041.46542693,217086242.93616068,83704974.56053697,31758859.256988782,21089667.412954196,76902270.35228209,49253506.7130787,16999294.23786102,373557120.55325335,52315444.60623761,11158730.400527991,5912488.297139561
refinery,1919,oil,refinery,kg,123625771.84830318,1273932712.9559865,41408434.59004024,32763823.263231568,47430854.97547516,99111818.1966329,24191176.341756787,14240851.047298903,7764499.128135131,23518813.20813619,1069654012.7818892,101359191.326271,15263893.847179828,76666294.09356377,29605329.54916562,229491171.10394126,88488115.96399623,33573651.214531,22294791.26512301,81296685.80098392,52067992.81096891,17970682.480024505,394903241.7277249,55304898.583736904,11796372.13770102,6250344.771261822
refinery,1920,oil,refinery,kg,130308246.00226554,1342793940.683337,43646728.35166404,34534840.73691975,49994684.974149495,104469213.77482931,25498807.495365262,15010626.779585326,8184201.783710005,24790100.408575986,1127473148.6079373,106838066.53309645,16088969.190270633,80810418.09862126,31205617.632904302,241896099.27172184,93271257.36745547,35388443.172073215,23499915.11729182,85691101.24968576,54882478.908859126,18942070.722187992,416249362.9021966,58294352.561236195,12434013.874874046,6588201.245384082
refinery,1921,oil,refinery,kg,136990720.15622786,1411655168.4106877,45885022.11328783,36305858.21060795,52558514.97282383,109826609.35302566,26806438.64897374,15780402.511871753,8603904.439284876,26061387.609015774,1185292284.4339855,112316941.73992193,16914044.53336143,84954542.10367878,32805905.716642983,254301027.43950254,98054398.77091472,37203235.129615426,24705038.96946063,90085516.6983876,57696965.00674934,19913458.96435148,437595484.07666814,61283806.53873549,13071655.612047076,6926057.719506342
refinery,1922,oil,refinery,kg,143673194.31019023,1480516396.1380384,48123315.87491163,38076875.684296146,55122344.97149816,115184004.93122204,28114069.80258222,16550178.244158182,9023607.094859747,27332674.809455566,1243111420.2600334,117795816.94674736,17739119.876452234,89098666.10873628,34406193.80038166,266705955.60728312,102837540.17437398,39018027.08715765,25910162.82162944,94479932.14708945,60511451.10463954,20884847.206514966,458941605.2511398,64273260.51623477,13709297.349220103,7263914.193628604
refinery,1923,oil,refinery,kg,150355668.46415254,1549377623.8653889,50361609.63653541,39847893.15798434,57686174.970172495,120541400.5094184,29421700.95619069,17319953.97644461,9443309.75043462,28603962.009895362,1300930556.0860815,123274692.15357281,18564195.219543036,93242790.11379376,36006481.884120345,279110883.77506375,107620681.57783324,40832819.04469986,27115286.67379825,98874347.59579127,63325937.202529766,21856235.44867845,480287726.42561144,67262714.49373408,14346939.086393133,7601770.667750864
refinery,1924,oil,refinery,kg,157038142.61811486,1618238851.5927393,52599903.39815922,41618910.631672524,60250004.96884683,125898796.0876148,30729332.109799165,18089729.708731033,9863012.40600949,29875249.210335158,1358749691.9121296,128753567.36039826,19389270.56263384,97386914.11885124,37606769.96785902,291515811.94284433,112403822.9812925,42647611.00224208,28320410.52596706,103268763.04449311,66140423.30041997,22827623.690841936,501633847.600083,70252168.47123337,14984580.823566161,7939627.141873124
refinery,1925,oil,refinery,kg,163720616.77207723,1687100079.3200898,54838197.15978302,43389928.105360724,62813834.96752115,131256191.66581115,32036963.263407644,18859505.441017464,10282715.061584365,31146536.410774954,1416568827.7381775,134232442.56722376,20214345.905724637,101531038.12390877,39207058.051597714,303920740.11062497,117186964.38475177,44462402.9597843,29525534.378135875,107663178.49319492,68954909.39831017,23799011.933005426,522979968.77455467,73241622.44873266,15622222.56073919,8277483.615995386
refinery,1926,oil,refinery,kg,170403090.92603955,1755961307.0474408,57076490.92140682,45160945.57904892,65377664.96619549,136613587.24400753,33344594.41701612,19629281.17330389,10702417.717159236,32417823.61121475,1474387963.564226,139711317.7740492,21039421.248815436,105675162.12896627,40807346.135336384,316325668.27840555,121970105.78821103,46277194.91732652,30730658.230304684,112057593.94189678,71769395.4962004,24770400.175168905,544326089.9490262,76231076.42623195,16259864.29791222,8615340.090117646
refinery,1927,oil,refinery,kg,177085565.08000186,1824822534.774791,59314784.6830306,46931963.05273712,67941494.96486983,141970982.82220393,34652225.57062459,20399056.90559032,11122120.372734105,33689110.81165454,1532207099.3902738,145190192.9808747,21864496.591906242,109819286.13402377,42407634.21907507,328730596.4461862,126753247.19167025,48091986.87486873,31935782.082473505,116452009.3905986,74583881.5940906,25741788.417332403,565672211.123498,79220530.40373123,16897506.035085242,8953196.564239906
