type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Crude,1900,oil,storage,m3,256784.4332688964,2654931.747052692,87912.77000471475,69537.95095404563,98991.60366086119,208394.6007378241,50651.76732917214,29892.280618369095,16578.61576655582,51227.77470199507,2223922.033482493,210250.52352030698,32580.107659514048,157959.87703707255,62925.01378563685,475386.46135449625,183361.40993441915,71632.05506061827,45844.98232015939,176154.87984442714,110626.6038269637,37878.67296436681,812714.383526053,115581.23240196468,24988.25316649749,13525.602844365725
Crude,1901,oil,storage,m3,320980.5415861205,3318664.6838158653,109890.96250589345,86922.43869255704,123739.50457607652,260493.25092228016,63314.70916146517,37365.35077296137,20723.269708194774,64034.71837749385,2779902.541853116,262813.1544003837,40725.134574392556,197449.84629634066,78656.26723204607,594233.0766931204,229201.76241802395,89540.06882577285,57306.22790019923,220193.59980553392,138283.25478370464,47348.341205458506,1015892.9794075661,144476.54050245584,31235.316458121855,16907.00355545716
Crude,1902,oil,storage,m3,385176.6499033445,3982397.6205790383,131869.15500707214,104306.92643106845,148487.40549129184,312591.90110673616,75977.6509937582,44838.42092755364,24867.92364983373,76841.66205299261,3335883.0502237394,315375.78528046043,48870.16148927107,236939.81555560877,94387.52067845526,713079.6920317444,275042.1149016287,107448.0825909274,68767.47348023909,264232.3197666407,165939.90574044557,56818.009446550204,1219071.5752890795,173371.84860294702,37482.37974974623,20288.404266548594
Crude,1903,oil,storage,m3,449372.75822056865,4646130.557342211,153847.34750825082,121691.41416957989,173235.3064065071,364690.5512911922,88640.59282605124,52311.49108214592,29012.577591472687,89648.60572849138,3891863.558594363,367938.4161605372,57015.18840414959,276429.7848148769,110118.77412486449,831926.3073703684,320882.4673852335,125356.09635608197,80228.71906027893,308271.03972774756,193596.5566971865,66287.67768764192,1422250.1711705928,202267.15670343817,43729.4430413706,23669.80497764002
Crude,1904,oil,storage,m3,513568.8665377926,5309863.494105384,175825.54000942956,139075.90190809127,197983.20732172244,416789.20147564827,101303.53465834429,59784.56123673819,33157.23153311164,102455.54940399015,4447844.066964986,420501.047040614,65160.215319028095,315919.7540741451,125850.0275712737,950772.9227089925,366722.81986883836,143264.11012123653,91689.96464031878,352309.7596888543,221253.2076539274,75757.34592873362,1625428.7670521059,231162.46480392935,49976.50633299497,27051.20568873145
Crude,1905,oil,storage,m3,577764.9748550168,5973596.430868558,197803.73251060818,156460.38964660268,222731.1082369377,468887.8516601043,113966.47649063732,67257.63139133046,37301.8854747506,115262.49307948894,5003824.575335609,473063.67792069074,73305.24223390661,355409.7233334132,141581.28101768292,1069619.5380476164,412563.17235244304,161172.12388639108,103151.21022035861,396348.4796499611,248909.85861066834,85227.01416982533,1828607.3629336196,260057.7729044205,56223.569624619355,30432.60639982288
Crude,1906,oil,storage,m3,706157.1914894651,7301062.304394904,241760.11751296557,191229.3651236255,272226.91006736836,573085.1520290164,139292.36015522337,82203.771700515,45591.1933580285,140876.3804304865,6115785.592076855,578188.9396808442,89595.29606366364,434389.6618519495,173043.78791050136,1307312.7687248648,504243.8773196527,196988.1514167002,126073.70138043833,484425.9195721746,304223.1605241502,104166.35065200872,2234964.5546966456,317848.3891054028,68717.6962078681,37195.40782200574
Crude,1907,oil,storage,m3,834549.4081239132,8628528.177921249,285716.50251532294,225998.34060064828,321722.7118977989,677282.4523979285,164618.24381980943,97149.91200969958,53880.50124130642,166490.26778148397,7227746.608818102,683314.2014409977,105885.34989342064,513369.6003704857,204506.29480331976,1545005.9994021128,595924.5822868623,232804.17894700938,148996.19254051798,572503.3594943882,359536.4624376321,123105.6871341921,2641321.7464596718,375639.00530638517,81211.82279111684,43958.209244188605
Crude,1908,oil,storage,m3,962941.6247583614,9955994.051447595,329672.8875176803,260767.31607767116,371218.5137282295,781479.7527668405,189944.12748439555,112096.0523188841,62169.80912458433,192104.15513248154,8339707.625559349,788439.4632011511,122175.40372317766,592349.538889022,235968.80169613822,1782699.230079361,687605.2872540719,268620.2064773185,171918.68370059773,660580.7994166019,414849.7643511138,142045.02361637555,3047678.938222699,433429.6215073675,93705.94937436559,50721.01066637147
Crude,1909,oil,storage,m3,1091333.8413928095,11283459.924973942,373629.2725200377,295536.29155469395,420714.3155586602,885677.0531357526,215270.0111489816,127042.19262806866,70459.11700786224,217718.04248347905,9451668.642300595,893564.7249613046,138465.4575529347,671329.4774075582,267431.3085889566,2020392.460756609,779285.9922212816,304436.2340076276,194841.1748606774,748658.2393388153,470163.0662645958,160984.36009855891,3454036.1299857246,491220.23770834995,106200.07595761432,57483.81208855434
