type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Crude,1900,oil,storage,m3,261190.06872085624,2683782.455999198,76691.83865268527,98610.1097155032,110231.92090114419,218910.183207306,54666.826872173435,25175.42128711562,22934.795253539214,38112.93098073113,2267632.617682403,200551.8191932901,31527.73966626746,173020.11413791348,82881.86640471335,641322.548511151,151087.1928897499,72807.47692198546,43460.62728742492,176023.92619397352,144230.23367172145,38064.325355063396,853078.8315982432,114053.45842790099,28642.172291689767,16861.178983752372
Crude,1901,oil,storage,m3,326487.5859010703,3354728.0699989973,95864.79831585658,123262.63714437901,137789.90112643025,273637.72900913254,68333.5335902168,31469.27660889452,28668.494066924013,47641.16372591392,2834540.7721030037,250689.77399161263,39409.67458283433,216275.14267239184,103602.33300589169,801653.1856389387,188858.99111218736,91009.34615248183,54325.78410928114,220029.9077424669,180287.79208965183,47580.406693829245,1066348.539497804,142566.82303487626,35802.71536461221,21076.473729690468
Crude,1902,oil,storage,m3,391785.1030812845,4025673.683998797,115037.7579790279,147915.16457325482,165347.88135171626,328365.27481095906,82000.24030826015,37763.13193067343,34402.19288030882,57169.396471096705,3401448.926523605,300827.7287899352,47291.60949940119,259530.17120687023,124322.79960707,961983.8227667265,226630.78933462486,109211.2153829782,65190.94093113739,264035.8892909603,216345.35050758213,57096.488032595094,1279618.2473973648,171080.1876418515,42963.25843753465,25291.768475628563
Crude,1903,oil,storage,m3,457082.62026149855,4696619.297998596,134210.71764219922,172567.6920021306,192905.86157700236,383092.8206127856,95666.9470263035,44056.98725245234,40135.89169369362,66697.62921627949,3968357.0809442056,350965.6835882577,55173.54441596806,302785.19974134857,145043.26620824833,1122314.4598945142,264402.58755706233,127413.08461347458,76056.0977529936,308041.87083945365,252402.9089255125,66612.56937136095,1492887.9552969257,199593.55224882672,50123.801510457095,29507.063221566656
Crude,1904,oil,storage,m3,522380.1374417125,5367564.911998396,153383.67730537054,197220.2194310064,220463.8418022884,437820.3664146121,109333.65374434687,50350.84257423124,45869.59050707843,76225.86196146226,4535265.235364806,401103.63838658016,63055.47933253492,346040.22827582696,165763.7328094267,1282645.097022302,302174.3857794998,145614.95384397093,86921.25457484984,352047.8523879471,288460.4673434429,76128.65071012679,1706157.6631964864,228106.91685580197,57284.344583379534,33722.357967504744
Crude,1905,oil,storage,m3,587677.6546219266,6038510.525998196,172556.63696854186,221872.74685988223,248021.82202757444,492547.9122164386,123000.36046239022,56644.697896010155,51603.289320463235,85754.09470664505,5102173.389785407,451241.5931849028,70937.41424910178,389295.2568103053,186484.19941060504,1442975.7341500896,339946.1840019373,163816.8230744673,97786.41139670607,396053.83393644047,324518.0257613732,85644.73204889265,1919427.3710960473,256620.28146277723,64444.88765630199,37937.65271344284
Crude,1906,oil,storage,m3,718272.6889823548,7380401.753997795,210902.55629488445,271177.80171763385,303137.78247814655,602003.0038200916,150333.77389847697,69232.40853956796,63070.68694723285,104810.56019701062,6235989.698626608,551517.5027815478,86701.28408223552,475805.313879262,227925.1326129617,1763637.0084056652,415489.7804468122,200220.56153546003,119516.72504041853,484065.79703342717,396633.14259723393,104676.89472642435,2345966.786895169,313647.01067672775,78765.97380214687,46368.24220531903
Crude,1907,oil,storage,m3,848867.723342783,8722292.981997391,249248.4756212271,320482.85657538543,358253.74292871857,711458.0954237446,177667.18733456367,81820.11918312576,74538.08457400245,123867.02568737617,7369806.00746781,651793.4123781929,102465.15391536924,562315.3709482189,269366.06581531843,2084298.2826612405,491033.37689168705,236624.2999964528,141247.038684131,572077.7601304139,468748.2594330947,123709.05740395603,2772506.2026942903,370673.7398906782,93087.05994799176,54798.83169719521
Crude,1908,oil,storage,m3,979462.7577032109,10064184.20999699,287594.39494756976,369787.911433137,413369.7033792907,820913.1870273976,205000.60077065034,94407.82982668358,86005.48220077205,142923.49117774173,8503622.316309012,752069.3219748378,118229.02374850298,648825.4280171755,310806.99901767506,2404959.556916816,566576.9733365622,273028.03845744545,162977.35232784346,660089.7232274007,540863.3762689554,142741.22008148773,3199045.618493412,427700.46910462866,107408.14609383664,63229.421189071414
Crude,1909,oil,storage,m3,1110057.792063639,11406075.43799659,325940.3142739124,419092.96629088855,468485.66382986284,930368.2786310506,232334.01420673708,106995.5404702414,97472.87982754166,161979.9566681073,9637438.625150213,852345.231571483,133992.89358163672,735335.4850861323,352247.9322200317,2725620.831172392,642120.569781437,309431.7769184382,184707.6659715559,748101.6863243876,612978.4931048162,161773.38275901944,3625585.034292533,484727.1983185792,121729.23223968151,71660.0106809476
Crude,1910,oil,storage,m3,1240652.8264240674,12747966.66599619,364286.233600255,468398.02114864014,523601.624280435,1039823.3702347035,259667.42764282378,119583.2511137992,108940.27745431125,181036.42215847288,10771254.933991415,952621.141168128,149756.76341477042,821845.5421550891,393688.8654223884,3046282.1054279674,717664.1662263119,345835.515379431,206437.97961526833,836113.6494213742,685093.6099406768,180805.54543655113,4052124.4500916554,541753.9275325297,136050.3183855264,80090.60017282378
Crude,1911,oil,storage,m3,1371247.8607844955,14089857.893995788,402632.1529265976,517703.0760063918,578717.584731007,1149278.4618383567,287000.8410789105,132170.96175735697,120407.67508108086,200092.88764883846,11905071.242832616,1052897.050764773,165520.63324790416,908355.5992240459,435129.7986247451,3366943.3796835425,793207.7626711869,382239.2538404237,228168.29325898085,924125.612518361,757208.7267765377,199837.7081140828,4478663.865890778,598780.6567464803,150371.40453137128,88521.18966469997
Crude,1912,oil,storage,m3,1501842.8951449236,15431749.121995391,440978.07225294027,567008.1308641434,633833.5451815791,1258733.5534420097,314334.25451499724,144758.6724009148,131875.07270785046,219149.353139204,13038887.551673818,1153172.9603614183,181284.50308103787,994865.6562930025,476570.7318271017,3687604.6539391177,868751.359116062,418642.9923014164,249898.60690269325,1012137.5756153476,829323.8436123983,218869.87079161452,4905203.281689897,655807.3859604308,164692.49067721615,96951.77915657617
Crude,1913,oil,storage,m3,1632437.9295053517,16773640.349994987,479323.99157928285,616313.1857218951,688949.5056321513,1368188.6450456628,341667.667951084,157346.38304447263,143342.4703346201,238205.81862956955,14172703.860515017,1253448.8699580634,197048.37291417163,1081375.7133619592,518011.6650294584,4008265.9281946938,944294.9555609368,455046.7307624091,271628.9205464058,1100149.5387123346,901438.960448259,237902.03346914626,5331742.69748902,712834.1151743812,179013.57682306107,105382.36864845232
Crude,1914,oil,storage,m3,1763032.9638657798,18115531.577994585,517669.9109056255,665618.2405796465,744065.4660827232,1477643.7366493158,369001.0813871707,169934.0936880304,154809.8679613897,257262.28411993518,15306520.169356221,1353724.7795547084,212812.24274730534,1167885.7704309162,559452.5982318152,4328927.20245027,1019838.5520058121,491450.4692234018,293359.23419011815,1188161.5018093213,973554.0772841197,256934.19614667795,5758282.113288142,769860.8443883318,193334.66296890596,113812.95814032851
Crude,1915,oil,storage,m3,1893627.9982262084,19457422.805994183,556015.8302319681,714923.2954373983,799181.4265332954,1587098.8282529686,396334.4948232574,182521.80433158824,166277.2655881593,276318.7496103007,16440336.478197424,1454000.6891513534,228576.11258043908,1254395.8274998725,600893.5314341718,4649588.476705845,1095382.1484506868,527854.2076843946,315089.54783383064,1276173.464906308,1045669.1941199803,275966.35882420966,6184821.529087264,826887.5736022821,207655.7491147508,122243.54763220472
Crude,1916,oil,storage,m3,2024223.032586636,20799314.033993784,594361.7495583108,764228.3502951497,854297.3869838676,1696553.919856622,423667.9082593441,195109.5149751461,177744.66321492894,295375.2151006663,17574152.787038628,1554276.5987479982,244339.98241357284,1340905.8845688298,642334.4646365284,4970249.75096142,1170925.7448955616,564257.9461453874,336819.8614775431,1364185.4280032946,1117784.310955841,294998.5215017413,6611360.944886384,883914.3028162325,221976.8352605957,130674.13712408091
Crude,1917,oil,storage,m3,2154818.0669470644,22141205.261993382,632707.6688846535,813533.4051529013,909413.3474344395,1806009.011460275,451001.3216954308,207697.22561870387,189212.0608416985,314431.68059103185,18707969.095879827,1654552.5083446435,260103.85224670655,1427415.9416377863,683775.3978388852,5290911.025216997,1246469.3413404366,600661.6846063801,358550.17512125557,1452197.3911002814,1189899.4277917019,314030.684179273,7037900.360685505,940941.0320301831,236297.9214064406,139104.72661595707
Crude,1918,oil,storage,m3,2285413.1013074922,23483096.48999298,671053.588210996,862838.460010653,964529.3078850118,1915464.103063928,478334.73513151763,220284.93626226168,200679.4584684681,333488.1460813974,19841785.404721025,1754828.4179412883,275867.72207984026,1513925.9987067427,725216.3310412418,5611572.299472571,1322012.9377853116,637065.4230673729,380280.488764968,1540209.3541972688,1262014.5446275626,333062.8468568047,7464439.776484628,997967.7612441337,250619.00755228547,147535.31610783326
Crude,1919,oil,storage,m3,2416008.1356679206,24824987.71799258,709399.5075373388,912143.5148684048,1019645.2683355836,2024919.194667581,505668.14856760425,232872.64690581945,212146.85609523774,352544.6115717629,20975601.71356223,1855104.3275379334,291631.591912974,1600436.0557756997,766657.2642435984,5932233.573728146,1397556.5342301866,673469.1615283656,402010.80240868055,1628221.317294255,1334129.6614634234,352095.0095343364,7890979.1922837505,1054994.490458084,264940.09369813034,155965.90559970945
Crude,1920,oil,storage,m3,2546603.1700283485,26166878.94599218,747745.4268636813,961448.5697261562,1074761.2287861558,2134374.2862712336,533001.562003691,245460.35754937728,223614.25372200733,371601.0770621285,22109418.02240343,1955380.2371345786,307395.4617461077,1686946.1128446565,808098.1974459551,6252894.847983722,1473100.1306750616,709872.8999893583,423741.11605239304,1716233.280391242,1406244.7782992842,371127.17221186805,8317518.60808287,1112021.2196720345,279261.17984397523,164396.49509158565
Crude,1921,oil,storage,m3,2677198.2043887763,27508770.17399178,786091.3461900239,1010753.6245839078,1129877.1892367278,2243829.3778748866,560334.9754397776,258048.06819293508,235081.65134877694,390657.5425524941,23243234.331244636,2055656.146731224,323159.3315792415,1773456.1699136128,849539.1306483117,6573556.122239298,1548643.7271199364,746276.638450351,445471.4296961054,1804245.2434882284,1478359.895135145,390159.3348893998,8744058.023881992,1169047.9488859852,293582.2659898201,172827.08458346184
Crude,1922,oil,storage,m3,2807793.2387492047,28850661.40199138,824437.2655163667,1060058.6794416595,1184993.1496873,2353284.4694785397,587668.3888758646,270635.7788364929,246549.04897554652,409714.00804285967,24377050.64008583,2155932.0563278687,338923.2014123752,1859966.2269825696,890980.0638506685,6894217.396494873,1624187.3235648114,782680.3769113438,467201.743339818,1892257.2065852152,1550475.0119710055,409191.4975669315,9170597.439681115,1226074.6780999356,307903.35213566496,181257.67407533803
Crude,1923,oil,storage,m3,2938388.273109633,30192552.62999097,862783.1848427092,1109363.7342994108,1240109.110137872,2462739.5610821927,615001.8023119511,283223.4894800507,258016.4466023162,428770.47353322525,25510866.948927034,2256207.965924514,354687.0712455089,1946476.2840515266,932420.9970530253,7214878.670750449,1699730.9200096861,819084.1153723365,488932.0569835303,1980269.169682202,1622590.128806866,428223.6602444633,9597136.855480237,1283101.407313886,322224.4382815099,189688.26356721422
