type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Transmission,1920,gas,pipelines,km,400.6433001454793,8073.303763654531,222.53836716123215,18.945423301241515,4.47697157063358,223.13910767684183,23.58204100858092,1.952098129734368,0.014840181128420664,0.21512403358178542,1467.2975700459642,821.3631816126152,0.42295675180500064,1364.5960203090935,459.11693335303136,3134.6650342944467,198.0861367557364,18.319963991794797,0.6987693998588728,30.467439509370962,4.61799545750825,3.4088537461121824,111.72285114286292,40.270683609096594,57.757892329725436,1.2262514762363281
Transmission,1921,gas,pipelines,km,500.80412518184914,10091.629704568166,278.1729589515402,23.681779126551895,5.596214463291974,278.92388459605223,29.47755126072615,2.44012266216796,0.01855022641052583,0.2689050419772318,1834.1219625574556,1026.7039770157692,0.5286959397562507,1705.745025386367,573.8961666912892,3918.3312928680584,247.6076709446705,22.8999549897435,0.873461749823591,38.084299386713695,5.772494321885312,4.261067182640229,139.65356392857865,50.33835451137074,72.19736541215678,1.5328143452954102
Transmission,1922,gas,pipelines,km,600.964950218219,12109.955645481798,333.8075507418482,28.418134951862278,6.7154573559503685,334.7086615152627,35.37306151287138,2.9281471946015523,0.022260271692631,0.32268605037267817,2200.9463550689466,1232.044772418923,0.634435127707501,2046.8940304636403,688.675400029547,4701.99755144167,297.1292051336046,27.4799459876922,1.0481540997883094,45.70115926405644,6.926993186262375,5.113280619168274,167.5842767142944,60.4060254136449,86.63683849458816,1.8393772143544922
Transmission,1923,gas,pipelines,km,701.1257752545887,14128.281586395431,389.4421425321562,33.154490777172654,7.834700248608764,390.4934384344731,41.26857176501661,3.416171727035144,0.025970316974736164,0.37646705876812453,2567.7707475804377,1437.3855678220766,0.740174315658751,2388.043035540914,803.454633367805,5485.663810015282,346.65073932253864,32.059936985640896,1.2228464497530274,53.318019141399176,8.081492050639437,5.96549405569632,195.5149895000101,70.47369631591906,101.07631157701952,2.1459400834135742
Transmission,1924,gas,pipelines,km,801.2866002909586,16146.607527309063,445.0767343224643,37.89084660248303,8.953943141267159,446.2782153536836,47.16408201716184,3.904196259468736,0.029680362256841324,0.43024806716357084,2934.5951400919294,1642.7263632252304,0.8459135036100013,2729.1920406181866,918.2338667060627,6269.3300685888935,396.17227351147284,36.639927983589594,1.3975387997177455,60.93487901874192,9.2359909150165,6.817707492224367,223.44570228572584,80.54136721819319,115.51578465945087,2.4525029524726563
Transmission,1925,gas,pipelines,km,901.4474253273286,18164.933468222698,500.7113261127723,42.6272024277934,10.073186033925555,502.06299227289406,53.05959226930706,4.392220791902329,0.033390407538946495,0.48402907555901714,3301.4195326034196,1848.0671586283843,0.9516526915612515,3070.3410456954603,1033.0131000443207,7052.996327162505,445.69380770040686,41.21991898153829,1.572231149682464,68.55173889608467,10.39048977939356,7.66992092875241,251.37641507144158,90.60903812046733,129.95525774188224,2.7590658215317383
Transmission,1926,gas,pipelines,km,1101.7690754000682,22201.585350049965,611.9805096933884,52.099914078414166,12.311671819242344,613.6325461113148,64.85061277359752,5.368269856769513,0.04081049810315684,0.59159109234991,4035.068317626403,2258.7487494346924,1.1631310674637518,3752.6390558500075,1262.5715667208362,8620.32884430973,544.736876078275,50.379900977435696,1.9216158496119002,83.78545865077014,12.699487508147685,9.374347801808502,307.23784064287304,110.74437992501565,158.83420390674493,3.372191559649903
Transmission,1927,gas,pipelines,km,1302.0907254728077,26238.23723187723,723.2496932740044,61.572625729034925,14.550157604559132,725.2020999497357,76.64163327788799,6.344318921636697,0.04823058866736716,0.6991531091408028,4768.717102649383,2669.430340241,1.374609443366252,4434.937066004553,1492.1300333973518,10187.66136145695,643.7799444561433,59.53988297333309,2.2710005495413372,99.0191784054556,15.00848523690181,11.078774674864592,363.0992662143045,130.87972172956395,187.71315007160766,3.985317297768067
Transmission,1928,gas,pipelines,km,1502.4123755455473,30274.889113704496,834.5188768546204,71.04533737965569,16.788643389875922,836.7716537881566,88.43265378217845,7.3203679865038795,0.05565067923157749,0.8067151259316953,5502.3658876723675,3080.1119310473073,1.5860878192687524,5117.235076159101,1721.6885000738675,11754.993878604175,742.8230128340115,68.6998649692305,2.6203852494707727,114.2528981601411,17.317482965655934,12.783201547920683,418.9606917857359,151.01506353411224,216.59209623647035,4.5984430358862305
Transmission,1929,gas,pipelines,km,1702.7340256182872,34311.54099553176,945.7880604352366,80.51804903027644,19.027129175192716,948.3412076265774,100.22367428646889,8.296417051371064,0.06307076979578782,0.9142771427225881,6236.01467269535,3490.7935218536154,1.797566195171253,5799.533086313648,1951.2469667503833,13322.3263957514,841.8660812118796,77.8598469651279,2.9697699494002094,129.48661791482658,19.62648069441006,14.487628420976774,474.82211735716743,171.15040533866053,245.4710424013331,5.211568774004395
