type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Crude,1900,oil,pipelines,km,277.26925817282967,2849.874683031892,81.41238819219946,104.68141248237846,117.01989749554517,232.38278717509638,58.03167297403773,26.724787727108357,24.346038018654234,40.45792421167311,2407.2378834067804,212.90228349833964,33.47068301230503,183.67085041673468,87.98416044425417,680.7913189672204,160.3854071446753,77.29126441488918,46.13636043423119,186.86832418943723,153.12753868408458,40.41182484065226,905.5941812714451,121.09119759045339,30.40533521703623,17.899074647077747
Crude,1901,oil,pipelines,km,346.5865727160371,3562.3433537898654,101.76548524024933,130.85176560297307,146.27487186943145,290.4784839688705,72.53959121754717,33.405984658885444,30.432547523317794,50.57240526459138,3009.0473542584755,266.12785437292456,41.83835376538129,229.58856302091837,109.98020055531774,850.9891487090255,200.4817589308441,96.61408051861147,57.670450542788984,233.5854052367965,191.40942335510573,50.514781050815316,1131.9927265893064,151.36399698806673,38.006669021295295,22.373843308847185
Crude,1902,oil,pipelines,km,415.9038872592446,4274.8120245478385,122.1185822882992,157.0221187235677,175.52984624331773,348.5741807626446,87.04750946105659,40.08718159066254,36.519057027981354,60.68688631750967,3610.8568251101706,319.35342524750945,50.20602451845754,275.50627562510203,131.97624066638124,1021.1869784508305,240.57811071701292,115.93689662233378,69.2045406513468,280.3024862841558,229.69130802612685,60.61773726097839,1358.3912719071675,181.63679638568007,45.608002825554344,26.848611970616624
Crude,1903,oil,pipelines,km,485.22120180245196,4987.280695305812,142.47167933634907,183.19247184416233,204.78482061720408,406.6698775564187,101.55542770456601,46.76837852243963,42.605566532644914,70.80136737042794,4212.666295961865,372.5789961220944,58.57369527153381,321.4239882292857,153.97228077744484,1191.3848081926358,280.6744625031817,135.25971272605608,80.73863075990458,327.01956733151513,267.973192697148,70.72069347114146,1584.7898172250286,211.9095957832934,53.209336629813414,31.32338063238606
Crude,1904,oil,pipelines,km,554.5385163456593,5699.749366063784,162.82477638439892,209.36282496475692,234.03979499109036,464.7655743501929,116.06334594807547,53.44957545421671,48.69207603730847,80.91584842334622,4814.475766813561,425.8045669966792,66.94136602461006,367.34170083346936,175.96832088850834,1361.5826379344408,320.7708142893506,154.58252882977837,92.27272086846239,373.73664837887446,306.25507736816917,80.82364968130452,1811.1883625428902,242.18239518090678,60.81067043407246,35.79814929415549
Crude,1905,oil,pipelines,km,623.8558308888669,6412.218036821758,183.1778734324488,235.53317808535155,263.2947693649766,522.861271143967,130.5712641915849,60.130772385993815,54.77858554197203,91.03032947626448,5416.285237665255,479.03013787126423,75.30903677768632,413.25941343765305,197.9643609995719,1531.7804676762457,360.86716607551944,173.90534493350066,103.80681097702019,420.45372942623374,344.5369620391903,90.92660589146757,2037.5869078607514,272.4551945785201,68.41200423833153,40.27291795592493
Crude,1906,oil,pipelines,km,762.4904599752817,7837.155378337704,223.88406752854848,287.8738843265408,321.8047181127492,639.052664731515,159.58710067860378,73.49316624954798,66.95160455129916,111.25929158210106,6619.904179368646,585.4812796204341,92.04437828383884,505.0948386460204,241.956441221699,1872.176127159856,441.05986964785706,212.55097714094524,126.87499119413579,513.8878915209523,421.10073138123255,111.1325183117937,2490.383998496474,333.0007933737469,83.61467184684965,49.22245527946381
Crude,1907,oil,pipelines,km,901.1250890616965,9262.092719853648,264.59026162464824,340.21459056773006,380.3146668605218,755.2440583190634,188.60293716562262,86.85556011310217,79.12462356062629,131.4882536879376,7823.523121072036,691.932421369604,108.77971978999135,596.9302638543877,285.9485214438261,2212.571786643466,521.2525732201947,251.1966093483899,149.9431714112514,607.3220536156709,497.66450072327484,131.33843073211983,2943.1810891321966,393.5463921689735,98.81733945536777,58.17199260300267
Crude,1908,oil,pipelines,km,1039.7597181481115,10687.030061369596,305.296455720748,392.55529680891925,438.82461560829444,871.4354519066115,217.61877365264147,100.21795397665635,91.29764256995338,151.71721579377413,9027.142062775427,798.3835631187737,125.51506129614387,688.765689062755,329.9406016659532,2552.967446127076,601.4452767925324,289.84224155583445,173.01135162836698,700.7562157103896,574.2282700653171,151.54434315244598,3395.978179767919,454.09199096420014,114.0200070638859,67.12152992654156
Crude,1909,oil,pipelines,km,1178.394347234526,12111.96740288554,346.00264981684774,444.89600305010845,497.334564356067,987.6268454941597,246.63461013966034,113.58034784021052,103.47066157928052,171.94617789961072,10230.761004478816,904.8347048679434,142.25040280229638,780.6011142711226,373.9326818880803,2893.363105610687,681.6379803648699,328.487873763279,196.07953184548253,794.1903778051081,650.7920394073594,171.75025557277206,3848.7752704036407,514.6375897594269,129.222674672404,76.07106725008043
Crude,1910,oil,pipelines,km,1317.0289763209412,13536.904744401487,386.7088439129475,497.2367092912977,555.8445131038396,1103.8182390817078,275.6504466266792,126.94274170376471,115.64368058860761,192.17514000544728,11434.379946182205,1011.2858466171133,158.9857443084489,872.4365394794899,417.9247621102074,3233.758765094297,761.8306839372076,367.13350597072366,219.14771206259812,887.6245398998268,727.3558087494017,191.9561679930982,4301.572361039363,575.1831885546536,144.4253422809221,85.0206045736193
Crude,1911,oil,pipelines,km,1455.663605407356,14961.842085917433,427.4150380090472,549.577415532487,614.3544618516121,1220.009632669256,304.66628311369806,140.30513556731887,127.81669959793473,212.4041021112838,12637.998887885595,1117.7369883662832,175.72108581460142,964.2719646878571,461.9168423323345,3574.154424577907,842.0233875095453,405.77913817816824,242.21589227971376,981.0587019945453,803.9195780914441,212.16208041342432,4754.369451675087,635.7287873498802,159.62800988944025,93.97014189715817
Crude,1912,oil,pipelines,km,1594.2982344937707,16386.779427433383,468.1212321051469,601.9181217736761,672.8644105993847,1336.2010262568044,333.68211960071693,153.66752943087306,139.98971860726186,232.63306421712034,13841.617829588986,1224.188130115453,192.4564273207539,1056.1073898962245,505.9089225544616,3914.550084061516,922.2160910818831,444.42477038561276,265.2840724968293,1074.492864089264,880.4833474334862,232.36799283375044,5207.166542310809,696.2743861451071,174.83067749795833,102.91967922069706
Crude,1913,oil,pipelines,km,1732.9328635801853,17811.716768949325,508.8274262012466,654.2588280148653,731.3743593471573,1452.3924198443526,362.69795608773575,167.02992329442725,152.16273761658897,252.86202632295686,15045.236771292375,1330.639271864623,209.19176882690647,1147.9428151045918,549.9010027765887,4254.945743545127,1002.4087946542204,483.0704025930573,288.35225271394495,1167.9270261839827,957.0471167755286,252.5739052540766,5659.963632946531,756.8199849403336,190.03334510647647,111.86921654423593
Crude,1914,oil,pipelines,km,1871.5674926666004,19236.65411046527,549.5336202973464,706.5995342560545,789.8843080949299,1568.5838134319008,391.71379257475473,180.3923171579814,164.3357566259161,273.0909884287935,16248.855712995766,1437.0904136137926,225.92711033305895,1239.7782403129593,593.8930829987157,4595.341403028738,1082.6014982265583,521.7160348005019,311.42043293106053,1261.3611882787013,1033.610886117571,272.7798176744027,6112.760723582254,817.3655837355603,205.23601271499462,120.8187538677748
Crude,1915,oil,pipelines,km,2010.2021217530155,20661.591451981218,590.2398143934461,758.9402404972438,848.3942568427025,1684.7752070194488,420.7296290617735,193.75471102153557,176.5087756352432,293.31995053463004,17452.47465469916,1543.5415553629623,242.66245183921149,1331.6136655213263,637.8851632208429,4935.7370625123485,1162.794201798896,560.3616670079465,334.4886131481761,1354.7953503734198,1110.1746554596132,292.9857300947288,6565.5578142179775,877.911182530787,220.43868032351267,129.76829119131366
Crude,1916,oil,pipelines,km,2148.8367508394304,22086.528793497167,630.9460084895459,811.280946738433,906.9042055904752,1800.9666006069972,449.7454655487923,207.11710488508982,188.68179464457035,313.5489126404666,18656.09359640255,1649.9926971121322,259.397793345364,1423.449090729694,681.87724344297,5276.132721995958,1242.9869053712332,599.0072992153912,357.5567933652917,1448.2295124681382,1186.7384248016556,313.191642515055,7018.354904853698,938.4567813260137,235.6413479320308,138.71782851485253
