type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Rail Cargo,1900,oil,transport,kg,8354412.414176154,78195446.07472387,2289621.732948674,2220790.7149718204,2953411.7160197385,5704873.999135247,1585151.966602032,941971.6855211877,546926.0766856094,1148089.9131855373,65382590.31671036,7656320.582275182,926660.8320845201,6664435.883809743,2513800.2136275903,18171613.87107084,4141152.9214554285,2127748.4484582795,1191010.5071398916,5527725.103516078,3266733.0226337207,1155663.8270212358,22860166.97957505,3231530.8343988154,792260.3326028422,456872.44249752007
Rail Cargo,1901,oil,transport,kg,10443015.517720195,97744307.59340486,2862027.166185842,2775988.393714775,3691764.6450246735,7131092.4989190595,1981439.9582525403,1177464.6069014845,683657.5958570116,1435112.3914819215,81728237.89588794,9570400.727843978,1158326.0401056502,8330544.854762181,3142250.267034488,22714517.338838547,5176441.151819285,2659685.560572849,1488763.1339248642,6909656.3793950975,4083416.2782921507,1444579.783776545,28575208.724468812,4039413.5429985197,990325.4157535527,571090.5531219002
Rail Cargo,1902,oil,transport,kg,12531618.621264232,117293169.11208583,3434432.5994230113,3331186.072457731,4430117.574029608,8557310.998702873,2377727.9499030486,1412957.5282817814,820389.1150284143,1722134.8697783058,98073885.47506553,11484480.873412773,1389991.2481267797,9996653.825714616,3770700.320441385,27257420.80660625,6211729.382183142,3191622.672687419,1786515.7607098378,8291587.655274117,4900099.533950579,1733495.740531854,34290250.46936257,4847296.251598224,1188390.4989042634,685308.6637462802
Rail Cargo,1903,oil,transport,kg,14620221.724808272,136842030.6307668,4006838.03266018,3886383.751200685,5168470.503034543,9983529.498486683,2774015.941553556,1648450.4496620786,957120.6341998165,2009157.3480746902,114419533.05424313,13398561.018981567,1621656.4561479103,11662762.796667052,4399150.373848284,31800324.27437396,7247017.612546998,3723559.7848019893,2084268.3874948102,9673518.931153135,5716782.78960901,2022411.697287163,40005292.21425634,5655178.9601979265,1386455.582054974,799526.7743706603
Rail Cargo,1904,oil,transport,kg,16708824.828352308,156390892.14944774,4579243.465897348,4441581.429943641,5906823.432039478,11409747.998270497,3170303.933204064,1883943.3710423755,1093852.1533712188,2296179.8263710747,130765180.63342072,15312641.164550364,1853321.6641690403,13328871.767619487,5027600.427255181,36343227.74214168,8282305.842910857,4255496.896916559,2382021.0142797832,11055450.207032155,6533466.045267441,2311327.6540424717,45720333.9591501,6463061.668797631,1584520.6652056845,913744.8849950401
Rail Cargo,1905,oil,transport,kg,18797427.93189635,175939753.66812876,5151648.899134517,4996779.108686596,6645176.361044412,12835966.498054309,3566591.924854573,2119436.2924226727,1230583.6725426214,2583202.3046674584,147110828.21259832,17226721.31011916,2084986.8721901702,14994980.738571925,5656050.480662079,40886131.20990938,9317594.073274713,4787434.00903113,2679773.6410647565,12437381.482911177,7350149.3009258695,2600243.6107977815,51435375.70404387,7270944.377397335,1782585.748356395,1027962.9956194203
Rail Cargo,1906,oil,transport,kg,22974634.138984427,215037476.70549068,6296459.765608852,6107174.466172506,8121882.219054283,15688403.497621933,4359167.908155589,2590422.1351832664,1504046.710885426,3157247.2612602273,179802123.37095347,21054881.601256747,2548317.2882324304,18327198.680476792,6912950.587475873,49971938.1454448,11388170.534002429,5851308.233260268,3275278.8946347022,15201244.034669215,8983515.812242731,3178075.5243083998,62865459.1938314,8886709.794596745,2178715.914657816,1256399.2168681805
Rail Cargo,1907,oil,transport,kg,27151840.346072502,254135199.74285257,7441270.63208319,7217569.823658415,9598588.07706415,18540840.497189555,5151743.891456605,3061407.97794386,1777509.749228231,3731292.2178529953,212493418.52930862,24883041.892394345,3011647.7042746907,21659416.62238167,8169850.694289669,59057745.08098022,13458746.99473014,6915182.4574894095,3870784.1482046484,17965106.586427253,10616882.32355959,3755907.437819017,74295542.6836189,10502475.21179615,2574846.0809592376,1484835.4381169404
Rail Cargo,1908,oil,transport,kg,31329046.553160578,293232922.78021455,8586081.498557527,8327965.181144325,11075293.93507402,21393277.49675718,5944319.87475762,3532393.820704454,2050972.7875710353,4305337.174445763,245184713.68766385,28711202.183531933,3474978.12031695,24991634.564286537,9426750.801103463,68143552.01651563,15529323.455457857,7979056.681718549,4466289.401774594,20728969.138185292,12250248.83487645,4333739.351329635,85725626.17340645,12118240.628995558,2970976.2472606585,1713271.6593657008
Rail Cargo,1909,oil,transport,kg,35506252.76024865,332330645.81757647,9730892.365031866,9438360.538630236,12551999.793083891,24245714.496324807,6736895.858058637,4003379.6634650477,2324435.8259138404,4879382.1310385335,277876008.8460191,32539362.47466952,3938308.5363592105,28323852.506191414,10683650.90791726,77229358.95205106,17599899.91618557,9042930.905947687,5061794.655344537,23492831.689943332,13883615.34619331,4911571.264840253,97155709.66319396,13734006.046194965,3367106.4135620794,1941707.8806144604
