type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Open cast,1880,coal,extraction,kg,161296.9352148168,5094933.064098351,13372.919049187156,1655.4490934715595,12938.289407967839,44601.570061634884,7127.082156854704,3818.0166252282133,1010.2453468770417,441445.3025295054,3133674.18309624,370413.694389018,40559.26365104376,11883.4969038996,282626.717739156,2376259.8280749717,1266.1181040273766,749680.272014751,232462.0073682312,235547.198944197,24547.18258321793,2035.693006116,415265.0420644437,413214.06340747763,14331.599392257402,26469.16476477504
Open cast,1881,coal,extraction,kg,201621.169018521,6368666.330122939,16716.14881148394,2069.31136683945,16172.8617599598,55751.9625770436,8908.852696068381,4772.520781535266,1262.8066835963023,551806.6281618817,3917092.7288703,463017.1179862725,50699.07956380469,14854.371129874498,353283.397173945,2970324.7850937145,1582.6476300342204,937100.3400184389,290577.50921028905,294433.99868024624,30683.978229022414,2544.616257645,519081.3025805546,516517.579259347,17914.49924032175,33086.455955968806
Open cast,1882,coal,extraction,kg,241945.4028222252,7642399.596147527,20059.378573780734,2483.1736402073393,19407.434111951756,66902.35509245232,10690.623235282057,5727.02493784232,1515.3680203155625,662167.9537942581,4700511.27464436,555620.541583527,60838.895476565645,17825.245355849398,423940.076608734,3564389.7421124578,1899.1771560410646,1124520.4080221264,348693.01105234673,353320.7984162955,36820.7738748269,3053.5395091739997,622897.5630966657,619821.0951112164,21497.3990883861,39703.74714716257
Open cast,1883,coal,extraction,kg,282269.6366259294,8916132.862172116,23402.60833607752,2897.035913575229,22642.00646394372,78052.74760786105,12472.393774495731,6681.529094149373,1767.929357034823,772529.2794266344,5483929.82041842,648223.9651807814,70978.71138932658,20796.1195818243,494596.75604352297,4158454.6991312,2215.706682047909,1311940.4760258142,406808.5128944046,412207.59815234476,42957.569520631376,3562.462760703,726713.8236127765,723124.6109630858,25080.298936450454,46321.038338356324
Open cast,1884,coal,extraction,kg,322593.87042963353,10189866.128196701,26745.83809837431,3310.898186943119,25876.578815935678,89203.14012326977,14254.164313709409,7636.033250456427,2020.4906937540838,882890.6050590108,6267348.36619248,740827.388778036,81118.52730208752,23766.9938077992,565253.435478312,4752519.656149943,2532.2362080547528,1499360.544029502,464924.0147364623,471094.397888394,49094.36516643586,4071.386012232,830530.0841288874,826428.1268149554,28663.198784514803,52938.32952955008
Open cast,1885,coal,extraction,kg,362918.1042333378,11463599.394221291,30089.0678606711,3724.7604603110085,29111.151167927637,100353.53263867847,16035.934852923087,8590.53740676348,2273.0520304733436,993251.9306913869,7050766.91196654,833430.8123752904,91258.34321484846,26737.8680337741,635910.114913101,5346584.613168687,2848.765734061597,1686780.6120331895,523039.5165785201,529981.1976244433,55231.160812240334,4580.309263761,934346.3446449982,929731.6426668247,32246.098632579156,59555.62072074384
Open cast,1886,coal,extraction,kg,443566.57184074615,14011065.926270466,36775.52738526467,4552.485007046788,35580.295871911556,122654.31766949591,19599.475931350436,10499.545719377586,2778.1747039118645,1213974.5819561398,8617604.00351466,1018637.6595697994,111537.97504037034,32679.6164857239,777223.473782679,6534714.527206172,3481.8247860752854,2061620.7480405653,639270.5202626358,647754.7970965417,67504.7521038493,5598.155766819,1141978.8656772203,1136338.6743705634,39411.89832870785,72790.20310313137
Open cast,1887,coal,extraction,kg,524215.03944815445,16558532.458319642,43461.98690985825,5380.209553782568,42049.440575895474,144955.10270031338,23163.017009777792,12408.554031991695,3283.297377350386,1434697.2332208923,10184441.095062781,1203844.5067643085,131817.60686589222,38621.364937673694,918536.8326522569,7722844.441243658,4114.883838088973,2436460.8840479404,755501.5239467514,765528.3965686403,79778.34339545829,6616.002269877,1349611.3867094421,1342945.706074302,46577.69802483657,86024.78548551889
Open cast,1888,coal,extraction,kg,604863.507055563,19105998.99036882,50148.44643445182,6207.934100518349,48518.58527987939,167255.8877311308,26726.55808820514,14317.562344605802,3788.4200507889063,1655419.8844856452,11751278.1866109,1389051.3539588174,152097.2386914141,44563.113389623504,1059850.191521835,8910974.355281143,4747.94289010266,2811301.020055316,871732.5276308669,883301.9960407388,92051.93468706725,7633.848772934999,1557243.907741664,1549552.7377780408,53743.497720965264,99259.36786790639
Open cast,1889,coal,extraction,kg,685511.9746629715,21653465.522417992,56834.905959045405,7035.658647254129,54987.72998386331,189556.6727619482,30290.0991666325,16226.570657219909,4293.542724227426,1876142.5357503977,13318115.27815902,1574258.2011533265,172376.87051693597,50504.86184157329,1201163.550391413,10099104.26931863,5381.001942116349,3186141.1560626915,987963.5313149826,1001075.5955128373,104325.52597867622,8651.695275992999,1764876.4287738858,1756159.7694817795,60909.297417093956,112493.95025029393
