type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Transmission,1920,gas,pipelines,km,400.82123051032875,8074.356179018204,221.88437111739313,18.947436833458088,4.477048750116856,223.21504893909457,23.580355730702458,1.9474339070310938,0.015075158510670246,0.21662824089710692,1467.57522629482,821.2472084041133,0.4222232113067894,1364.6187558602878,459.04351338884743,3134.689696913254,198.10358764251097,18.33888453079347,0.6999963242207979,30.350192741936933,4.616947482285859,3.4088546238987405,111.68313738146587,40.2699164349917,57.757993681501674,1.2243665092341813
Transmission,1921,gas,pipelines,km,501.026538137911,10092.945223772755,277.3554638967414,23.684296041822613,5.596310937646068,279.0188111738682,29.475444663378074,2.434292383788867,0.018843948138337806,0.27078530112138366,1834.4690328685253,1026.5590105051417,0.5277790141334867,1705.7734448253598,573.8043917360593,3918.3621211415675,247.62948455313872,22.923605663491838,0.8749954052759975,37.93774092742117,5.771184352857325,4.261068279873426,139.60392172683237,50.337395543739625,72.19749210187709,1.5304581365427268
Transmission,1922,gas,pipelines,km,601.2318457654932,12111.534268527306,332.8265566760897,28.421155250187134,6.715573125175283,334.8225734086418,35.37053359605369,2.9211508605466405,0.02261273776600537,0.3249423613456604,2201.3628394422303,1231.8708126061701,0.6333348169601841,2046.9281337904315,688.5652700832711,4702.03454536988,297.15538146376645,27.508326796190207,1.049994486331197,45.525289112905405,6.925421223428789,5.11328193584811,167.52470607219882,60.40487465248756,86.63699052225252,1.8365497638512718
Transmission,1923,gas,pipelines,km,701.4371533930753,14130.123313281856,388.297649455438,33.158014458551655,7.834835312704496,390.6263356434154,41.2656225287293,3.4080093373044136,0.02638152739367293,0.37909942156993715,2568.2566460159355,1437.1826147071981,0.7388906197868815,2388.0828227555035,803.326148430483,5485.7069695981945,346.6812783743942,32.09304792888857,1.2249935673863963,53.11283729838963,8.079658094000253,5.965495591822796,195.44549041756528,70.47235376123548,101.07648894262792,2.142641391159817
Transmission,1924,gas,pipelines,km,801.6424610206575,16148.712358036408,443.76874223478626,37.89487366691617,8.95409750023371,446.4300978781891,47.16071146140491,3.8948678140621875,0.030150317021340484,0.43325648179421383,2935.1504525896403,1642.4944168082266,0.8444464226135789,2729.237511720575,918.0870267776949,6269.379393826508,396.207175285022,36.67776906158694,1.3999926484415959,60.70038548387386,9.233894964571718,6.817709247797482,223.36627476293174,80.53983286998341,115.51598736300335,2.4487330184683627
Transmission,1925,gas,pipelines,km,901.8477686482397,18167.30140279096,499.23983501413454,42.63173287528069,10.073359687762926,502.23386011296276,53.05580039408052,4.381726290819961,0.03391910664900805,0.48741354201849063,3302.044259163345,1847.8062189092548,0.9500022254402762,3070.3922006856474,1032.8479051249067,7053.0518180548215,445.7330721956496,41.262490194285306,1.5749917294967954,68.28793366935811,10.388131835143183,7.669922903772165,251.28705910829822,90.60731197873133,129.95548578337878,2.754824645776908
Transmission,1926,gas,pipelines,km,1102.2583839034044,22204.47949230006,610.182020572831,52.10545129200974,12.311884062821353,613.8413845825099,64.84597825943175,5.3554432443355084,0.04145668590434318,0.5957276624670441,4035.831872310756,2258.4298231113116,1.1611138310936708,3752.701578615792,1262.3696618193305,8620.396666511448,544.7848660169051,50.43193245968205,1.9249898916071946,83.46303004032656,12.696605576286112,9.374350215721536,307.12862779903116,110.7422701962272,158.83448262412958,3.3670079003939994
Transmission,1927,gas,pipelines,km,1302.6689991585686,26241.657581809162,721.1242061315277,61.57916970873879,14.550408437879778,725.4489090520573,76.63615612478299,6.329160197851055,0.04899426515967829,0.7040417829155976,4769.6194854581645,2669.0534273133685,1.3722254367470654,4435.010956545935,1491.8914185137544,10187.741514968075,643.8366598381606,59.60137472507877,2.274988053717594,98.63812641129502,15.005079317429043,11.078777527670907,362.97019648976413,130.87722841372303,187.71347946488046,3.9791911550110894
Transmission,1928,gas,pipelines,km,1503.079614413733,30278.835671318266,832.0663916902242,71.05288812546785,16.788932812938206,837.0564335216045,88.4263339901342,7.3028771513666015,0.05653184441501341,0.812355903364151,5503.407098605576,3079.677031515425,1.5833370424004602,5117.32033447608,1721.413175208178,11755.0863634247,742.8884536594161,68.77081699047552,2.624986215827992,113.8132227822635,17.313553058571973,12.783204839620275,418.81176518049705,151.01218663121887,216.59247630563127,4.59137440962818
Transmission,1929,gas,pipelines,km,1703.4902296688974,34316.013760827365,943.0085772489208,80.52660654219687,19.027457187996635,948.6639579911516,100.21651185548544,8.276594104882149,0.06406942367034854,0.9206700238127046,6237.194711752986,3490.3006357174827,1.794448648053855,5799.629712406223,1950.9349319026016,13322.43121188133,841.9402474806715,77.94025925587226,2.9749843779383913,128.98831915323197,19.622026799714902,14.487632151569644,474.65333387123,171.14714484871473,245.47147314638212,5.203557664245271
Transmission,1930,gas,pipelines,km,1903.900844924062,38353.19185033647,1053.9507628076174,90.00032495892592,21.26598156305506,1060.2714824606992,112.00668972083668,9.250311058397696,0.07160700292568367,1.0289841442612582,6970.982324900397,3900.924239919538,2.0055602537072494,6481.939090336367,2180.4566885970257,14889.776060337957,940.9920413019271,87.10970152126899,3.3249825400487905,144.16341552420042,21.93050054085783,16.19205946351902,530.4949025619629,191.28210306621057,274.35046998713295,5.81574091886236
Transmission,1931,gas,pipelines,km,2104.3114601792263,42390.36993984557,1164.892948366314,99.47404337565497,23.50450593811349,1171.8790069302463,123.79686758618789,10.22402801191324,0.07914458218101879,1.1372982647098113,7704.769938047806,4311.547844121595,2.2166718593606443,7164.248468266511,2409.978445291449,16457.120908794583,1040.0438351231824,96.27914378666573,3.6749807021591896,159.33851189516892,24.23897428200076,17.896486775468386,586.3364712526959,211.41706128370646,303.2294668278838,6.427924173479453
Transmission,1932,gas,pipelines,km,2304.7220754343907,46427.54802935467,1275.8351339250105,108.94776179238403,25.743030313171918,1283.4865313997936,135.58704545153913,11.197744965428788,0.0866821614363539,1.245612385158365,8438.557551195216,4722.171448323652,2.427783465014039,7846.557846196655,2639.500201985873,18024.465757251208,1139.095628944438,105.44858605206245,4.024978864269588,174.5136082661374,26.54744802314369,19.600914087417756,642.1780399434288,231.55201950120227,332.1084636686346,7.040107428096543
Transmission,1933,gas,pipelines,km,2505.1326906895547,50464.72611886378,1386.777319483707,118.42148020911306,27.981554688230347,1395.094055869341,147.37722331689034,12.171461918944333,0.09421974069168905,1.3539265056069183,9172.345164342625,5132.795052525708,2.6388950706674335,8528.8672241268,2869.0219586802964,19591.810605707837,1238.1474227656936,114.6180283174592,4.374977026379987,189.68870463710584,28.85592176428662,21.305341399367126,698.0196086341618,251.68697771869813,360.9874605093854,7.652290682713633
Transmission,1934,gas,pipelines,km,2705.543305944719,54501.90420837288,1497.7195050424036,127.8951986258421,30.22007906328878,1506.701580338888,159.1674011822416,13.14517887245988,0.10175731994702417,1.462240626055472,9906.132777490036,5543.418656727765,2.8500066763208283,9211.176602056943,3098.5437153747203,21159.155454164465,1337.1992165869492,123.78747058285592,4.724975188490387,204.86380100807432,31.16439550542955,23.009768711316493,753.8611773248946,271.821935936194,389.86645735013633,8.264473937330726
