type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
refinery,1900,oil,refinery,kg,15035746.586436234,140731251.11681825,4120717.3465601616,3996839.6048017703,5315364.854640541,10267273.807670321,2852856.920299583,1695301.4590304312,984323.191491564,2066260.0955406139,117671478.30752376,13779364.765889117,1667745.9469389801,11994233.002010219,4524179.691787569,32704128.990373027,7452986.854830054,3829387.9790295693,2143505.883998693,9948452.354939884,5879260.85747433,2079891.149821324,41142292.310739696,5815906.170711449,1425860.3718543753,822250.3184140784
refinery,1901,oil,refinery,kg,18794683.233045295,175914063.89602283,5150896.683200202,4996049.506002214,6644206.0683006765,12834092.259587904,3566071.1503744796,2119126.823788039,1230403.9893644548,2582825.119425767,147089347.8844047,17224205.957361396,2084682.4336737255,14992791.252512775,5655224.6147344615,40880161.23796628,9316233.568537567,4786734.973786961,2679382.354998366,12435565.443674853,7349076.071842913,2599863.937276655,51427865.38842462,7269882.713389311,1782325.4648179691,1027812.898017598
refinery,1902,oil,refinery,kg,22553619.87965435,211096876.6752274,6181076.019840242,5995259.407202656,7973047.281960811,15400910.711505488,4279285.380449375,2542952.188545647,1476484.787237346,3099390.143310921,176507217.46128565,20669047.148833677,2501618.9204084706,17991349.503015332,6786269.537681352,49056193.48555953,11179480.282245079,5744081.968544354,3215258.82599804,14922678.532409824,8818891.286211492,3119836.724731986,61713438.46610954,8723859.256067174,2138790.5577815627,1233375.4776211178
refinery,1903,oil,refinery,kg,26312556.526263416,246279689.45443198,7211255.356480283,6994469.308403098,9301888.495620947,17967729.163423065,4992499.61052427,2966777.5533032552,1722565.585110237,3615955.1671960745,205925087.03816658,24113888.340305954,2918555.4071432156,20989907.75351789,7917314.460628246,57232225.733152784,13042726.995952593,6701428.963301746,3751135.2969977125,17409791.62114479,10288706.500580078,3639809.512187317,71999011.54379447,10177835.798745034,2495255.6507451567,1438938.0572246374
refinery,1904,oil,refinery,kg,30071493.17287247,281462502.2336365,8241434.693120323,7993679.209603541,10630729.709281083,20534547.61534065,5705713.840599166,3390602.9180608625,1968646.382983128,4132520.1910812277,235342956.6150475,27558729.53177823,3335491.8938779603,23988466.004020438,9048359.383575138,65408257.98074605,14905973.709660107,7658775.958059139,4287011.767997386,19896904.709879767,11758521.71494866,4159782.299642648,82284584.62147939,11631812.341422899,2851720.7437087507,1644500.636828157
refinery,1905,oil,refinery,kg,33830429.81948153,316645315.0128411,9271614.029760364,8992889.110803984,11959570.922941217,23101366.067258228,6418928.070674063,3814428.282818471,2214727.180856019,4649085.214966381,264760826.19192845,31003570.72325052,3752428.380612706,26987024.254522994,10179404.306522032,73584290.2283393,16769220.42336762,8616122.952816533,4822888.23899706,22384017.798614737,13228336.92931724,4679755.087097979,92570157.69916433,13085788.88410076,3208185.8366723442,1850063.2164316766
refinery,1906,oil,refinery,kg,41348303.11269965,387010940.5712502,11331972.703040441,10991308.91320487,14617253.350261485,28235002.97109339,7845356.530823855,4662079.012333686,2706888.776601801,5682215.262736688,323596565.3456903,37893253.10619508,4586301.354082196,32984140.755528104,12441494.152415814,89936354.7235258,20495713.85078265,10530816.942331316,5894641.180996406,27358243.976084672,16167967.358054405,5719700.662008641,113141303.85453418,15993741.969456486,3921116.0225995323,2261188.375638716
refinery,1907,oil,refinery,kg,48866176.40591776,457376566.12965924,13392331.376320524,12989728.715605754,17274935.777581755,33368639.874928553,9271784.990973646,5509729.741848902,3199050.3723475835,6715345.310506996,382432304.4994522,44782935.48913964,5420174.327551686,38981257.25653322,14703583.998309601,106288419.21871233,24222207.27819767,12445510.9318461,6966394.122995753,32332470.153554615,19107597.78679157,6759646.2369193025,133712450.009904,18901695.054812208,4634046.208526719,2672313.534845755
refinery,1908,oil,refinery,kg,56384049.699135885,527742191.6880685,15452690.049600607,14988148.51800664,19932618.20490203,38502276.77876372,10698213.451123435,6357380.471364118,3691211.9680933645,7748475.358277301,441268043.6532141,51672617.872084185,6254047.301021176,44978373.757538326,16965673.844203383,122640483.71389884,27948700.705612704,14360204.921360886,8038147.064995098,37306696.33102456,22047228.215528734,7799591.811829965,154283596.16527387,21809648.140167933,5346976.394453907,3083438.6940527945
refinery,1909,oil,refinery,kg,63901922.992354,598107817.2464776,17513048.722880688,16986568.320407525,22590300.632222302,43635913.682598874,12124641.91127323,7205031.200879334,4183373.5638391473,8781605.406047609,500103782.8069761,58562300.25502875,7087920.274490667,50975490.25854344,19227763.690097168,138992548.20908535,31675194.133027725,16274898.910875669,9109900.006994443,42280922.508494504,24986858.644265898,8839537.386740625,174854742.3206437,24717601.225523654,6059906.580381094,3494563.853259834
