type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Crude,1900,oil,storage,m3,261190.02835313888,2683777.561085013,76691.7897977386,98606.58107247007,110232.21550885875,218909.7105911055,54666.52934921607,25175.23687369918,22934.76794574084,38112.67304393921,2267631.235195028,200546.52974638686,31527.673621180194,173020.09081942515,82881.77110481294,641322.4716423834,151085.48326579214,72807.11100517494,43460.078909554286,176023.89876049804,144229.3882921042,38062.489110067116,853075.8262052836,114053.47427096621,28642.144862635472,16861.1767331369
Crude,1901,oil,storage,m3,326487.53544142365,3354721.9513562666,95864.73724717325,123258.2263405876,137790.26938607343,273637.13823888195,68333.16168652009,31469.04609212397,28668.45993217605,47640.84130492402,2834539.043993785,250683.1621829836,39409.59202647525,216275.11352428142,103602.21388101619,801653.0895529791,188856.85408224017,91008.88875646869,54325.09863694286,220029.87345062254,180286.73536513027,47578.11138758389,1066344.7827566045,142566.84283870776,35802.681078294336,21076.470916421124
Crude,1902,oil,storage,m3,391785.0425297084,4025666.34162752,115037.68469660792,147909.87160870514,165348.32326328813,328364.5658866583,81999.79402382411,37762.855310548766,34402.151918611264,57169.009565908826,3401446.852792542,300819.7946195803,47291.510431770286,259530.13622913774,124322.6566572194,961983.707463575,226628.22489868823,109210.66650776242,65190.118364331436,264035.84814074705,216344.08243815627,57093.73366510067,1279613.739307925,171080.21140644932,42963.2172939532,25291.76509970535
Crude,1903,oil,storage,m3,457082.5496179931,4696610.731898773,134210.63214604257,172561.51687682263,192906.37714050282,383091.99353443476,95666.42636112812,44056.66452897357,40135.84390504647,66697.17782689363,3968354.661591299,350956.427056177,55173.428837065345,302785.158933994,145043.09943342267,1122314.3253741707,264399.59571513627,127412.44425905614,76055.13809172,308041.82283087156,252401.42951118236,66609.35594261746,1492882.695859246,199593.57997419088,50123.75350961208,29507.05928298958
Crude,1904,oil,storage,m3,522380.05670627777,5367555.122170026,153383.5795954772,197213.16214494014,220464.43101771752,437819.42118221114,109333.05869843214,50350.47374739836,45869.53589148168,76225.34608787842,4535262.470390056,401093.05949277367,63055.34724236039,346040.1816388503,165763.54220962588,1282644.9432847667,302170.9665315843,145614.22201034988,86920.15781910857,352047.79752099613,288458.7765842084,76124.97822013423,1706151.6524105673,228106.94854193242,57284.289725270944,33722.3534662738
Crude,1905,oil,storage,m3,587677.5637945626,6038499.512441279,172556.5270449119,221864.80741305772,248022.48489493222,492546.8488299876,122999.69103573618,56644.28296582316,51603.2278779169,85753.51434886323,5102170.279188813,451229.6919293705,70937.26564765544,389295.2043437066,186483.98498582916,1442975.5611953624,339942.33734803234,163815.99976164362,97785.17754649716,396053.77221112064,324516.1236572344,85640.60049765102,1919420.6089618884,256620.31710967395,64444.82594092982,37937.64764955803
Crude,1906,oil,storage,m3,718272.5779711321,7380388.292983787,210902.42194378114,271168.09794929274,303138.5926493616,602001.7041255403,150332.95571034422,69231.90140267274,63070.611850787325,104809.85087083284,6235985.896786327,551502.9568025639,86701.10245824556,475805.2497534191,227924.8705382356,1763636.7970165538,415485.0789809284,200219.55526423108,119515.2170012743,484065.7215913696,396630.8178032865,104671.84505268457,2345958.5220645303,313647.05424515717,78765.89837224754,46368.23601612648
Crude,1907,oil,storage,m3,848867.5921477015,8722277.073526291,249248.3168426505,320471.3884855278,358254.7004037909,711456.5594210931,177666.22038495223,81819.51983952233,74537.99582365775,123866.18739280246,7369801.51438384,651776.2216757574,102464.93926883565,562315.2951631318,269365.7560906421,2084298.0328377455,491027.82061382435,236623.11076681863,141245.25645605146,572077.6709716186,468745.51194933866,123703.08960771812,2772496.4351671715,370673.7913806402,93086.97080356529,54798.824382694926
Crude,1908,oil,storage,m3,979462.6063242708,10064165.854068799,287594.2117415198,369774.6790217628,413370.8081582203,820911.4147166458,204999.48505956025,94407.13827637192,86005.37979652816,142922.52391477203,8503617.131981356,752049.4865489508,118228.77607942573,648825.3405728443,310806.64164304856,2404959.2686589374,566570.5622467205,273026.66626940604,162975.29591082857,660089.6203518676,540860.2060953906,142734.3341627517,3199034.348269813,427700.52851612325,107408.04323488302,63229.412749263385
Crude,1909,oil,storage,m3,1110057.6205008402,11406054.634611305,325940.10664038913,419077.9695579978,468486.91591264977,930366.2700121986,232332.7497341683,106994.75671322152,97472.76376939859,161978.86043674167,9637432.749578869,852322.7514221441,133992.61289001582,735335.3859825569,352247.52719545504,2725620.504480129,642113.3038796165,309430.2217719935,184705.33536560572,748101.5697321168,612974.9002414428,161765.57871778522,3625572.261372455,484727.2656516064,121729.11566620074,71660.00111583182
Crude,1910,oil,storage,m3,1240652.63467741,12747943.415153813,364286.0015392584,468381.26009423286,523603.0236670791,1039821.1253077514,259666.01440877633,119582.3751500711,108940.147742269,181035.19695871128,10771248.367176382,952596.0162953376,149756.4497006059,821845.4313922696,393688.4127478616,3046281.740301321,717656.0455125127,345833.777274581,206435.37482038283,836113.5191123658,685089.5943874948,180796.82327281882,4052110.174475097,541754.0027870894,136050.1880975185,80090.58948240029
Crude,1911,oil,storage,m3,1371247.6488539793,14089832.19569632,402631.89643812773,517684.55063046794,578719.1314215085,1149275.9806033042,286999.2790833844,132169.99358692067,120407.53171513941,200091.53348068087,11905063.984773897,1052869.2811685312,165520.28651119606,908355.476801982,435129.298300268,3366942.9761225125,793198.7871454087,382237.3327771685,228165.41427516003,924125.4684926148,757204.2885335471,199828.06782785236,4478648.087577739,598780.7399225727,150371.26052883622,88521.17784896873
Crude,1912,oil,storage,m3,1501842.6630305487,15431720.976238828,440977.79133699706,566987.8411667029,633835.2391759378,1258730.835898857,314332.54375799245,144757.61202377026,131874.91568800982,219147.87000265048,13038879.602371411,1153142.5460417245,181284.12332178612,994865.5222116946,476570.1838526745,3687604.2119437032,868741.5287783048,418640.88827975595,249895.45372993711,1012137.4178728637,829318.982679599,218859.3123828859,4905186.0006803805,655807.4770580559,164692.33296015393,96951.7662155372
Crude,1913,oil,storage,m3,1632437.6772071181,16773609.756781332,479323.6862358663,616291.131702938,688951.3469303673,1368185.69119441,341665.8084326004,157345.23046061987,143342.29966088026,238204.2065246201,14172695.219968924,1253415.810914918,197047.96013237626,1081375.567621407,518011.0694050809,4008265.447764896,944284.2704112007,455044.44378234335,271625.4931847143,1100149.3672531128,901433.6768256512,237890.5569379195,5331723.913783022,712834.2141935388,179013.4053914717,105382.35458210563
Crude,1914,oil,storage,m3,1763032.6913836875,18115498.537323836,517669.5811347356,665594.422239173,744067.4546847966,1477640.5464899626,368999.07310720853,169932.84889746943,154809.68363375065,257260.54304658968,15306510.837566439,1353689.0757881117,212811.79694296632,1167885.6130311198,559451.9549574874,4328926.683586087,1019827.0120440972,491447.9992849308,293355.53263949143,1188161.3166333619,973548.3709717033,256921.80149295303,5758261.826885665,769860.9513290221,193334.47782278943,113812.94294867408
Crude,1915,oil,storage,m3,1893627.7055602572,19457387.317866344,556015.4760336048,714897.7127754082,799183.562439226,1587095.401785515,396332.3377818165,182520.46733431902,166277.0676066211,276316.8795685593,16440326.455163954,1453962.3406613048,228575.63375355644,1254395.6584408323,600892.840509894,4649587.919407279,1095369.753676993,527851.5547875183,315085.5720942686,1276173.2660136109,1045663.0651177554,275953.04604798654,6184799.739988307,826887.688464505,207655.55025410713,122243.53131524254
Crude,1916,oil,storage,m3,2024222.7197368266,20799276.09840885,594361.3709324743,764201.003311643,854299.6701936554,1696550.2570810684,423665.6024564245,195108.08577116867,177744.45157949155,295373.2160905289,17574142.072761472,1554235.6055344983,244339.47056414653,1340905.7038505452,642333.7260623004,4970249.15522847,1170912.495309889,564255.1102901058,336815.6115490457,1364185.21539386,1117777.7592638074,294984.29060302017,6611337.653090947,883914.4255999881,221976.62268542487,130674.11968181097
Crude,1917,oil,storage,m3,2154817.733913396,22141164.878951356,632707.2658313436,813504.2938478781,909415.7779480848,1806005.112376621,450998.8671310326,207695.70420801823,189211.8355523619,314429.5526124986,18707957.69035898,1654508.8704076917,260103.30737473664,1427415.7492602575,683774.6116147069,5290910.391049663,1246455.236942785,600658.6657926933,358545.65100382286,1452197.164774109,1189892.4534098597,314015.5351580537,7037875.566193588,940941.1627354714,236297.6951167427,139104.70804837943
Crude,1918,oil,storage,m3,2285412.748089966,23483053.659493867,671053.1607302128,862807.5843841133,964531.8857025142,1915459.9676721739,478332.1318056407,220283.3226448678,200679.21952523236,333485.88913446816,19841773.307956494,1754782.135280885,275867.1441853267,1513925.79466997,725215.4971671134,5611571.626870855,1321997.978575681,637062.2212952808,380275.6904586,1540209.1141543582,1262007.1475559117,333046.7797130872,7464413.479296231,997967.8998709545,250618.76754806036,147535.29641494786
Crude,1919,oil,storage,m3,2416007.762266535,24824942.440036375,709399.0556290824,912110.8749203484,1019647.9934569434,2024914.8229677265,505665.3964802487,232870.94108171738,212146.60349810278,352542.2256564377,20975588.925554007,1855055.4001540784,291630.9809959168,1600435.8400796826,766656.3827195198,5932232.862692044,1397540.7202085773,673465.7767978683,402005.7299133772,1628221.0635346067,1334121.8417019637,352078.02426812076,7890951.392398874,1054994.6370064374,264939.8399793781,155965.88478151633
Crude,1920,oil,storage,m3,2546602.7764431043,26166831.22057888,747744.9505279515,961414.1654565833,1074764.1012113728,2134369.678263279,532998.6611548567,245458.55951856697,223613.9874709732,371598.56217840733,22109404.543151524,1955328.665027272,307394.81780650694,1686945.8854893951,808097.2682719262,6252894.098513237,1473083.4618414734,709869.3323004557,423735.76936815435,1716233.012914856,1406236.535848016,371109.2688231543,8317489.305501514,1112021.3741419206,279260.91241069586,164396.4731480848
Crude,1921,oil,storage,m3,2677197.790619673,27508720.001121387,786090.8454268207,1010717.4559928183,1129880.208965802,2243824.533558832,560331.9258294647,258046.17795541658,235081.37144384359,390654.898700377,23243220.160749037,2055601.9299004655,323158.65461709705,1773455.9308991076,849538.1538243328,6573555.334334428,1548626.2034743694,746272.8878030431,445465.8088229315,1804244.9622951047,1478351.2299940682,390140.51337818796,8744027.218604157,1169048.1112774038,293581.9848420136,172827.06151465327
Crude,1922,oil,storage,m3,2807792.804796243,28850608.78166389,824436.7403256901,1060020.7465290534,1184996.3167202317,2353279.3888543844,587665.1905040729,270633.7963922662,246548.75541671403,409711.23522234656,24377035.77834655,2155875.1947736586,338922.4914276871,1859965.9763088203,890979.0393767393,6894216.57015562,1624168.9451072654,782676.4433056306,467195.8482777087,1892256.9116753538,1550465.92414012,409171.7579332214,9170565.131706798,1226074.848412887,307903.0572733313,181257.64988122167
Crude,1923,oil,storage,m3,2938387.818972813,30192497.56220639,862782.6352245595,1109324.0370652883,1240112.4244746608,2462734.2441499378,614998.4551786807,283221.41482911573,258016.1393895845,428767.5717443162,25510851.395944063,2256148.459646852,354686.32823827723,1946476.0217185328,932419.9249291458,7214877.805976814,1699711.6867401616,819079.998808218,488925.8877324857,1980268.8610556028,1622580.618286172,428203.0024882551,9597103.04480944,1283101.58554837,322224.12970464904,189688.23824779014
Crude,1924,oil,storage,m3,3068982.8331493824,31534386.342748903,901128.5301234287,1158627.3276015234,1295228.53222909,2572189.0994454906,642331.7198532888,295809.0332659654,269483.52336245484,447823.9082662857,26644667.013541576,2356421.724520046,370450.16504886735,2032986.0671282455,973860.810481552,7535539.041798004,1775254.4283730576,855483.5543108055,510655.92718726286,2068280.8104358518,1694695.3124322242,447234.2470432887,10023640.957912082,1340128.322683853,336545.2021359668,198118.82661435855
Crude,1925,oil,storage,m3,3199577.847325952,32876275.123291407,939474.425022298,1207930.6181377585,1350344.6399835197,2681643.9547410426,669664.984527897,308396.6517028149,280950.9073353253,466880.24478825537,27778482.631139092,2456694.9893932394,386214.00185945746,2119496.112537958,1015301.6960339586,7856200.277619195,1850797.1700059539,891887.1098133929,532385.9666420401,2156292.7598161013,1766810.0065782764,466265.49159832223,10450178.871014725,1397155.059819336,350866.27456728445,206549.41498092702
Crude,1926,oil,storage,m3,3330172.8615025207,34218163.903833926,977820.3199211676,1257233.9086739935,1405460.7477379492,2791098.810036596,696998.249202505,320984.2701396646,292418.29130819574,485936.58131022507,28912298.248736605,2556968.254266433,401977.8386700476,2206006.1579476707,1056742.5815863651,8176861.513440385,1926339.9116388492,928290.6653159804,554116.0060968172,2244304.70919635,1838924.7007243282,485296.7361533557,10876716.784117367,1454181.7969548192,365187.34699860227,214980.00334749554
Crude,1927,oil,storage,m3,3460767.87567909,35560052.684376426,1016166.2148200368,1306537.1992102289,1460576.8554923784,2900553.665332149,724331.5138771131,333571.8885765141,303885.6752810662,504992.9178321946,30046113.86633412,2657241.5191396265,417741.67548063764,2292516.203357383,1098183.4671387714,8497522.749261579,2001882.6532717461,964694.2208185679,575846.0455515942,2332316.658576599,1911039.3948703804,504327.9807083893,11303254.697220007,1511208.5340903024,379508.41942992,223410.59171406395
Crude,1928,oil,storage,m3,3591362.8898556605,36901941.46491893,1054512.109718906,1355840.4897464637,1515692.9632468075,3010008.520627701,751664.7785517209,346159.50701336365,315353.0592539365,524049.2543541642,31179929.483931635,2757514.784012819,433505.51229122776,2379026.2487670956,1139624.3526911784,8818183.985082772,2077425.3949046421,1001097.7763211556,597576.0850063714,2420328.6079568476,1983154.0890164324,523359.2252634229,11729792.610322647,1568235.2712257851,393829.49186123774,231841.18008063242
Crude,1929,oil,storage,m3,3721957.9040322294,38243830.24546144,1092858.0046177753,1405143.7802826986,1570809.0710012373,3119463.3759232545,778998.043226329,358747.1254502133,326820.443226807,543105.5908761338,32313745.10152915,2857788.0488860128,449269.3491018178,2465536.2941768086,1181065.2382435843,9138845.220903963,2152968.136537538,1037501.331823743,619306.1244611486,2508340.557337097,2055268.783162485,542390.4698184563,12156330.52342529,1625262.0083612688,408150.56429255544,240271.76844720083
Crude,1930,oil,storage,m3,3852552.9182087984,39585719.02600394,1131203.8995166447,1454447.0708189334,1625925.1787556668,3228918.231218807,806331.3079009369,371334.7438870628,338287.8271996774,562161.9273981034,33447560.719126664,2958061.3137592063,465033.18591240805,2552046.3395865206,1222506.123795991,9459506.456725154,2228510.8781704344,1073904.8873263304,641036.1639159257,2596352.506717346,2127383.477308537,561421.71437349,12582868.436527934,1682288.7454967515,422471.6367238731,248702.35681376932
Crude,1931,oil,storage,m3,3983147.9323853683,40927607.80654645,1169549.794415514,1503750.3613551685,1681041.2865100957,3338373.0865143593,833664.5725755452,383922.36232391244,349755.21117254783,581218.263920073,34581376.33672418,3058334.5786324,480797.022722998,2638556.3849962335,1263947.0093483976,9780167.692546345,2304053.6198033304,1110308.4428289179,662766.2033707029,2684364.4560975954,2199498.171454589,580452.9589285235,13009406.349630572,1739315.4826322352,436792.7091551909,257132.9451803377
