,Africa,Asia (ex China),China (Estimated),Estimated Unreported to IAI,Gulf Cooperation Council,North America,Oceania,Russia & Eastern Europe,South America,Western & Central Europe,Japan
1988,,687000.0,,,,,381000.0,,,4728000.0,2589000.0
1989,,988000.0,,,1333.23,6787896.954,381000.0,107525.0,2163078.041,4840000.0,2742000.0
1990,601865.99,1009000.0,,,1729.161,6891519.973,328000.0,125997.0,2374377.122,5071000.0,2683000.0
1991,611830.465,1074000.0,786.523,,251905.986,7438025.124,266000.0,63970.0,2705960.977,5236000.0,2908000.0
1992,608606.354,1101000.0,,4689960.906,252418.992,7105332.626,307000.0,78649.008,2716907.225,5346000.0,2671000.0
1993,607678.751,1230000.0,,4738435.783,276071.835,6243606.59,410000.0,,2793502.299,5376000.0,2467000.0
1994,573298.932,1419000.0,,3989004.783,,5176989.311,416000.0,266852.637,3246616.518,5364000.0,2718000.0
1995,690684.31,1555000.0,,2362097.191,63872.43,5748262.735,379000.0,47734.577,3214576.41,5648000.0,2832000.0
1996,1148403.625,1734000.0,,2216124.795,48685.013,6105438.092,188000.0,6058961.336,3368716.24,5601000.0,2975000.0
1997,1258447.848,1819000.0,,1749080.581,3714.252,5918597.963,424000.0,6575494.982,3252511.778,5788000.0,3017000.0
1998,991023.499,1317000.0,,2236669.6629999997,32109.198,5554469.651,421000.0,6882399.450999999,3195694.224,6178000.0,2612000.0
1999,1135333.485,1489000.0,1851103.492,490708.454,32576.507,5235448.953,462000.0,7760752.554,3424991.466,6082000.0,2693000.0
2000,1914223.5873190002,1937000.0,1265842.592,79197.21900000004,109644.549,5344862.577,516000.0,7400328.982602,2736100.463,6720000.0,2397000.0
2001,2213340.351875,2174000.0,2887318.662,195846.50699999998,78957.846,4610912.4120000005,577000.0,7120435.87638,3131404.0149809998,7194000.0,2254000.0
2002,2210742.926612,1884000.0,4062841.06,167681.63900000002,82152.241,4448791.707,686000.0,6845089.211999999,2882581.193316,7328000.0,2226000.0
2003,2479538.475819,2805000.0,5247808.171,18852.118000000017,81181.80161,5129174.179,681000.0,7135116.214447,3800980.1234989995,7870000.0,2313000.0
2004,2419331.636632,2744000.0,6135914.936,,103029.056338,4696124.041,743000.0,7559622.1305720005,2916240.592733,8668000.0,2451000.0
2005,3050409.099071,3130000.0,6819038.786,157385.608,419846.395,4442236.671,778000.0,7635692.324975,2941671.794141,8952000.0,2297000.0
2006,2990245.760708,3448000.0,8321208.564,238267.62900000002,449347.021,5393996.962,796000.0,7533803.261172,2897574.801417,9567000.0,2545000.0
2007,3120979.416929,3610000.0,10792442.916,277653.56,361820.658,6464604.164,690000.0,7430882.344784,2571173.13651,11150000.0,2453000.0
2008,3057413.855696,4593000.0,12053326.705,257117.773,307065.228,7312456.132,738000.0,7862906.512514,3068723.8173909998,9721000.0,2529000.0
2009,2370375.662711,5057000.0,9680219.526,249852.146,441729.795,5621133.53034,699000.0,7552726.3561889995,2940767.93919,7761000.0,2083000.0
2010,4021902.300669,6882000.0,14897782.381000001,212858.70500000002,5291150.375,6030338.48513,866000.0,16995673.177673,3273762.117372,9964000.0,2291000.0
2011,2789781.632918,7861000.0,17833546.77,73028.62,6760717.892,6623075.961277,749000.0,7231258.982075,2437988.842733,10993000.0,2281000.0
2012,2232033.4053599997,9179000.0,20947031.684,281187.502,5102078.198,6154736.875336,597000.0,7319622.771297,2280280.218786,10093000.0,2332000.0
2013,3321154.7690000003,8155000.0,24127178.559,554259.84893,5798179.706654999,6184304.127441,1034000.0,6683142.684607,2593939.863585,9958000.0,2605000.0
2014,2659696.036946,8723000.0,26340063.939,1215842.5350000001,7640015.342814,6108798.164953,680000.0,5965514.650271,1715355.147482,10522000.0,2584000.0
2015,2294552.719012,,29796004.295143,1233793.7469000001,8536062.798344001,5367559.142325,,6646755.195548,1789496.885714,,
2016,2327337.915389,,31305645.791821,1274600.20445,9128531.69356,4652862.549539,,6794157.328824,1659541.658839,,
2017,2369814.995697,,34158603.09809,1300031.950596,8960831.402867,4411003.849591,,6624756.440451,1573464.781941,,
2018,2362798.8421759997,,35345631.014387,1050538.1635250002,8850917.123055,9161102.948833,,6481621.059693,723424.911783,,
2019,2331319.271749,,34680248.774718,1237588.090418,9335997.422905,8628469.635815,,6756332.135391001,83553.22915599984,,
2020,2178425.07173,,34463722.127592,2012733.849503,9768680.271745,7358598.437313,,6419329.664185001,1140026.039139,,
2021,2297395.255154,,35254170.249664,1373115.107745,10908023.231793001,7330210.864033001,,6773438.445662,1334385.244964,,
2022,2288766.0343009997,,37520353.327679,2036933.413354,11052194.63916,3854415.670191,,3528792.878532,1140684.561906,,
2023,3093297.6969769998,,37262734.339441,2266062.39422,10637329.71949,5330131.187287001,,3379034.321745,1069333.037191,,
2024,2177370.9419170003,,43391315.109,,,6497243.788754001,,3366316.021094,1603928.113937,,
