,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 27,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
1988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,2874340.275,0.0,3028804.518,833997.0,0.0,0.0,0.0,0.0,448729.161,436184.007,0.0,0.0,0.0,0.0,286506.445,0.0,2720863.9809999997,0.0,29.949,0.0,38179.698000000004,0.0,0.0,787926.403,0.0,0.0,0.0
1991,3346429.4129999997,0.0,2840311.816,715970.0,0.0,0.0,0.0,0.0,825905.986,556663.035,0.0,4134350.022,963786.523,0.0,252055.79200000002,0.0,2754736.497,0.0,33.167,0.0,0.0,1498.695,0.0,761986.287,175970.063,0.0,0.0
1992,3633736.816,0.0,2824378.503,507324.88300000003,0.0,0.0,0.0,0.0,931418.992,593049.271,0.0,3513238.258,897180.943,0.0,267649.871,0.0,2688782.51,0.0,0.0,0.0,0.0,1433.865,0.0,699489.841,172649.236,0.0,0.0
1993,4188269.2630000003,0.0,3121357.888,344960.904,0.0,0.0,0.0,0.0,1095071.835,464609.381,0.0,2164801.308,1047619.807,0.0,267976.248,0.0,2994291.071,0.0,33.249,0.0,0.0,573.491,0.0,808059.483,167915.681,0.0,0.0
1994,4169059.4050000003,0.0,1303345.455,590723.307,6512.9649999999965,0.0,0.0,0.0,802549.153,439764.892,0.0,1090955.202,1288234.491,0.0,270707.891,0.0,2830820.842,0.0,85.283,0.0,0.0,601.942,0.0,1288070.014,135116.78100000002,0.0,0.0
1995,3935773.872,0.0,1180995.832,351006.245,0.0,0.0,259440.896,0.0,882030.936,462553.726,0.0,1806622.656,1007828.562,0.0,268856.391,0.0,2820324.165,0.0,3758.533,0.0,20913.117,5047.729,0.0,1314175.142,245640.412,273971.178,0.0
1996,4134868.91,0.0,1388062.048,551230.861,0.0,190258.068,217613.33000000002,5520944.232,812506.897,458671.694,0.0,1996611.881,1064629.3939999999,0.0,288174.078,0.0,3019626.152,0.0,199.209,0.0,23790.589,8485.602,0.0,1407922.6439999999,271109.11,351698.579,0.0
1997,4218527.848,0.0,969819.003,617622.401,0.0,268747.207,255243.13199999998,5814573.881,900156.214,468360.498,0.0,1770204.462,1384822.599,0.0,230096.445,0.0,3295729.027,0.0,1761.273,0.0,0.0,8735.752,0.0,1275619.972,263417.624,389193.262,0.0
1998,4198047.48,0.0,730181.2400000002,523780.138,0.0,335642.738,286638.444,6127622.294,935887.585,433590.88,0.0,1486214.469,1950362.3900000001,0.0,194044.291,0.0,3767092.6859999998,0.0,1202.288,0.0,0.0,0.0,0.0,1227485.387,258034.19,106796.05,0.0
1999,4176457.8540000003,0.0,1265649.395,818930.286,0.0,461705.155,330822.0,6580104.569,1053550.211,586376.633,0.0,1189740.403,1783103.492,0.0,82369.236,0.0,3798475.773,0.0,1166.614,0.0,0.0,12381.797,0.0,1318542.1940000001,268851.268,245064.611,0.0
2000,4094204.4869999997,1193948.782574,2069246.212483,658875.775602,0.0,510552.603,315705.886,6397924.585,1187725.348,641852.652,0.0,1487875.551,1271842.592,0.0,205602.125,0.0,3865499.3200000003,0.0,40836.402,0.0,0.0,19095.94,0.0,1399125.574,253752.39965099999,398708.353,50365.092
2001,4593307.102,1139080.56186,1749753.693023,600830.47538,0.0,368579.126,340955.81799999997,6337432.2469999995,1178600.012,562112.664,0.0,429492.7250000001,2766318.662,0.0,229455.315,0.0,4032202.5300000003,0.0,255005.399399,0.0,0.0,15134.336,0.0,1385894.056157,263006.708448,339241.575,265242.288
2002,4800013.766,1278706.534612,1704112.5667630006,629413.294,0.0,312902.27,359123.815,6112414.075999999,1257456.701,645477.915,0.0,245192.97800000012,4041841.06,0.0,199064.95799999998,0.0,5208396.839,0.0,246000.206,0.0,0.0,17055.584,0.0,1540098.903316,275782.508721,210438.736,256801.959
2003,5036780.859,1386381.3523209998,1564645.7751660002,661913.544447,0.0,270135.50899999996,338649.046,6575941.256,1309094.31461,715784.655,0.0,337081.55599999987,5150808.171,0.0,193273.325,0.0,4866725.028,0.0,377866.081606,0.0,0.0,54563.55829,0.0,1508172.318801,261514.146479,115831.586,402664.704
2004,4629528.2870000005,1501246.110932,2127170.0573360003,682362.325772,0.0,249905.269,389043.964,7001049.118,1517196.854338,740849.504,0.0,0.0,6116914.936,0.0,226597.19,0.0,4276500.052,0.0,4590.078,0.0,264546.266,34361.855224,0.0,1475655.961733,275451.795608,159255.102,540948.993
2005,5166369.116,1519408.4818580002,2867747.087294,791140.914964,0.0,247482.569,411034.627,7032478.034,2110026.15,743300.343,0.0,0.0,6813038.786,0.0,227713.50400000002,0.0,4316979.0030000005,0.0,569442.425,0.0,0.0,37030.14354600001,0.0,1434987.726878,288668.113277,155351.79,547271.286
2006,5539076.914,1526769.693672,1874430.943986,749778.0517150001,109790.875,237782.08000000002,445297.96,7133267.527,2492763.485,872349.7779999999,0.0,185664.53000000003,8332208.564,0.0,264167.988,0.0,4378579.785,0.0,784644.819895,0.0,0.0,36847.396272,0.0,1352854.254393,293867.511699,0.0,555341.202
