,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1990,2874340.275,0.0,38179.698000000004,0.0,1515450.719,787926.403,0.0,0.0,0.0,0.0,3028804.518,830240.706,0.0,0.0,0.0,0.0,448729.161,436184.007,0.0,0.0,0.0,286506.445,0.0,2720863.9809999997,0.0,0.0
1991,3346429.4129999997,4134350.022,0.0,0.0,1884974.69,761986.287,175970.063,0.0,0.0,0.0,2840311.816,712859.999,0.0,0.0,0.0,0.0,825905.986,556663.035,0.0,963786.523,0.0,252055.79200000002,0.0,2754736.497,0.0,0.0
1992,3633736.816,3513238.258,0.0,0.0,2007417.384,699489.841,172649.236,0.0,0.0,0.0,2824378.503,473111.779,0.0,0.0,0.0,0.0,906418.992,593049.271,0.0,897180.943,0.0,267649.871,0.0,2688782.51,0.0,0.0
1993,4188269.2630000003,2164801.308,0.0,0.0,1977442.816,808059.483,167915.681,262033.249,0.0,0.0,3121357.888,342060.813,0.0,0.0,0.0,0.0,1075071.835,464609.381,0.0,1047619.807,0.0,267976.248,0.0,2994291.071,0.0,0.0
1994,4169059.4050000003,1090955.202,0.0,0.0,1959573.504,1288070.014,135116.78100000002,230068.896,0.0,0.0,1302513.64,590342.833,6512.9649999999965,101998.986,0.0,0.0,797549.153,439764.892,0.0,1288234.491,0.0,270707.891,0.0,2830820.842,0.0,0.0
1995,3935773.872,1806622.656,20913.117,0.0,1876447.405,1314175.142,245640.412,273948.3,0.0,0.0,1179815.494,355281.229,0.0,104344.626,259440.896,0.0,878030.936,462553.726,0.0,1007828.562,0.0,268856.391,0.0,2820324.165,0.0,0.0
1996,4134868.91,1996611.881,23790.589,0.0,1898793.596,1407922.6439999999,271109.11,351772.024,0.0,0.0,1387485.681,519998.887,0.0,191263.546,217613.33000000002,5523072.465,811506.897,458671.694,0.0,1066970.3939999999,0.0,288174.078,0.0,3019626.152,0.0,0.0
1997,4218527.848,1770204.462,0.0,0.0,1913891.8059999999,1275619.972,263417.624,389071.22,0.0,0.0,975146.2940000002,576699.351,0.0,268747.207,255243.13199999998,5841265.244,895156.214,468360.498,0.0,1386150.059,0.0,230096.445,0.0,3295729.027,0.0,0.0
1998,4198047.48,1486214.469,0.0,0.0,1904208.837,1227485.387,258034.19,106848.144,0.0,0.0,728994.5320000001,483552.71,0.0,337262.372,286638.444,6138013.705,935887.585,433590.88,0.0,1950717.675,0.0,344399.603,0.0,3616737.374,0.0,0.0
1999,4176457.8540000003,1189740.403,0.0,0.0,2045449.2719999999,1318542.1940000001,268851.268,245043.275,0.0,0.0,1264283.9109999998,779608.605,0.0,461897.222,330822.0,6626620.598,1053550.211,586376.633,0.0,1783683.077,0.0,82369.236,0.0,3798475.773,0.0,0.0
