year,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
1988,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,142473.39500000002,,2313186.234,633283.0,139096.562,,,,-4366.851999999999,191008.465,678342.2,,,248512.02000000002,,1698677.314,84947.78899999999,,,100782.513,,,1429445.437,,,
1991,118672.29700000002,,2137790.762,654096.0,126638.225,,,,44638.926,160886.46899999998,642565.121,1905967.815,571662.621,234400.875,,1806839.983,81918.29699999999,,,117352.801,,,299615.83700000006,2692.049,,
1992,106963.81800000003,,2309262.442,560542.258,136125.79499999998,,,,57038.506,150505.191,567651.183,2282016.188,1506110.148,323458.63300000003,,1529641.417,95383.57500000001,,,80675.312,,,-91292.32000000007,-6518.487999999999,,
1993,113434.34399999998,,2563892.525,578869.882,148442.108,,,,55232.015,223434.167,629437.657,2441010.809,1642457.567,367193.66099999996,,1558150.256,130726.74799999999,,,15947.779999999999,,,240186.5959999999,-5974.502,,
1994,167263.99200000003,,3355710.2029999997,173863.33000000002,136271.009,,,,80696.753,218328.537,733816.954,2477655.796,1609689.5520000001,358076.521,,1525250.059,153966.441,,,29135.159000000014,,,-141602.76099999994,-5636.225,28961.211,
1995,208166.515,,3747378.488,333141.183,151449.242,,121022.758,,44890.682,233372.808,802428.004,2285185.154,2460750.7649999997,406448.761,,1542533.3,182720.033,,,-32064.352000000014,,,-106279.41599999997,-6055.9259999999995,30765.073,
1996,178422.24300000002,,3694429.048,254586.93099999998,197971.286,,85541.087,-173383.07200000004,62934.876,333804.122,797087.235,2679926.988,2513724.772,248032.08500000002,,1527611.904,219269.449,,,50041.853,,,-125259.1370000001,-7641.601000000001,37928.129,
1997,199173.299,,4029680.412,264770.513,226138.262,,85783.41700000002,-315549.33499999996,20021.217999999993,318528.156,833708.198,2944766.633,2204866.839,252639.18099999998,,1559276.053,159154.059,,,118535.033,,,-68822.46499999985,-16042.172999999999,38226.946,
1998,171940.83500000002,,4498043.456,214825.119,222468.481,,58512.359999999986,-257955.74699999997,139660.173,306591.945,703931.0630000001,3126089.058,2479125.779,211893.80599999998,,1304377.731,-762619.726,,,386969.589,,,-81365.39099999983,-1842.799,36688.702,
1999,236250.43199999997,,4145633.592,181295.908,197562.338,,-3537860.137,-80556.60400000005,50748.982,461257.81,1024965.921,2965002.501,3269999.573,114911.353,-116622.32199999999,1324416.817,162900.002,,,361246.677,,,2616.4769999999553,-7035.156000000001,29234.238,
