typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","19880101","1988","52","1988","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H0","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37097","false","-1","N/A",,"true","37097","false",,"false",,"95383","95383","0","false","false",
"C","A","19880101","1988","52","1988","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H0","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1313875","false","-1","N/A",,"true","1313875","false",,"false",,"1025431","1025431","0","false","false",
"C","A","19880101","1988","52","1988","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H0","HS","true","7402","Copper; unrefined, copper anodes for electrolytic refining","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2431","false","-1","N/A",,"true","2431","false",,"false",,"12868","12868","0","false","false",
"C","A","19880101","1988","52","1988","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H0","HS","true","7402","Copper; unrefined, copper anodes for electrolytic refining","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","9147","false","-1","N/A",,"true","9147","false",,"false",,"25562","25562","0","false","false",
"C","A","19880101","1988","52","1988","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H0","HS","true","7403","Copper; refined and copper alloys, unwrought","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","157967","false","-1","N/A",,"true","157967","false",,"false",,"333481","333481","0","false","false",
"C","A","19880101","1988","52","1988","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H0","HS","true","7403","Copper; refined and copper alloys, unwrought","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","95362677","false","-1","N/A",,"true","95362677","false",,"false",,"246519953","246519953","0","false","false",
"C","A","19880101","1988","52","1988","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H0","HS","true","7404","Copper; waste and scrap","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2750670","false","-1","N/A",,"true","2750670","false",,"false",,"3667155","3667155","0","false","false",
"C","A","19880101","1988","52","1988","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H0","HS","true","7404","Copper; waste and scrap","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","214115","false","-1","N/A",,"true","214115","false",,"false",,"1004496","1004496","0","false","false",
"C","A","19880101","1988","52","1988","246","FIN","Finland","M","Import","0","W00","World","0","W00","World","H0","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","19977","false","-1","N/A",,"true","19977","false",,"false","46576",,"46576","0","false","false",
"C","A","19880101","1988","52","1988","246","FIN","Finland","X","Export","0","W00","World","0","W00","World","H0","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2812","false","-1","N/A",,"true","2812","false",,"false",,"38678","38678","0","false","false",
