Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1961,75202.17748,683942.6622,38415.6269,19394.95752,52517.64043,63518.04498,22969.33645,40195.18093,23642.56524,21272.51477,613501.6226,80440.82732,20422.96964,30740.00537,16974.4134,97295.26331,53837.22656,123098.1567,14275.79271,143402.3802,44853.93045,29122.73224,154609.5095,41767.71568,35304.6536,14901.22443
1962,93669.99457,826772.03,42459.69782,21533.8124,60441.37197,70942.03635,24833.5186,42464.23458,24931.26343,23437.29957,722584.7506,92498.94801,22968.51633,33641.73135,18343.35388,105419.4899,58748.74425,130885.3632,15593.83232,155458.9881,48650.03396,31493.53194,186913.7415,50669.90528,37548.66071,15754.0585
1963,111807.9908,965572.3045,46226.2502,23531.26078,68002.53343,77971.50805,26508.23154,44444.42047,26070.85096,25465.2192,828147.8357,104218.9029,25414.98541,36418.49218,19646.66105,113199.0709,63169.86543,137733.2996,16820.38885,166618.6639,52126.7392,33654.80622,218330.0886,59390.14173,39497.36486,16517.67796
1964,129527.0171,1100900.843,49875.98598,25464.74546,75341.66988,84798.72427,28117.71632,46343.64524,27168.63828,27428.87136,931022.7731,115653.8744,27799.60595,39121.71352,20914.56852,120777.1012,67422.13722,144294.836,18008.63353,179426.4507,55486.89639,35740.64842,248962.4599,67906.25132,41359.21968,17254.8011
1965,146625.3652,1231550.729,53419.58399,27337.0602,82423.19619,91412.03243,29681.40277,48204.50614,28246.19859,29329.00018,1030406.302,126704.5773,30110.58658,41740.33856,22143.71992,128123.2677,71554.09816,150693.8596,19162.49128,190654.0347,58757.11183,37769.61919,278537.6704,76127.67624,43175.75289,17977.14946
1966,162912.0058,1356244.929,56847.68338,29141.33782,89193.97614,97775.73292,31203.25494,50043.69712,29311.71737,31157.31382,1125391.256,137265.1062,32331.42689,44256.82735,23326.95742,135189.2065,75574.38137,156972.9383,20279.24016,200958.1211,61938.61602,39743.54903,306767.9452,83966.43525,44962.54333,18688.61764
1967,178232.2307,1473953.782,60149.85796,30870.6783,95608.60243,103859.2226,32683.47502,51869.9829,30369.44151,32906.20728,1215229.042,147250.1668,34447.46784,46656.84866,24457.75998,141932.3427,79482.16993,163150.7217,21355.59404,211138.8179,65029.39025,41660.89045,333414.8871,91350.56889,46727.25115,19391.05124
1968,231557.3609,2065282.875,77576.01643,40286.05473,127532.0506,143869.0721,37229.35307,57758.34305,34117.55921,44415.10145,1617403.746,198739.0143,40252.88998,62422.13383,28732.92324,167818.6471,91046.10718,179582.3484,26256.27263,233718.2193,86183.41332,48961.52567,430776.5368,115356.112,51732.58376,22406.59719
1969,245206.7653,2174017.673,80812.78063,41964.78567,133522.0133,149832.1541,38670.31976,59633.53556,35206.69087,46137.61382,1700108.632,208022.7716,42185.1992,64759.79733,29793.23281,174120.1746,94836.4743,185740.5061,27301.2491,243836.7186,89353.31953,50840.34425,454837.6662,121937.0202,53513.06371,23128.48677
1970,221015.9273,1815178.481,72281.16429,37538.96011,119704.8924,127769.6855,38420.71109,62900.24541,37754.93137,61701.27334,1531959.104,194567.9666,43570.99337,64098.32241,34208.91451,198793.9418,94508.47028,213910.4613,25356.83799,260684.7217,80025.08281,48798.54763,422896.7421,112156.1296,54502.14543,25984.79787
