Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1961,25622.57837,268053.15,19304.50539,9590.475309,23811.25305,28937.03114,12585.30433,21604.6861,12081.44842,8725.091063,252624.4299,28675.43207,8653.136749,10551.38688,5504.006175,30331.92635,30302.60064,65623.32721,6968.747902,80724.23722,22728.08955,15309.10306,59045.7842,15315.75726,20142.79838,7307.11763
1962,30306.79978,307513.8147,21009.6996,10462.9562,26463.23485,31665.37404,13573.94138,23057.90223,12870.16181,9591.36453,284891.8742,32155.51232,9508.656643,11534.67506,5992.405176,33085.07279,32840.28956,70337.7867,7543.189746,87942.19565,24563.94614,16484.56379,68251.86026,17644.43163,21580.00245,7794.555419
1963,34732.4261,343774.8665,22467.51694,11207.14917,28792.83096,34039.94014,14387.89917,24240.27931,13518.14472,10337.04836,314184.2948,35328.17925,10274.43997,12403.78198,6420.506447,35524.14034,34945.27695,74171.02692,8032.750183,94155.99359,26102.56471,17464.39064,76736.2699,19825.11677,22740.54821,8198.164533
1964,39020.78429,378718.4558,23848.2332,11909.96027,31006.20476,36296.54233,15149.39351,25345.07229,14125.89275,11043.40538,342319.8729,38376.28713,11007.75113,13232.84653,6828.102704,37853.72042,36922.90626,77745.88118,8495.373305,101302.4841,27550.75787,18384.76264,84906.90049,21933.99012,23820.58693,8577.567778
1965,43161.38688,412500.0967,25184.3975,12587.66107,33135.40016,38476.46148,15883.63466,26413.94271,14714.99792,11725.13452,369501.1766,41317.62956,11717.03765,14033.79959,7221.983868,40106.76134,38835.77528,81194.72604,8942.161683,107537.5004,28950.29171,19273.3622,92791.95498,23970.48419,24862.16849,8945.408909
1966,47128.68322,445042.8274,26487.43535,13245.73858,35186.89952,40591.70879,16600.66736,27464.55388,15294.56582,12386.86303,395705.8839,44147.3804,12403.6243,14809.35337,7603.992614,42290.76873,40708.66387,84572.6061,9377.018967,113048.3412,30317.22275,20140.95824,100368.6381,25924.57779,25882.99324,9306.923755
1967,50898.23525,476238.8452,27762.46307,13886.51604,37160.82665,42646.4781,17305.55279,28506.38888,15869.47165,13030.41854,420869.6424,46857.07029,13067.04773,15559.96402,7974.604171,44406.58022,42554.01217,87908.37018,9801.65881,118492.7179,31659.59972,20992.8568,107606.9304,27785.87196,26892.46276,9664.882454
1968,60763.91479,583729.7171,31278.98327,15747.01227,43190.5372,50083.52783,18552.7424,30202.44195,16878.29944,15256.21046,494052.9362,55942.10122,14400.37111,18362.56808,8850.994462,49601.13999,45754.30488,92778.41299,10807.60021,125784.3311,35819.66064,22682.67854,125403.2814,32232.96331,28386.98305,10396.84966
1969,64178.8157,613126.6824,32538.55819,16374.43356,45066.47218,52101.53361,19249.35099,31251.8842,17458.22511,15889.18857,517694.4544,58486.57422,15025.57135,19093.35823,9206.591332,51624.50186,47584.44354,96099.19979,11222.83696,131168.3749,37166.98437,23523.79531,132055.9687,33925.55457,29396.20765,10757.69353
1970,61038.49897,563194.4988,31507.44857,15750.22393,42724.46129,48616.93295,19388.31314,31647.25406,17603.87691,14904.99718,491016.0335,54386.93334,14931.80855,17720.07421,9033.505944,50428.05724,48026.99848,97854.97611,11038.67967,134620.7305,35659.54954,23504.52595,127387.5178,32819.27485,29915.26415,10742.35858
1971,69781.57077,662123.955,39921.42717,19849.98205,52441.85139,60929.14545,24975.25779,41501.04277,23141.82754,18549.62359,588657.6306,65776.99328,18623.95309,22117.57413,11356.1172,63120.69742,61230.97756,127635.6166,14109.56163,176472.5403,45767.90375,30371.32198,149375.0252,38487.39691,39061.36111,14067.09227
1972,93663.7865,808888.9055,69398.73083,20560.81382,124246.5585,49000.30863,34988.28457,35019.89521,16321.80186,11337.33679,813369.6352,63229.74798,32612.38038,21252.27544,12516.1585,63850.58855,187300.5897,81356.84793,11065.70341,146672.4566,35120.93315,28747.85377,290107.5759,38261.26653,15453.21869,13670.10054
1973,107744.4726,875716.0267,71034.76849,22058.27439,134297.4143,61333.78704,14764.74159,35040.11395,16483.42186,15670.74928,878464.5425,70592.26029,26459.48273,24485.61866,14271.46718,81269.20026,39157.80041,74423.78775,16582.14376,153134.5703,41317.54446,30648.76379,287788.2319,49199.41016,22062.60111,13307.23116
