Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1961,1491818.335,14570659.85,1750130.643,824679.3423,1727750.188,2765818.263,1070761.283,2091697.153,1213432.416,622890.9431,20875958.73,2720360.69,1056091.098,1129518.518,643564.7697,3494202.817,2215165.079,5754219.929,819618.0895,6435156.285,1973368.34,1377895.002,4067447.031,1253535.119,1755381.238,736819.9118
1962,1657228.543,15905433.54,1842489.946,868028.7709,1832518.36,2909788.821,1122764.602,2181700.278,1264486.679,659838.5236,22094313.92,2874784.857,1107436.411,1183649.116,672622.4145,3654381.238,2332356.262,6019205.372,856431.0582,6952063.341,2077978.79,1443423.81,4463059.518,1344103.222,1835941.353,767947.1709
1963,1815390.987,17150907.26,1927909.674,907688.5643,1927878.839,3043803.684,1169725.903,2263979.471,1311547.823,693327.0691,23236476.76,3021542.5,1156335.934,1234565.259,699993.3944,3805849.876,2437225.663,6258681.692,890868.0041,7441635.493,2174018.53,1503314.126,4835782.059,1430569.129,1908484.097,796701.618
1964,1969704.966,18357637.85,2011610.408,946330.7227,2019994.384,3175119.423,1215427.363,2344611.941,1357798.937,725799.7778,24354008.75,3165946.715,1204632.337,1284596.43,726938.4983,3955066.843,2538914.177,6492139.192,924777.6673,7955261.276,2268005.352,1561830.553,5200084.169,1515119.901,1979138.32,824968.5798
1965,2119750.771,19528094.89,2094591.407,984454.049,2109787.776,3304998.606,1260654.66,2424928.43,1403935.991,757698.0961,25451919.02,3308402.822,1252612.333,1334116.684,753674.4555,4103075.529,2639296.584,6723767.887,958523.3998,8445870.214,2361264.562,1619847.871,5557323.107,1597689.577,2049233.228,853154.7341
1966,2264680.562,20658511.33,2177195.657,1022222.597,2197415.907,3433792.199,1305719.967,2505496.234,1450254.255,789158.5025,26528873.37,3448667.575,1300328.63,1383206.123,780258.6383,4250102.59,2739107.136,6955314.582,992235.1634,8919917.643,2454298.946,1677705.544,5906959.226,1677938.542,2119330.059,881429.3788
1967,2403839.193,21746361.11,2259620.679,1059730.207,2282944.139,3561730.847,1350792.655,2586635.004,1496921.73,820269.3491,27583579.27,3586554.435,1347789.897,1431918.146,806715.826,4396231.224,2838741.453,7187726.804,1025983.484,9391643.557,2547415.433,1735588.063,6248334.305,1755583.652,2189737.146,909890.52
1968,3570216.225,35513356.91,2709526.558,1297531.931,3038505.94,4571128.669,1491085.094,2776113.144,1615373.617,1113849.343,36436632.67,4756822.4,1516300.334,1810332.255,917701.6164,5056622.881,3175261.395,7665874.231,1153175.929,10158676.38,3096050.246,1930076.8,8292293.227,2262489.879,2337498.966,1000229.122
1969,3711684.27,36698079.69,2797316.592,1337616.02,3129776.911,4710712.435,1537845.355,2860509.074,1664069.43,1148277.452,37558982.88,4904755.707,1565020.994,1863225.718,945179.258,5208599.892,3278669.238,7905156.652,1188481.02,10628512.08,3196532.803,1990311.935,8640614.365,2340689.453,2410163.621,1030134.52
1970,2813729.925,25117663.34,2519247.612,1178167.265,2551095.417,3971584.479,1490715.258,2842270.321,1645014.034,937043.306,30882599.32,4028990.591,1494562.36,1593310.826,892725.4918,4872413.066,3148170.641,7926003.338,1131142.56,10810050.47,2846073.833,1915382.54,7279909.308,1984347.682,2408451.726,1001968.696
1971,3352548.446,30755638.24,3338901.721,1546545.557,3299081.172,5226249.566,1986568.006,3834579.916,2223643.322,1207613.03,39671718.61,5207181.851,1986925.717,2069815.362,1169313.111,6347498.342,4160125.946,10660658.4,1516378.105,14680667.32,3767423.151,2566975.692,8959731.213,2507992.135,3245025.749,1349633.071
1972,5484469.073,50279614.91,4804368.58,1460238.003,8633158.201,4375256.785,2319800.253,3064263.468,1706213.516,961873.3517,43344516.49,4750821.89,2769449.679,2006537.078,1243788.278,6443757.091,8402918.544,6937461.569,1115574.839,13693470.29,2917445.574,2214920.74,16765416.86,2142924.113,1887795.018,1339821.736
1973,5591915.283,51698418.2,5190611.866,1634182.219,10656103.33,4644584.345,1450556.982,3260365.129,1598400.833,1085785.626,49144078.62,5005546.759,2215558.64,1955842.494,1334548.905,7077912.108,3961024.335,6204012.399,1738398.004,14446647.46,3307547.787,2656316.265,17363640.25,3092705.89,1500515.404,1318487.64
1974,4788763.026,20158145.75,4322646.555,1206659.041,10913824.76,4288411.898,1283675.626,3382781.402,2276755.803,583065.8757,27228842.11,6207461.604,2193123.87,2428312.698,1584072.234,8486787.801,1854772.034,8160985.222,1894704.007,13990216.01,3080137.438,2612506.149,8883751.268,3500190.994,3318408.828,1356121.287
1975,3897044.23,16175858.11,4132764.641,1361057.631,4633996.694,4918891.981,2208307.977,3815681.81,2205435.956,1240758.486,22863401.21,5860852.503,3172214.088,2235260.147,1346366.4,7459481.572,3886519.234,8886867.345,1524974.31,13001794.99,3337158.667,2837210.699,16335616.48,2027111.404,2637340.283,1407784.25
1976,5079573.017,58155472.65,4304436.726,1840080.328,9501472.228,4544130.578,2648977.121,3865861.09,2441445.575,1184011.46,41817193.76,6224928.769,2958754.831,1986249.803,1213547.608,6646555.374,9451352.971,8244667.146,1418197.303,13138388.58,3771066.533,2847972.641,13546936.32,2380924.714,2597666.933,1346894.749
1977,4122650.739,56608199.47,3794792.541,2173512.906,6075549.273,8213578.952,3120987.394,4402951.677,2403910.997,1060960.044,39151341.81,6899440.37,3494498.46,1884322.735,1175580.097,6194984.602,18770209.38,9017706.983,2097844.953,14345615.68,4671605.123,2973450.926,15270454.66,2148181.213,2572066.06,1040765.936
1978,4825881.118,56896233.26,6277775.326,2009315.8,6651994.191,5917621.275,3255379.308,4404447.89,2302933.017,665527.7964,34333205.18,6876747.835,2741557.51,1840765.508,1219376.854,6277397.758,9795405.786,10251833.63,2144612.672,14747666.44,4314906.549,3781030.282,15933644.07,2160171.456,3674659.827,1479469.5
1979,4058175.608,33930763.35,7475574.765,1241626.436,9270902.075,7682508.659,2245713.299,3714168.932,1952172.441,327604.4507,40066209.57,4631247.545,1492488.776,2197519.37,1365476.721,7646322.628,5767062.149,9088199.125,3363109.077,15769890.72,4466817.453,2975299.122,17563955.57,1774016.202,3699625.353,1454452.597
1980,3830826.055,15679412.88,5979249.96,1059897.664,24558353.55,6575359.127,2371696.176,3525157.567,2232892.014,625177.1147,25119627.84,2526288.705,2096202.948,2848054.966,1635872.469,9769469.147,3743000.319,8609240.562,1303422.606,16619669.43,4592465.031,3086741.024,12032904.15,2234403.725,3646132.653,1753575.756
1981,4868958.522,24073340.73,9340253.652,1839138.16,3099758.374,6146651.092,3210659.872,4462573.335,2607360.56,2959346.844,23727305.35,2096583.82,1753320.926,2397104.467,1477937.64,8425349.587,3869574.999,10247317.47,3122051.115,17237005.36,4604053.088,3485260.5,12195124.99,2710476.553,3405469.17,1705138.808
1982,1100688.616,16883619.84,3106334.551,1259085.648,2059604.007,4168701.922,3473521.936,4368715.392,2833200.68,1442158.985,23841052.18,1918027.712,1707836.676,1994172.465,1280550.988,6805542.16,14214751.08,10054455.26,2191372.097,18637735.07,5105516.64,4088564.109,13489709.59,2527746.115,4070745.849,1576166.034
1983,1593707.293,62703710.23,52121.52852,1311834.464,635033.2023,2997504.175,3647811.831,5119174.793,2575670.657,1051718.056,30011310.08,2238442.033,3146782.71,1743449.186,1147813.882,6452323.346,12198118.47,11215667.43,3026756.747,20410332.84,5196485.945,3799256.287,16016279.6,1884187.795,4115771.918,1596192.459
1984,5303910.785,61398080.48,1738523.459,1834922.057,2129900.186,3587822.46,4143857.625,5405683.332,2271919.868,1691940.5,35517397.58,3964895.96,3781506.256,2114307.201,1357210.528,7034427.142,7324739.983,10789731.02,2649311.31,20602538.1,5227236.869,3938802.526,14125927.52,2928233.092,4288670.477,1789732.712
1985,6706457.644,66537519.21,3927254.069,1508238.327,5107436.702,4162878.016,4116287.47,7706562.802,2191056.8,1084650.49,41641955.46,3906365.858,2874349.073,1975800.805,1397116.839,6226409.055,5690761.976,11565967.63,2938241.871,23936074.36,5533049.558,3480967.367,18116957.83,4140592.129,4715768.903,1496116.097
1986,7175155.642,70956198.73,10563247.44,1407803.067,8075818.516,11140941.91,2892354.736,5191228.474,2901798.067,629359.442,51854567.63,7096142.336,2283851.099,2510206.74,1852946.49,8209248.012,15816146.64,13261651.46,3328925.813,24757691.69,6217642.667,5238605.294,20258055.45,3474876.337,4391697.887,2076334.205
1987,7382708.255,60592327.33,4347970.344,2717924.106,8524788.9,8725070.098,4563853.751,5026280.315,3339614.893,2008335.494,73177277.3,7376772.491,5600823.231,2192234.156,1685601.398,7842701.027,8187154.432,13058285.15,5429930.904,26195545.42,6570382.744,3328624.873,23160761.83,4386342.508,4229045.176,2011173.422
1988,6340619.037,58762695.57,5581669.016,1682008.346,2388477.157,6051938.688,4727951.107,7011248.489,3678607.517,2402622.396,63961541.16,4122655.426,2246611.076,2646751.848,1640684.942,9863204.347,3585696.331,14297934.08,4431266.364,28115262.06,7589213.826,4447113.355,22473134.35,3720033.108,4440686.573,2202011.016
1989,5396312.788,49279267.49,9663508.903,2372289.338,7768285.746,3092778.655,4050723.605,5627109.86,2904366.019,2017350.156,56303866.59,4746791.681,1580893.168,3564219.844,1954547.006,12671698.27,7192263.917,14093196.75,5289006.911,24903496.76,8119321.645,4865182.487,22075790.32,4477887.79,4484132.549,2456799.639
1990,3982177.499,38272714.17,9334688.894,1698814.71,1408141.77,3497877.413,3801693.785,2038539.003,3243287.949,1807324.689,57214822.78,3614110.453,6873794.658,7566969.914,4087827.565,22019993.55,5456377.272,13224589.95,5800046.219,29633319.48,10727272.02,7465308.355,27586651.28,4556796.46,4831774.071,2692841.233
