time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,1070864.3534910742,10131179.983003624,980877.6772297381,430745.3317388268,986252.3575076325,1610915.0759780242,760442.2141849612,1182804.0054687415,711553.309428761,579379.7077212363,11540857.249841096,2902645.339455407,488168.18892439845,1602323.6427321634,887895.3997264572,4060231.719158419,1140013.4991631482,3342300.6093979934,351936.63463944563,4578299.64361033,1177376.77038155,750198.035788102,1568966.234047114,1134822.3945055727,1049164.3673833956,459043.94049766037
1972,25401.683763140387,326119.1446929993,40539.898478788964,12529.000702133379,70574.89879588662,31371.858306099406,19445.2540735313,29767.71515704348,18340.2164727892,6826.630681253263,236198.8648228525,29736.980144038884,18006.5049691886,9651.500308955116,6806.125656318418,32170.992778811913,69271.211618397,67958.98368806165,8000.077432666054,103361.78170364417,27146.722236822563,19766.751799108508,92502.5637630358,10206.884025748726,16809.37910250445,13211.79905498703
1973,70893.91719052743,569538.8631258538,73759.91192971663,21810.21200938234,122189.6117877365,71794.26091021804,25612.363100793624,37065.01452179654,18931.04090764343,29254.123258024196,604365.4790616094,151179.56539136413,14823.723013987837,167603.99375621678,96261.48166737016,274933.37716964417,58977.516904746,79589.29071557145,15797.684703915093,159536.37478219825,48292.23519217132,31012.77042868209,117244.27866291149,65933.22945667378,18744.66416755034,27532.902034876563
1974,90183.45969033704,443890.4544296186,78593.6847172494,25347.810166824667,126401.78512007791,87241.33961586136,29110.676800153626,41481.30567260281,29854.039175825186,45008.20446798519,629440.9283510913,221199.1136239038,26835.199031015807,216065.88556205665,97104.28793155825,285059.7912856293,47199.703273723106,105853.63164592159,17489.458465108673,161156.43288126885,53736.74581140006,28347.68567148885,68837.25710691334,88191.32860161422,44341.6109161438,29629.876989990546
1975,125748.81021699715,871191.2736232615,86517.50173767695,30576.720774194757,81753.54515730197,116479.213222696,37713.382350555876,49045.386543749046,29634.980313429656,57313.92092105173,692144.8975736182,239766.6305634582,30476.225055156476,214970.9647706462,84850.22667996475,293739.9497163266,79325.62551841537,120246.22099986955,17305.293097950973,163085.83771314792,58300.496165076074,35677.18908856017,161046.3297785577,73808.23832036191,52831.737282941176,35047.14934481399
1976,116792.0966530754,850252.690190355,119929.87453618721,37171.444498517616,142957.03100220795,118504.98223496882,47159.76347211708,50202.894725040176,34453.95854350356,63917.108246982,788588.424700799,278410.348416879,36431.191293597985,237865.53888155872,84458.1756883592,350991.2005128033,135117.39257737863,121391.89135061532,16063.602817036608,186886.61935355302,66548.67413492667,37471.52980769755,126894.4526480201,92013.11894240635,47072.84299829901,42628.38202716839
1977,138310.0504187958,965658.9550639369,133150.03728104985,38071.55147571537,135841.72011821144,171274.19998368813,64280.40819708993,55463.21690620255,34283.397155908424,79455.48435084765,818019.7907416378,321545.5435455482,44607.843756401046,243030.89858994124,90062.03718020866,348212.27212686115,271642.4729680209,132767.0704828717,19165.72696993583,220159.08142354438,84266.42592857504,38841.419646694114,129250.56236021074,99690.89753361238,52685.44714645643,45390.890305834946
1978,83244.82229188705,689016.5297370934,127962.12291957739,33659.86178765812,115746.29131447597,117452.42435370244,63314.375961325786,58752.83404928048,29578.505750537268,59654.53116977272,461024.97888703,243512.840510695,41477.25863670376,180110.5365232517,25855.496060742997,152269.50588455467,180200.55438555966,149328.11782871746,20436.091800055612,240346.2864071263,62803.639864218305,46463.91641756982,122010.53750922487,63729.012822108576,59172.37792015744,47417.04961588611
1979,53490.777616890344,505543.31019766344,136930.1625664156,25651.436573375628,160444.93961261757,141489.00468343368,60206.202833183874,55850.83191714542,25178.606098232867,46427.83079939889,505311.00543104426,201944.71069565965,32636.26633639482,46032.14644591959,40773.7236819227,225661.11788736327,161049.1103888749,136632.0543016874,19400.22540972478,278018.50249341887,77284.65702813264,34385.89903420023,153956.51212624717,70366.73105253448,62409.68915423176,59551.40370343759
1980,48443.52156574261,406844.046527116,123554.76368913801,18207.782953755006,372931.9789627107,132099.4898417287,70324.46154884358,50059.44861442767,29476.608460520983,45518.38295477564,492536.76616521156,166535.02106950182,38430.052665596784,28650.576617166098,49404.94593837242,273393.32896142284,143231.2951186407,131557.7304108916,13692.041924209281,299797.2888499305,78100.4005800072,34996.84925656963,89207.41161895818,81033.0360782685,59129.367518029794,64837.40842083745
1981,55517.01982738704,388142.29718112276,118112.56438011352,28310.89303072484,124744.71265879959,135053.08787892087,84517.443124284,58848.38030767004,35098.89916107736,78664.07268113922,426269.3970521491,166965.81335387783,33354.91227761747,46202.46234213525,66687.18341606547,239336.47191322668,151904.08520675488,165508.58678206115,21594.31663651631,308748.1649816413,84723.27786224704,38750.88370196597,98642.61281614531,78485.755053644,61434.33059976873,64372.128060807096
1982,60248.55375914435,298229.7060330276,55383.5393989267,29830.41992036754,111826.35117950638,130318.57643558386,85540.94430300244,62668.263544125664,37056.73767691871,51272.38942702209,408771.1049245729,140538.70198241842,27774.074966823242,54004.68077174322,75269.62923582215,261876.34457069353,271653.8238978827,167531.08536588255,22687.877004079117,305704.9483453202,99326.66522980295,50934.08708153956,125624.35016564261,89788.36841091646,70093.03472972292,58146.774872335685
1983,59687.200723505055,626565.0443266081,23505.156438925824,30041.6789598964,116953.31021168678,141521.4594518427,88702.09883453757,75792.8525931518,36072.039627418824,50570.70392996171,464019.3876197385,121391.91379880029,35953.67920374867,61975.472714099655,54140.55827781296,268828.0214146191,204303.95177238484,177460.65133876808,24982.028718259728,290748.1123090514,110767.72758488383,56418.30203558842,113934.62906757223,94156.4363540763,79072.66025111523,49139.48845687881
1984,86157.01538554618,634436.6939742315,27029.200132596223,31821.777278622107,141916.8473557436,157616.9789544542,102506.97159089628,79006.02344911825,31097.763114069392,56548.19122092845,465983.5099423614,142052.85249295583,40986.23826382849,61413.50535179918,40586.491123572625,255509.08953092844,173059.85289035836,168886.89614135335,24547.848147607718,284370.7869117774,110815.42189777657,52275.1640482957,96854.66110085818,97574.7119990115,88074.08504350082,40681.93304045343
1985,110017.99677390233,599541.5139613089,46675.23974876401,30971.25923643629,173883.48104571307,163675.28653551318,90524.17255038221,108462.1742729172,27425.386983437587,67415.18262588183,453406.64693950623,133348.73832837364,39490.5524020536,58496.58385176299,40453.72043494606,238457.87017383112,144776.7772355683,164763.73073311892,25708.25367284562,341681.31240450515,105769.63753801027,44282.53548153581,121656.93170101295,100961.33179515367,91582.13262701592,28605.329842155388
