time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,1206435.79665833,10109024.025747076,627365.5697847693,294180.8665724864,784163.4141949469,1096471.3522694812,714976.3995407315,665821.6771337544,397026.4016902434,258727.93893952802,10163229.274326831,2263652.314197596,338268.17941970314,1042096.0157507426,655213.0277138609,3078338.731658173,825782.6818356102,1880995.0416038556,227324.45964712914,4467171.383766837,726771.6532078348,445653.7632401464,2093806.1809959447,942681.151943858,594542.437081991,391951.9571915519
1972,42800.81554317627,345549.5254601313,28498.74273425019,7879.838323201755,65911.79405192717,29678.38649788951,25013.769840866957,17932.19729764926,10620.418447573267,9471.671040289597,327648.4310829006,38978.22005029823,19249.899783712855,14898.487434057843,8197.972202285262,45731.01483517751,53028.02611726277,44023.97986179695,5092.97765789967,113163.24765159299,18713.50351387587,14258.389235022596,134518.80608691703,21988.156699825275,11272.94318386761,9188.355869753168
1973,97293.18873801158,563308.5036460944,53724.49923960606,16727.342571959885,108391.29867144513,54561.3697697747,22793.764549214386,22715.784160050574,11303.215422578429,14470.37786814172,568597.9030779023,126583.3167366111,21395.49810361771,108808.42749507645,77910.2427719014,236197.43429993096,54131.418024339706,48011.99064429723,12241.43169000439,155552.99208059692,34492.14760621486,20453.72349309328,176394.28694928362,55995.474778978365,11336.178346764285,24210.044312921746
1974,114286.52531128882,389024.9289491282,55931.82520561763,15730.90893656329,96440.05888106256,64768.319230383066,27178.06096541795,24727.790526964218,16504.16534364029,15451.471156367063,468803.99066721566,159798.10648037525,22367.82820966159,144333.72749016434,81329.11640587471,260707.82869550557,50191.84566350626,68970.33040911074,12225.030361267858,157433.54538343663,32680.34264262837,22866.1107707321,69143.78561385519,62501.89969989999,25492.285230472677,28744.237567997174
1975,80988.44815559004,573653.0286698148,54386.55568288177,21548.403662075816,71960.06422987342,83323.95371316944,33353.45284885595,30517.66785654753,16240.680598806293,18255.5833729804,537833.3007156762,198806.17530729744,40980.26170533785,139383.80004185555,70054.92525219421,255290.30762198186,72692.31130022422,72027.67919740747,11477.847021656391,155376.83829206924,38144.626809897854,26229.37338440985,169695.82436088647,57571.56370438988,32776.92378924399,40389.12424702741
1976,91346.32642060138,753023.836676767,80727.37092272505,26032.853172223906,107941.34820362304,90897.84997400857,43653.531108806754,33052.59265072107,18828.58031631068,22093.734367422483,710311.0662597541,215439.1293015914,34574.175975287486,152739.68022519126,69659.38012161366,290586.45181009127,117567.64627215089,73127.1222217137,10805.79635052153,173253.30621658635,44644.17980890784,26484.82097312254,169971.59457714885,67003.00736085406,29121.840850339333,40707.659333520154
1977,85824.20414816478,819191.7316335307,89342.66069447575,28182.875509155838,85686.84706409507,127710.06357255591,56334.49423773313,38847.27054841413,19719.604779980826,23342.114998259556,702874.0674717304,245389.06032322624,52381.50258714528,151891.61738607535,71250.85237781666,283362.5115437068,211796.92192173438,83509.9655215094,18406.076833122683,204433.43162929083,57316.90273878293,31201.563961188454,155200.7944504577,75530.87766042445,32690.569141428976,49193.64609310315
1978,74852.6596614231,807394.4214492757,92326.80036568147,25513.101361342488,103156.5645400808,102960.27807119366,55831.22168644992,40358.438137588506,17685.925432887387,25363.876276952866,515104.76002355246,195917.11170391657,36424.89068216048,119580.62550607945,22237.86312832742,145679.01507896776,163352.1360624433,96761.93141005069,22217.32323175509,233419.5252718529,46483.04368166972,37097.28908813636,181665.19131739382,55273.39456051402,38640.19000133277,39521.87241264345
1979,105655.28623984172,625290.7580450276,117441.2743537177,19491.324525015694,128865.01356933158,123945.08539289673,53783.96229552661,34391.69502453693,15000.44761112298,31341.54753076207,537585.2748967472,165541.29060480918,21139.762555929366,49496.243761412596,35432.56244261086,226005.19619270074,161671.88619863836,96949.67156075088,26342.060474238224,271466.63850668445,60247.43529875212,32386.814086835016,190292.16920844212,60231.88060428659,41671.91977240352,29254.874163868502
1980,75893.47828505744,402522.5635480995,112636.21820314844,15917.770417708067,218634.64550597424,116512.72519351605,64028.246769349265,35440.65493538729,18136.946162455242,35553.03009201558,463022.28715880134,124076.03925077681,24296.568341507747,44590.341938076,43336.58714491424,270694.2366672626,132240.85200721468,88635.09427792545,9526.41478982232,280228.706002726,58109.79199069454,37619.55507794162,113555.47970457318,61274.967808656875,38160.171052171165,29775.08436637506
