time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,56840768.80796383,499142558.40836805,58448328.140105866,29673506.63613767,65638609.302017614,100322441.13360502,55452487.325183555,50693017.27227329,26470280.68927396,18656753.163539063,701264316.2876168,107461140.27259028,31784877.832295842,49283438.21349743,24763290.180987746,144440975.02084395,88883385.25316752,171229388.61349097,23873771.16324383,364749369.7187406,57794008.4980899,43170632.42798988,167551093.1026615,35430971.89565836,58742156.36227611,20302866.73135564
1972,3196770.7154635703,27519306.458267886,3183220.122155885,996489.0898819295,6851613.630907207,3049444.8073095507,2291973.890786882,1552500.0471638897,768185.4025042666,749944.3992653693,27923466.072914463,3423074.720176991,1836208.3043194036,1536781.213234518,844577.0049177562,4781087.978309556,7046906.070360493,3959354.845962575,661919.6135746073,9681596.26410133,1605891.977013642,1437411.065199703,13257164.551201416,1155929.1990251027,1234743.8751659722,625893.8488275966
1973,3795382.819482431,30616479.00042678,3594741.3615625715,1177273.663186019,8783065.111356337,3162255.6362634585,1469387.2551095563,1709764.4999468655,721318.4040689397,751047.2878198429,32282879.621910952,3873456.185076525,1586818.1562365042,2007290.0366552044,1270001.3643529238,5799754.868831598,3444638.2902873247,3596151.559229075,1197822.6839689792,10747341.527287645,1904941.7382578275,1721653.4233359857,13899487.43831868,2060724.1574910064,850840.5745776031,741090.659756198
1974,3682144.6981385965,11111528.580104101,3011678.987351536,797569.5932369365,9043678.892354328,2814480.6589110172,1388673.5636766667,1733904.5081224635,1021625.9395963012,769487.0363462687,18522262.44325842,4747407.609249826,1395998.7860633922,2541035.7774244403,1479549.4460744218,6987602.664453989,1652675.9666497326,5036574.54809363,1356242.025599714,10393219.195848003,1597632.3591739964,1757425.988349228,6691693.433197354,1943130.3619160277,2305284.8567950106,360262.2139278588
1975,2470344.374881125,11700093.532872735,2841253.59355475,977743.7788222408,3696167.545518051,3633444.527074421,2200197.753767896,2100289.465590876,1029749.1507039458,849811.8982251256,12864440.939359289,5177819.913363305,2364049.5633548596,2502879.9645416136,1350426.5149161844,7136922.948755345,3586173.7511502407,5554467.3660899475,1019793.3357138027,9918682.25606056,1904723.72918371,1987042.115092828,13654868.670222718,1370002.1390207957,1880414.720882011,955707.7728341493
1976,3384545.802652836,34206747.03018145,3139140.084050674,1398281.1003948746,7786644.90624772,3415736.2096841796,2738067.236534403,2241328.8347879616,1155289.7805568362,869699.0647474186,28194739.31733145,5569062.65544062,2049579.3687430285,2282351.7870610203,1196397.1604537156,6339777.06371233,8456728.99976297,5266146.948905343,1030856.6350931416,10596419.474824475,2314013.3680912014,1990594.8837694917,11401088.805907553,1516304.776539681,1811031.3604731213,912881.8827121877
1977,2408881.48426343,33338253.181526013,2896908.2041694345,1641673.7970125119,4766024.78524138,6193231.08072498,3253154.768743386,2630983.0794794983,1157410.16367076,731033.1882801817,25038386.031437486,6049269.5676687155,2607070.5483909873,2081169.966328466,1163952.9272019619,5714931.020688725,17249298.083635874,5858684.5691897,1640928.6299165068,11993958.312601672,2854286.5799300564,2111194.4792427137,12883076.902783511,1492512.5827721283,1792108.4580089038,863318.5238749313
1978,3081843.4419403085,41090871.4777366,4692829.843744466,1579355.0101137445,5644663.132786316,4889863.676485031,3349047.4436422223,2658696.748007255,1137732.8436147033,967610.5535677485,25269502.250740673,6381243.022016915,2007218.0065645208,1950517.5303419682,932722.2612274738,5156849.211228387,9393859.317202304,6884455.625709133,1661590.4700730753,13001685.39183414,2883116.024475762,2765777.6645733053,14285251.513938611,1712567.259358882,2723533.95473859,667536.8012897507
1979,4061733.792685037,30289978.995580494,6011676.90644515,1071633.6547207222,8398219.53450177,6827249.8646894945,2688764.06436594,2174934.130485176,977356.0105057867,1053857.2486501413,32096924.910743035,4983795.237973313,1051682.3630414007,2036818.5352609123,1191203.63275466,7039024.64853006,6165337.372136461,6432488.831173177,2876985.1998823127,14974680.288132139,3333589.1212115344,2328720.1248909836,16631184.867895057,1601534.5583351601,2821868.7954772003,413421.7242517993
1980,3588453.2412824617,18067894.56762745,5106708.148591536,927126.1551880705,21097643.701545306,5966469.70648066,2986126.5335929873,2185936.649697859,1157872.491713668,1300397.4453723768,21885118.631757893,3239940.417412542,1473728.5648939898,2518810.499321438,1457218.82057008,8931185.908908995,4240676.817768467,5997405.823216466,1030083.4028845413,16102576.569932286,3418739.524293592,2420603.973303825,12267551.088754358,1823730.740361515,2756481.9994102987,763178.464022563
1981,4238993.51821656,27876798.928877685,7067944.679013964,1546741.3913058012,3361953.39456604,5593942.999950925,3677882.746969771,2628658.4525512275,1284711.9043077687,1237787.3003091102,21351472.293534208,2480148.84965005,1371212.383554702,2191080.9518566052,1424702.485287842,7636673.889741059,4550305.434690946,7175552.995250536,2673581.823317828,17039397.03460504,3313707.8137058155,2716835.102742089,12014623.18933625,2226872.7857393445,2576439.7633671965,2193335.5271386732
