time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,216838.81372244877,1686355.2970471226,66402.10393740796,34508.55588115135,111590.8431502529,123631.38527113985,35646.89268077981,58524.10189366558,36731.35384518354,59869.71983820442,1455567.4714624628,206940.51984546846,44117.9646131526,74146.0041869266,39722.033643811075,223708.40805130353,75022.6630002942,195434.51315499618,24301.625487439254,237602.9911700575,75548.44344327104,45405.026570018876,402040.65298226377,116040.65911560811,49077.23532537489,25470.847529739007
1972,286597.7611670023,2154671.3916581264,99764.28626111915,28751.059421303456,277022.7087753412,149990.70618121594,64187.04823991845,57788.908548180705,29449.332640274984,58412.18038489075,1938551.7994956968,193524.5116115491,86192.8648206441,87882.258190981,58084.30456531946,315056.4135576961,144064.11487963004,131489.07108597524,17894.6445812348,340562.3503087611,68850.39231164852,51378.45573609271,694405.1001470647,151959.6331988185,37849.5803953556,44924.83110515209
1973,513609.8451220367,3307445.516551153,202375.76088484642,82909.67513190141,474847.44889113575,294719.6259182835,68115.94046213702,103874.20928693798,65287.54037647611,154503.05357283386,2788326.705916766,439010.1089726278,113309.78884580257,197295.90542095044,156065.4767925328,790210.7119738788,217463.87671819024,163335.9584496395,58638.35188705765,451297.0458446963,177315.38763923102,84823.09798014487,1147971.4935883891,207293.99990923423,48248.684035833736,40093.06194220906
1974,567369.3164692015,2518656.7921382226,190921.74786707087,58257.79606495762,379590.88052790123,323637.1759112284,87501.43281560311,103578.97858238035,65805.41454057542,103356.8639029861,1321690.5401951298,378688.47098255064,89371.4747274522,269234.301654023,185746.45777795513,952816.1079282956,218242.99939931577,240264.92443806803,42404.99126826671,476129.65471650165,138323.2388779018,109300.32807525048,563117.4323204166,191878.98388947017,72834.43299278693,37541.613481663684
1975,222307.27123774472,1634691.7484528325,107675.30920867676,59830.984412869904,238148.95653099674,206390.31306749172,60567.65946598881,90255.9342797329,30374.676561509652,102546.51325098379,1958963.6172919513,391443.63964495395,163200.72826845286,237267.34601061547,120130.18908885006,633721.906851204,223767.86947390335,164373.77513600735,34322.48571886845,499513.77479009796,104472.3970769343,80246.87289027014,689574.1225319107,156088.57258902877,64448.56172086439,23918.341923256503
1976,261408.4674480359,2573356.733555501,156897.02607560213,59939.049029962836,285687.67067877355,233089.57001536156,89310.23176140463,100698.44256258373,34616.479300012164,60768.41371004881,1915281.5287341152,316124.23790304665,108568.63400250953,189875.61346105445,91016.83261197025,476538.8417887185,311701.1626148223,157006.9932188869,20960.821412730835,295782.7938715141,97126.26191097703,70326.23087245598,719588.0691315037,143367.1409436583,56718.08371711611,21441.91542947478
1977,147582.49864560523,2601562.0100120795,164340.06181797854,71781.92785874457,148024.3553860328,316752.38564575755,106586.37934200313,138238.29255190375,42340.285977205305,51566.020143567664,1787008.0208677673,341818.8708035214,186451.4381101588,162655.5967329947,71620.11417396489,337351.710066369,477178.7813613333,192788.08030612944,63447.630757057435,528600.0335688912,131974.15457550558,95856.09388106693,630181.0106032448,171712.67445970423,61507.886948556625,17078.92510764056
1978,244135.4039198483,2838788.285137667,200790.46494212837,64683.70909952243,289216.6019357263,290427.00190646347,103847.41855883473,133370.2119868352,46657.640787262346,67470.76286326193,1691796.9869548944,295279.3760359665,101388.25225081207,148484.2963936466,54349.72896005958,307842.25406849815,460599.60125789756,222719.24764591386,91071.16445656087,383160.27791632386,119572.7140837327,112292.16610780584,728279.6459494209,138290.87374436375,91333.8023779213,34043.710603147294
1979,408992.1326624215,1909208.318849907,314894.5651204893,38721.08300654572,294355.0671950954,326535.71720025415,98442.60581385171,61787.58598565315,34143.70883734671,24579.60389112051,1458613.087933413,217049.4375212073,22992.885303170184,132824.01166206403,82558.31925172212,484539.4055880089,449383.55364764377,253650.3214950919,112528.96486602299,435475.0144473386,147489.21823964868,103130.04816113153,616327.5934569582,132793.07376074334,97484.64204829093,22199.011449328842
1980,262288.5909216882,982545.80638195,313999.2375775728,40198.259118517584,345806.5992495674,296613.4901577231,125072.29327844594,113817.54152821116,50506.38992481958,30879.15294101584,979174.567426237,84389.05910545739,28641.52594171676,166995.53606660163,113682.11604470001,667934.4588716057,335967.11980754556,211373.47023888075,14641.970830795139,315067.29984556336,139616.6570340827,137483.4455685784,353812.2994573854,109678.7313042635,83607.55512980265,38460.402077054096
1981,142058.29320956836,1908055.4817278343,311447.5284861064,47964.3575923804,137071.6388952002,277012.3012090295,139963.07702791752,93870.78349981309,40697.75839699172,104565.69769382372,1269966.824849731,130018.98342310815,26421.847397401416,107659.79631337617,79080.82683715828,392056.93695527426,444913.62639748835,245356.9438265693,195795.35681894602,326820.0821698723,122146.97470484201,129013.5097541275,425718.00034305005,150170.04592811957,80417.78425616011,36019.956960811556
1982,26294.989780690717,1488696.6443089591,107174.34586488258,39448.59140369453,209352.95861557723,218511.08661893994,120855.61771666231,101391.04728625821,47320.752683717445,68089.1874857912,1552729.477093425,150009.39105891105,42067.587000969026,80599.08009614471,61788.2054851861,288388.8309285715,604648.9664212543,145953.18506708738,70551.8489918485,403085.6589817503,128622.12363322644,123159.43451904644,230878.99164846158,186939.34805116575,109047.26504342169,26105.07316144659
1983,29093.72649136074,2680446.8761543822,13677.900126726337,58647.59884933179,143495.1774290663,206154.75488667938,131596.3502008731,100097.73605864443,40403.0346266482,57587.5600027774,1642617.4409819946,185574.6121751848,93013.74257331029,79837.29724881434,51872.45141296346,283781.8052064835,785848.4756046382,150027.82170798987,150409.00617427877,474155.8853764776,204622.1822469775,66583.72116332946,626688.9316269616,130513.30597083327,84323.14912578602,28116.067862115313
1984,214012.87256200815,2385015.09920813,90185.77617079203,71898.17007352452,239037.1430450554,197065.56853609817,161206.24650368674,72455.78651089389,41717.80288592223,93156.44275176333,1852583.1301495684,207929.07841724396,64083.560381084135,93407.66487653634,49774.30181989867,302858.1252256961,471575.0660161336,183677.2214838004,92022.82055455979,459428.66232114757,196004.79059753212,98393.79500920046,526578.3924179226,215631.91540828522,114674.99010479038,26191.95444820922
1985,275912.2074087912,2618937.788139547,129077.31692712422,49376.29629518594,355165.11350095284,243124.59101610995,243102.840103279,117471.12979739698,55700.21177523932,54583.587793391314,1927594.3291421677,226767.9454749908,115476.87454074922,120775.99251426414,72615.75741757937,404469.808408971,375176.2307643845,261845.9899145858,103619.33191895326,491647.85865693394,195832.19092097325,106562.73008716272,601542.0450712492,218641.80491057044,116029.529633593,37119.92097241148
1986,353831.3182777706,3943076.903742136,970253.168288487,80420.51038744119,729872.2536791499,434989.96046506776,137531.57524275864,96800.21049696702,69944.43713217885,107363.51462535847,2867932.6911947387,466569.9656743394,144598.81522997486,232331.70576740094,164977.54819364692,960386.3853450202,349753.5686828501,335086.50250694726,121950.9448446629,688759.9526080013,256529.03625837903,185334.955630982,971650.7363350516,223837.06222944622,125796.85325244091,51924.08651827221
1987,387737.87242159905,3870822.493544298,267635.2135877728,119493.23258750979,378872.00352398615,473939.58250322577,209755.22001061944,131611.2019252386,77894.25794071077,189077.78270629593,3239537.986323308,432835.0237854363,210227.75734221534,200736.90068436044,155626.10354320932,921736.325050659,604664.8041920414,406604.3444342644,192281.1064958035,805370.3350069742,318193.23392511153,165638.0682290682,905598.8774009976,218703.12298506807,165892.0500935176,51512.97163661881
1988,392661.57104024675,3794464.168791664,236202.62594799948,63128.5499980703,337272.7309869404,395402.2975950381,197380.3879468168,195814.39097207805,112286.43899990237,166080.21909543866,3276386.6655538,444794.30173489836,100458.94203104511,227100.77308516522,186188.772734613,1018183.2186100415,407783.2851946885,403838.99981100013,217583.65480005555,864903.1761415511,327260.73933523946,167888.89430330362,814371.1190307337,236733.83587533634,140663.1222979979,60888.30903772451
1989,305749.83624160424,2746887.6344887484,420572.01927966496,81345.89865619704,459368.3911798935,145750.95268517395,190933.84606904662,138172.50636171328,43685.39306545796,112949.01455100253,2619832.566352153,389369.38807004195,82239.13925715069,244492.29919149313,175219.91441306897,945344.444720696,516956.3710967843,481159.34168405464,213924.00093516798,660757.2417280633,331585.04499760136,125454.07786563838,971569.9384185494,302523.5028657306,123377.29571008057,38562.53739099239
1990,222189.98038746047,1999596.6864636804,273993.02911040524,66229.29842113637,256895.6663339143,430271.0870529507,245790.91661402743,20831.120854270073,90472.87503723607,96788.24296944184,2884039.806042084,247961.69875874073,214162.36240503174,713392.7319648679,511300.97242105677,2217210.1566705443,320031.83630029205,301321.4015052485,265266.65702545503,842373.518357255,380053.0186485942,299216.5268763754,1834337.343999394,309440.40312536014,139287.09577644858,55492.7429717058
1991,163374.25732646778,2021954.8869650732,400167.75771064265,29668.960218958277,365795.2795280957,481207.8776045239,189655.43439616775,240869.74080443312,40568.82690485985,84249.86289477952,2529201.2041789223,35743.915451679575,72775.2605161641,465271.82560306095,146497.02674558831,628201.9908544674,544178.5522780847,386091.5395424426,236073.45750780602,936889.1919354508,257284.25254214436,248878.8972397402,1225377.5667526734,179195.10580694556,131906.95544962844,42272.21813318088
1992,232726.29897617007,2799225.913094553,212505.17277570438,102361.74614846965,283736.63770692627,497735.57127961837,162218.43096079628,235850.86984438225,45545.50019857732,83133.15324915625,2860098.371624717,21223.48941059912,121876.26298514438,83731.73835579155,84863.4783934635,439437.4285046124,752919.9314145809,387943.37731396186,280629.6054909689,1080402.4481294649,360534.59579277073,221056.76847674034,1013386.2568957667,222063.82032145123,208833.1149584971,68963.77619052076
1993,361616.25655898935,3533121.1252573626,291808.08105913235,65953.7414773486,417475.9022665327,525706.6128532005,233079.46481980808,72423.06884556924,43770.50553538006,49594.108331166804,2377399.619415077,138170.1941934764,310371.99464769295,13504.103292761974,10487.021439047816,18850.55619488627,754184.7058685775,410810.34025349113,310431.59456842445,1226488.55960344,535921.2540941751,251423.86037292113,1180428.0659717778,228583.2022335292,213501.17871334645,32427.118973973495
1994,373515.03106826276,3308192.091268313,308268.1510113277,102065.34140083363,537303.1284204881,373296.8553559009,202799.4935971545,71594.1450717918,66629.70745256984,63585.338829485656,2175779.4207762387,245773.4935209691,54728.583645909566,9108.649504282965,9784.571894063436,15035.635152712755,633079.2241740354,455733.35530274006,319044.4704989906,585365.7287407578,468886.6389786089,374236.3829315699,1387431.413710328,267669.4049344461,176484.66769028193,32113.072497743564
1995,308001.0506672945,2966323.3310194397,61712.079814204655,121533.86188757615,765709.6728079355,495925.3171918183,200081.79370243332,133311.43466863767,77946.17852417883,142256.30489439663,2524882.504275187,241416.0949811731,214921.6398336491,10346.136092330875,7553.705347805625,26216.45203266194,202313.58415772143,611729.1870835396,431951.1310572286,919008.358576888,607020.1425371779,350772.0779623107,1138694.0930489856,277815.32489317574,196354.99324823325,56927.11569671442
1996,262125.6820347261,2445158.4069878045,54123.73664060436,86618.64640285881,628505.3593422897,547012.8334995541,226418.86840085295,212277.0966024008,80001.58768300875,41969.17444789426,3079437.8052898035,838745.8013778103,208111.7099961394,56332.05692407866,37687.24737729411,319461.13566465955,571177.5692386504,715362.2102406867,364063.78300872544,1657394.4536770652,547470.100102503,398416.8126525829,1177253.8970428673,279684.8849767593,273708.4552186344,41335.40522416146
