t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1970,0.115,-7.997,-0.287,-0.286,-0.698,-3.768,-1.991,-0.65,0,-2.60E-02,4.673,1.031,-0.469,0,0,5.652,-4.397,-0.156,-0.846,-6.244,-3.049,-0.587,23.44,-0.216,-0.696,-1.561
1971,-0.713,-18.399,-0.23,-0.272,-1.389,-4.18,-1.902,-0.54,0,-0.651,14.255,0.695,-0.741,0,0,5.273,-4.227,-1.609,-1.015,-4.752,-2.571,-0.602,30.858,-1.293,-0.662,-1.39
1972,-0.979,-17.536,-0.253,-0.366,-1.144,-4.174,-2.215,-0.571,0,0.456,12.315,1.455,-0.574,0,0,4.346,-4.731,-2.371,-0.945,-4.182,-3.203,-1,28.012,-1.813,-0.461,-1.775
1973,-0.765,-12.793,-0.414,-0.498,-2.363,-4.713,-2.339,-0.71,0,8.60E-02,16.72,0.581,-0.878,0,0,2.09,-6.374,-1.332,-1.849,-4.715,-3.791,-1.392,32.141,-0.263,-0.554,-2.434
1974,-1.835,-11.925,-0.974,-0.675,-5.284,-6.19,-3.416,-0.884,0,-0.655,26.098,-1.273,-1.888,0,0,-1.354,-8.374,-1.483,-2.517,-6.475,-4.258,-1.2,41.378,-0.836,-0.536,-2.634
1975,-0.153,-11.005,-0.939,-0.776,-2.854,-5.566,-3.728,-1.38,0,-0.675,21.479,-2.166,-1.375,0,0,0.294,-10.844,-0.509,-1.604,-7.461,-3.621,-1.346,37.577,0.726,-0.63,-2.072
1976,0.72,-13.833,-0.664,-0.699,-1.462,-4.89,-3.368,-1.327,0,1.04,11.9,0.252,-1.729,0,0,-0.366,-11.761,1.162,-1.93,-9.111,-3.931,-1.243,47.223,0.486,-0.599,-2.155
1977,0.803,-20.223,-0.886,-0.636,-0.723,-6.28,-3.633,-1.799,0,2.424,18.303,1.487,-2.818,0,0,0.325,-9.44,-0.176,-0.815,-12.557,-4.103,-1.494,44.162,1.459,-0.752,-3.051
1978,1.375,-22.132,-1.349,-0.636,0.273,-5.519,-3.756,-1.38,0,2.791,31.316,1.391,-1.329,0,0,-2.015,-11.654,3.90E-02,-1.639,-15.059,-4.473,-1.654,40.598,1.746,-0.7,-2.786
1979,0.553,-17.63,-1.835,-0.602,1.133,-4.845,-4.071,-1.025,0,2.576,30.173,1.941,-1.069,0,0,-3.113,-10.762,-1.924,2.563,-13.647,-4.933,-1.487,39.419,0.703,-0.88,-2.417
