t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,8.26163446,69.993527,7.6481759,5.0017261,9.5749838,15.2649054,7.1902978,1.486748,1.1083971,5.861,190.736805,41.656038900000006,8.5250432,1.94,0.0,100.331,9.4579276,15.077007799999999,12.5885224,31.5320361,7.5754745,-0.33075640000000006,61.426753999999995,5.496398220000001,3.22790119765,2.28880223
1972,9.0415639,73.41694600000001,8.9703316,6.8759198,11.1827715,15.9068249,5.647629,2.075531,1.0942715,6.112,218.272742,45.83696982,8.832662,1.952,0.0,104.299,11.0390473,15.9899328,12.855395,35.2529003,8.4962103,-0.49637699999999996,67.615629,5.8692435000000005,3.08581652,2.6173121
1973,9.943839,74.749213,10.00713755,7.2980696,13.29858366,16.4910295,4.567716,1.7544870000000001,1.0884145,6.864,212.632416,48.45705573,9.8368517,1.987,0.0,109.521,10.6027398,15.2328624,15.368005,36.856611,11.11833804,-0.5585690000000001,79.474354,6.1862894,3.4637971273,3.1038758
1974,10.4048013,72.171502,10.74731274,7.3575874,15.0860361,17.257300100000002,3.018142,1.787163,1.0141867,7.293462513000001,211.406478,52.17241431,9.205452399999999,2.04,0.0,115.145,10.383824,14.4833566,16.563521,36.706093,10.987461000000001,-0.7503410000000001,75.020854,6.59515723,3.91121694,3.086481
1975,9.80167853,61.5305972,11.29088685,7.07250913,16.2367058,16.8019702,3.043069,1.1773360000000004,0.8935896,7.169742673,202.465346,56.1785875,11.6031104,2.169,0.0,122.057,11.992318999999998,16.5285856,19.347178,46.016299399999994,11.2287712,-0.387332,69.040165,6.22086797,4.01813924,2.6667551502999998
1976,10.1630542,66.9928159,12.9534862,7.3349408,18.4405168,17.489338890000003,2.4532279999999993,1.1602050000000004,1.5518408499999998,7.041435877,208.79937,60.4845944,12.6687783,24.668,0.0,124.246,10.086202,19.0343126,22.150436,46.255923,12.3777721,0.5082230000000001,73.741607,6.0051514,3.9022351900000003,1.72519055
1977,10.4528074,72.0487884,14.448037,7.0986725,20.9320485,17.137470800000003,2.505083,-1.6197440000000007,1.82109772,6.5564985,216.84968,63.8910711,13.687746500000001,25.11467,0.0,127.056,6.680674,19.543696299999997,24.836204000000002,54.992682,13.1754328,2.0122975,78.884411,5.9633911,3.5117887999999997,1.768838466
1978,11.401876900000001,71.77860700000001,14.927884800000001,7.817367599999999,23.20976322,18.120874,5.040409,2.8066,1.71935461,6.7985280900000005,224.97672,66.258407738,16.700302,24.61233,0.0,126.956,9.187208,18.717090300000002,24.288277,64.64493300000001,13.188011699999999,3.3000159,92.297095,5.8107435,4.1197545,1.8490555000000002
1979,12.184226299999999,69.584741,15.4999314,8.2168386,24.964926209999998,19.9858343,7.860740999999999,3.3866240000000003,1.8893958,6.155554159999999,226.44045,66.3077679,14.4720356,23.802,0.0,123.019,13.112599999999999,17.370360599999998,26.207042,73.159275,14.851591,4.741499200000001,97.10214400000001,5.8442188999999996,3.4607924000000003,1.8028955999999998
1980,10.902596299999999,64.420084,16.38126373,8.620949399999999,27.3534822,22.904274,10.658569,4.9427033,1.88144479,7.07786198,226.1024,72.3431405,13.644761299999999,23.71467,4.2,125.049,12.675780000000001,16.395607000000002,27.933896999999998,78.796121,13.192174999999999,5.4119177,95.509086,6.09928614,3.8383539,1.65389655
1981,10.2735445,62.512037,17.7140934,8.532211100000001,26.1834109,22.544063,10.897187000000002,1.1745210000000004,1.84896427,8.04105627,220.36604,67.2288875,18.181680999999998,23.78933,4.41925,127.169,19.541829999999997,20.1781213,29.647665,81.628602,14.377837999999999,5.7245800760000005,93.43525000000001,6.58783034,3.2684569999999997,1.81790292
1982,8.8548653,55.356848,19.39293636,7.9480743,25.635184426,22.45600228,6.913511999999999,5.9143905000000006,2.1104477,8.02528565,216.01331,75.41016019999999,19.529948,24.054,4.6385,200.392,19.913199999999996,21.621917,31.775342000000002,94.091742,15.404053999999999,5.4955882,90.431279,7.2016416,3.7454132,1.70892658
1983,9.11777,60.290957,18.946213999999998,8.3343141,20.88406605,21.2278895,7.7447099999999995,1.61688,2.1730781,7.80029438,216.86893,79.01764109999999,15.671589,25.132,13.49375,208.56,20.42581,23.934621,33.866304,107.735301,15.429945,7.5735486000000005,93.18947,5.744345399999999,3.8969971,1.5120915799999999
