t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,2591000.0,66821083.415,2132826.661,1873536.107,3081431.366,6049251.696,6472546.300000001,1575664.707,504673.296,1784000.0,229676559.07500002,96512987.07699999,3390049.695,,,297796000.0,28629421.027000003,294220000.0,3644239.625,497949000.0,4752061.831,648933.378,17410241.206,10825467.189999998,965952.427,1942584.769
1972,5074449.248,72040792.283,2450651.228,1878543.227,3553345.742,6182119.689,7215517.735,1737380.282,474475.088,2228000.0,239667360.2870464,97836323.665,3852125.325,,,304126000.0,30600793.188,301243000.0,3539963.9570000004,511988000.0,5189273.825,1206599.888,19717393.713,12472892.126,981472.049,2215701.357
1973,5798794.256,75489450.644,2766046.917,2259408.552,4126959.7069999995,6817734.623,7513595.398999999,1966800.0420000001,482962.302,2573000.0,248963692.49594238,101208645.56,4155822.137,,,308773000.0,31886068.126,307826000.0,4185183.3699999996,522808999.99999994,5144930.691,1346691.351,23249707.623,9973714.689,1051179.127,2230094.161
1974,5918530.064,67269565.128,3048625.662,2472640.957,4626203.688,6963784.857,8220277.044,2042309.618,615388.9689999999,2746000.0,223051500.3799704,100429286.815,5267007.114,,,306866000.0,34527345.518,314418000.0,4458550.2700000005,533630999.99999994,5572750.264,1271643.648,21501328.599,10261459.642,1249735.249,1914285.008
1975,5546230.04,42952116.571,3338208.948,2472284.273,5364603.295,7120077.767,8821416.388999999,2582076.591,625601.113,2672000.0,209693559.217963,99909633.7,5808089.888,,,308330000.0,37395772.81,322298000.0,4711800.727000001,544655999.9999999,5888953.202,1106390.2250000003,18612830.137,9421443.384,1172412.5520000001,1501385.705
1976,5609743.736,47168729.1,3512425.131,2471744.107,7091394.423,8671768.592,10232215.476000002,2667021.305,426234.093,10712000.0,209679510.593965,101103402.878,6978689.837,,,298963000.0,55691777.11799999,329760000.0,5133169.768,559659999.9999999,6411096.573,1211336.83,19065528.302,10757738.745000001,1182530.592,1059855.208
1977,5721332.32,52277520.293,3159522.01,2810886.583,7443189.738,9027996.251,10851056.442,3785786.4899999998,486570.686,8749000.0,211177143.4720588,100463660.764,7622325.008,,,290051000.0,64673559.76100001,337282000.0,6036425.200000001,569678000.0,6770910.447,1249766.034,20104199.908,9175456.741999999,1464452.385,898854.872
1978,5864056.272,56933780.549,3454986.55,2809805.037,8384914.096,10702730.465,11231979.116999999,3811968.831,499383.60400000005,9420000.0,214038929.103966,99001339.08,7749646.885,,,280501000.0,74418951.013,345429925.4,6841016.875,580565999.9999999,6972539.404,1485325.585,23092235.651,9923699.443,1344260.2789999999,786476.841
1979,6536120.656,56457269.331,4263176.649,2740525.664,9116005.183,10374748.896,12383622.419,3835021.372,428086.96599999996,11074000.0,214311781.993004,99776534.04100001,7496914.729,,,264637000.0,43252816.302,353159000.0,6911084.05,590913999.9999999,7620596.816,1658090.943,23286538.45,11388555.326,1598399.2419999999,984537.7419999999
1980,4274707.56,45838113.44,4685652.771,3006951.074,11396357.613,11336611.941,12515800.674,4121307.3439999996,596758.404,12486000.0,212711742.8409418,98240053.03700002,6558960.485,,,258880000.0,45294984.80499999,361018000.0,5907686.398,600716000.0,7898544.408000001,2025594.9950000003,23870554.451,11969748.043000001,1608932.534,953980.7499999999
1981,4291077.024,41221278.452,5371797.642,3096366.368,10522023.718,12069298.26,10342261.582,4309324.39,611385.404,14278000.0,197810955.47299302,93790782.0,5947666.213,,,259224999.99999997,49483420.245,368501000.0,5876426.746,609473000.0,8260596.645,2321580.9960000003,22492970.775,12261027.870000001,1665344.869,967464.9029999999
1982,3564183.052,36474093.233,5574382.749,2781825.176,9838943.676,11342821.628,12155061.085,4508530.731000001,479481.098,13063000.0,185767714.74398372,93010102.23099999,5535826.075,,,267789999.99999997,57596593.464999996,377507000.0,7851910.755,616015000.0000001,9226046.649,2663267.8519999995,20944825.561,11424908.809,1872072.93,990673.6400000001
1983,3412591.912,43571449.879,4311517.34,3024473.252,7765762.851,9584994.179,14410537.503999999,4328298.862,520494.989,13437000.0,173817912.8810354,90179527.944,5730866.106,,,274460000.0,62756372.67299999,386369113.88,9040960.641,788824000.0,10590835.024,3047667.448,20136796.718,9314239.538999999,2206390.2419999996,912488.8690000001
1984,3645406.296,51116634.709,4136854.5569999996,3102863.4990000003,7162660.903,9766393.163999999,15311772.287,2937791.148,504991.088,13547000.0,160250776.0630228,83235457.298,6322929.705,,,270372000.0,64726937.228999995,395428884.504,8723385.878999999,954270000.0000001,11185166.25,2951848.4850000003,20461673.822,10397566.293000001,2115293.946,941852.1379999999
1985,4153636.344,52462429.168,4699500.2,3073950.9499999997,7468929.917,9898492.846,14572338.807,2807672.47,452797.191,10782000.0,149881435.4899454,76841591.875,7227428.6,,,266299000.0,58664012.026,405011564.719,9082714.836000001,1124055000.0,9401830.386000002,3283511.2130000005,19263658.709,11151854.011,2261338.445,1062414.985
1986,4297044.464,54629242.12100001,4713104.0,3201080.472,9083965.211,12797914.148,13224077.923,2916346.644,623951.2520000001,10134000.0,136132470.5060119,75792958.193,8473832.461,,,275179000.0,30743280.491000004,414393314.993,10132466.816,1424103000.0,8730007.633,3372944.1070000003,20191573.057,9463569.287,2277359.2780000004,1138367.9989999998
1987,4906631.704,55226166.01,5543489.781,3655031.773,9053304.212,11952910.238,14130324.251000002,3220183.527,714249.7529999999,10702000.0,141803939.2419663,75401877.97,10464669.977,,,278299000.0,31421323.88,423397960.697,11578993.626,1517839701.803,23407209.786999997,3220004.3579999995,21157598.582,8829687.444,2737876.7899999996,1145232.9300000002
1988,7081526.529,53540259.728,5496672.652,3894073.395,8891067.943,12672481.617999999,13613712.168,3160907.3989999997,741098.83,11554000.0,150708183.60004202,76566810.304,10742933.241,,,288570000.0,32330477.544,433388301.0,13857132.66,1781609927.829,23009660.317,3531955.974,23197918.0,10229984.804999998,3232802.516,1122721.87
1989,5269000.0,55127908.374,5668082.144,4216218.845,9096512.11,12396592.425,13702527.363,3155070.377,831227.712,10887000.0,155144694.30401102,73150779.005,10087790.039,,,295405000.0,33649443.013,443839308.0,16772058.877999999,1790904194.1890001,23482772.35,3659702.683,23421827.0,10426316.645,3264697.718,742439.959
1990,4899000.0,51133510.463,6729732.548,5784003.651000001,9073132.122,16137640.429,14084920.009,3365883.1659999997,967339.719,9635000.0,156214978.989019,60516646.042,10467823.528,,,294162000.0,76064246.246,453615554.0,20215496.729,1703254289.629,27286485.283999998,4655172.639,24578560.0,9728346.867,3366074.9579999996,810949.6769999999
1991,4203000.0,44635000.0,7311477.773,5409296.318000001,10561181.099,15846419.327,15659485.248,3320352.6969999997,992546.3369999999,9048000.0,151673590.37894902,46276239.99999999,10733820.84,,,201849000.0,61261889.89,461921914.0,21572015.217,1744271024.697,30556212.474999998,5377534.2360000005,25624688.0,9658233.795,3506167.817,949037.301
1992,3014000.0,45180000.0,7830767.173,5362120.566,9241028.473,15019768.991999999,16158708.828999998,3449107.445,1067545.5760000001,9645000.0,155368755.830969,40276996.734000005,11157281.868,62490000.00000001,13964000.0,98862000.0,37417142.983,469472732.0,21858310.632999998,2255247615.509,34337556.335,5303421.999,23728054.581,9614910.205,3705735.442,978727.753
