Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
1971,6054102.226,2567480.226,64026660.15,12975462.15,4212550.018,4704018.16,2026856.645,12146697.6,9188554.946,35486222.76,6677530.869,48048216.23,170323310.8,13387258.21,6752087.346,17727869.08,4895449.76,13259880.25,3454238.732,7787443.687,4881464.85,8960292.492,10051721.03,6289690.354,9685221.174,5125520.729
1972,11493943.79,1448173.202,115694881,14011349.56,5910347.082,4034649.9,1570568.545,10231494.48,12642874.43,25894642.57,5788107.498,106346001.3,137164623.5,11257475.19,5390698.325,41659845.79,5293708.637,7532301.113,2451216.948,11339176.02,5179423.587,16471339,8499297.294,6323726.519,7082033.56,3794676.024
1973,8822779.217,2491828.554,128712985.3,12162871.91,3944347.68,7019005.291,1872315.631,17336498.38,13530862.02,26860801.46,6717243.289,90641392.84,136040336.7,12047099.68,5753246.917,34210943.41,7792359.5,10471390.59,2671008.905,10312755.23,3597171.639,16747149.06,8281750.644,4904807.601,8749173.021,3364344.551
1974,7634604.789,2296784.175,81529376.41,26956565.65,4613285.825,5476684.607,1772390.028,14109112.76,14618453.56,28781121.88,6704850.316,29551266.67,130105953.7,10614102.5,6587275.022,17372158.34,8572634.905,10750574.86,2064653.143,7754250.737,2260890.695,18040057.27,3127069.782,13251464.43,9629148.976,4993326.611
1975,10282509.38,2176462.648,63789270.29,16534540.73,6136116.536,5233098.718,1766381.154,12458945.31,42265190.7,33496412.05,5730547.872,42446336.47,128457927.9,13344030.42,6721056.016,38842146.75,3153818.856,10098653.62,3862789.949,9906483.493,5124157.875,7227825.611,8902891.773,7940544.933,6399435.316,4909591.022
1976,13124450.61,2223062.638,111347727.1,19924528.62,8630191.9,6235407.596,1977885.201,16867713.1,14743170.02,30039603.91,6719737.834,115270047.3,131462137.5,12600174.76,6062301.703,27107428.85,1488359.822,12526031.35,2779785.117,9874758.133,6603977.265,24983441.21,7252515.788,9163080.969,10084451.46,5122427.084
1977,8540824.377,1136349.621,99725603.22,20241100.85,5589627.61,6047580.207,2014996.811,16390133.82,27640291.36,32865907.59,6488064.016,102450263.3,131420024.4,13183494.48,6403251.907,40137990.64,5881737.583,12638330.39,3391230.598,6491231.696,8912649.243,18260017.43,15649053.95,10345986.51,11926514.41,5458104.489
1978,8993725.199,1450233.528,107897068.2,24371340.94,3837180.896,6192743.367,2083117.66,16984845.3,26314753.69,34034718.77,6909937.277,123155983.7,131658485.2,13560559.8,7514620.262,38981280.42,4067214.366,14913844.64,3807500.248,14859306.25,5557902.721,12687992.01,12039346.08,7787536.294,9210490.563,5071452.319
1979,5854424.285,1279126.379,120272945.5,19348520.03,3198743.44,4533015.769,1936192.209,14015295.01,21335990.24,28576239.18,6929927.186,87455989.32,128351541.8,14060798.41,6559501.34,45886371.39,1711419.496,14819331.17,3577328.613,17772134.54,1814445.249,22784895.66,14110378.64,10116419.17,9778102.313,5024794.64
1980,6935526.183,2768418.537,77293321.21,27430027.88,3980596.489,6250637.185,2115900.332,17851155.3,16612841.24,35730361.98,6341868.817,41815780.16,148897840.8,15028103.22,6859283.137,27477001.46,6723156.92,15498799.45,3202741.416,20424301.15,1895248.929,17978720.95,16705211.98,9634918.188,7395217.925,5209464.657
1981,10402446.39,5810979.084,68985712.94,2265644.003,5531681.338,5855027.673,2172525.749,14437108.34,18605110.67,36099079.65,6603177.785,44875223.91,138882042.2,14404276.66,10783646.04,28467181.27,5521861.115,14698203.56,4070622.908,20290661.62,6191368.167,1577387.213,10106987.58,2957977.449,7104851.092,4682591.684
1982,2642238.913,3001899.959,71162599.96,4206737.09,6008124.565,5472834.29,2229665.318,20252594.24,15757305.99,35606214.01,7994392.912,33741565.65,138917394.5,18560709.73,7642286.328,38070388.95,7336060.76,14035799.58,3761906.937,4195579.457,4739094.71,10082112.44,2507842.921,10419853.53,9171738.182,5745234.09
1983,8376805.595,1790607.296,93258325.82,23155298.46,8169686.428,6763074.327,2234756.415,23100815.07,22995841.12,38893025.68,9267186.76,170333871.7,145640125.1,15051903.29,8208962.243,31766055.59,3322700.981,15819280.51,3127837.762,401486.5277,5381168.648,9381026.274,5123536.562,8536980.728,9178059.024,5719455.475
1984,12183394.44,4756072.175,103691297.9,18163777.19,8807175.843,4531039.64,2256533.499,10954224.42,19345618.64,38025166.04,8653838.428,143283831.7,156849964.1,15719743.95,8586014.743,29101842.76,4949243.876,15667767.58,4129453.473,9714209.486,5891323.742,19069664.16,6887075.673,9134802.96,9566346.644,5444468.442
