Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
1971,20746723.38,7935902.068,253585823.2,69575588.92,21660425.08,23500017.86,8508168.505,55315636.86,44801269.2,165576802.3,38389384.31,126388422.2,1088992330,66009305.23,28083658.53,67399379.01,20633566.31,68897825.85,15739857.25,31950002.41,20977646.82,37597052.64,40916697.95,29442969.76,44407837.96,21628048.16
1972,43262235.86,6644588.987,417047754.7,68391192.69,28011188.7,20496217.06,6510749.024,44136185.82,45911434.17,120848180.2,33124969.77,366386743.8,877501822.2,55855921.4,21081301.49,148464904.2,22819525.05,38164880.06,11248168.93,39798128.5,21536832.53,73636420.7,34817693.47,29217835.14,29272068.4,15763885.48
1973,40595309.8,11227413.44,439493924.6,66459561.72,19810962.96,37050067.69,7691159.961,69124981.68,82102118.7,127421656.4,36500913.25,320054230.9,870274666.8,59737667.84,23699728.69,140807141.5,29548660.16,53963075.99,11662640.29,39319654.73,17360193.09,69948592.08,31308994.1,23993451.69,42309712.08,12790453.5
1974,34084898.49,9294532.753,252456342.5,146818489.1,25170570.13,28307433.09,7142883.655,57423280.98,104939845.2,127923608,35355673.86,58841242.17,835180286.5,57181796.82,28884308.56,49792824.52,31191092.36,55442576.57,6969952.186,31096304.78,10532796.79,87691362.01,4476294.32,83085785.89,42743976.53,23150960.57
1975,34237083.34,7781388.847,231782228.4,87325837.95,30949799.61,28700080.38,7210763.031,56744583.39,201100949.5,145688513,32857269.15,109984002.7,827366313.9,58176370.4,27438636.72,118274528,16662849.57,49220353.84,17980626.45,36135453.99,22336376.49,10351684.11,33662382.63,33792842.48,25085263.4,20037842.53
1976,43769226.81,5856062.535,378985143.2,102533043.1,41418492.29,31864940.4,7643692.776,65417945.03,41736253.78,136515181.7,35247508.93,388345520.6,845851427.1,60754338.01,24346114.69,89580446.02,7392233.401,64990779.08,11772066.2,34162955.24,29042711.46,126236284.2,35638667.66,40923104.24,42643955.51,21133712
1977,28050798.14,1740373.598,315333605.5,99996335.49,24930637.27,31162911.38,7698133.774,65040830.34,123413817.3,153061863.2,32315054.35,331559126,831183321.1,63424664.58,25298077.85,119419423.6,19976971.72,65479431.73,15800754.19,27417225.65,37406160.83,99386483.71,53502498.27,51000342.26,57161993.8,24961897.3
1978,29783153.78,4852095.821,350461261.2,121143413.9,18837033.21,31973045.7,7933017.061,67613466.9,110465495.5,153911467.7,35510755.35,366082434.5,835266872.4,64883273.58,31914567.76,129174734.2,14797088.67,76539388.91,18613400.8,48893668.63,22935699.66,40932385.32,39356433.34,33057555.76,45300131.99,21185149.19
1979,22626458.48,5534917.893,386601667.7,100967602.3,13570938.21,22219641.55,7380325.192,55416788.59,151613152.4,132255113,36572843.28,252517229.3,834605115.1,69588135.79,27540811.87,151834334.4,10242763.3,77433663.18,18576742.25,58986522.79,8773044.325,109337706.5,50738283.73,56045828.99,47648354.44,19238785.57
1980,22278289.2,14397045.93,255258668.4,179676588.7,11881919.23,32355492.82,8317957.78,70875942.56,117495202.2,167588593.5,29148943.67,113465862.9,874918262.1,71586666.98,27342579.17,77442596.7,18432732.17,80276458.63,12254828.11,68944126.03,10081491.42,98743617.24,55375028.01,45312809.42,30753328.01,19926681.7
1981,24532597.23,18265196.88,194603587.5,12758543.17,30065360.77,32202598.25,8510872,66212492.64,101986071.3,161042090.3,35205911.47,111519893.6,881430313.7,65454687.36,51704072.17,81502942.36,21485935.09,74088660.14,17892063.06,63579027.96,18025886.63,8555712.344,37420967.35,16378689.3,28124168.41,20691973.44
1982,3713681.601,8077047.905,215605997.2,27144694.44,28535224.46,22270326.25,8067353.592,64263676.74,22354617.89,155978733,40126559.31,89890833.3,886170068.3,81034029.91,29724846.56,123417979.5,26640335.63,70299338.34,15053443.6,12684420.26,17120222.3,49725182.79,14771933.88,37536790.78,40053057.18,24863477.95
1983,29030307.9,7593950.97,271383028.2,84480658.43,35167339.29,31343187.86,8675611.599,77554666.8,63451922.18,178630455.7,45084448.14,497853397.4,922256137.6,72212435.07,35588073.15,101331822.1,16258835.66,81085562.89,13261560.83,1874016.299,23597081.12,64035061.5,21022344.62,36495821.94,40703687.19,23720995.59
1984,41957022.46,14218580.36,295825282.3,93186042.14,40794797.05,24661778.18,8551321.464,56277641.2,97871175.85,167388024.9,43651074.68,424737101.9,963923617,76828937.04,34434525.11,95093972.9,18425898.39,78945287.48,18838496.24,36980411.76,23222769.07,114865148.9,33073493.54,43246858.13,42864251.93,20967606.71
1985,49294025.44,192698.9148,347968302,87184781.2,33425148.27,7564465.73,7171568.208,29129710.05,69151574.87,176916272.6,43936423.46,429220030,1035646975,64143947.56,36410805.67,142081193.1,25332555.8,83943266.45,15322193.1,34101921.09,19835001.33,31774724.22,25993443.28,50187300.27,61383243.56,20987211.1
1986,46218150.12,3274210.382,444343091.8,85575818.69,38526972.5,45178375,10939268.58,92899152.68,35279132.33,173214833,47956466.78,382364483.2,1045953037,62924587.07,31075705.06,129900434.7,33393901.18,81676356.38,15513097.72,8636371.171,22839691.08,48653105.55,61108307.47,29000084.9,70175646.55,22972294.95
1987,44999339.84,12313162.69,439370336,80543616.26,56589394.25,22383143.08,11419723.11,69288901.41,65980330.04,175785919.2,48255797.14,312137665.5,1118689129,84625581.51,29099901.46,142604855,21721221.34,85050667.18,23054359.71,16787522.64,21491445.65,12444469.94,49315507.1,21191541.28,50423840.72,31615330.6
1988,48881636.96,14752689.44,480279049.1,27615978.51,23263566.58,27696787.65,10304551.72,76156614.33,62791187.13,191459042.6,51055260.72,327568672.9,1149115238,94976677.55,20223766.21,178276202.6,30013941.89,84098315.64,16838960.81,55851731.83,34811209.76,46891992.26,28485996.84,38433662.95,60895467.66,28188871.12
1989,42713988.5,10978401.58,439310543.3,49620826.98,18262455.1,21610.31019,6687738.016,58559.59876,111970204.3,187375047.6,59236362.86,304705232.8,1070095599,97897807.29,38089608.07,171785767.8,24553762.5,86816545.07,26420249.43,67733181.66,24045860.43,21521452.71,15187188.39,51924102.48,51485576.93,30072426.61
1990,26516597.24,10047931.65,424412296.1,14137517.11,74976562.06,17316717.42,10523938.16,72867179.37,15338570.69,189995274,60162734.24,239792259.4,1051923681,112420293,51506372.85,164501107.6,38335931.06,95475454.33,14684197.78,63526021.67,13557099.5,60002609.7,41485027.88,41676673.48,58024607.47,28648015.89
1991,7997316.344,4118388.54,374977479.1,51314.94775,28004021.72,17118.39284,819333.7907,12480838.83,77630024.58,178681219.3,60928235.85,141991657.7,1076098924,90923204.09,42837362.83,140850575.2,12277781.87,101215848.4,23035748.03,56584964.5,23690266.02,98401675.74,75481179.51,45346061.6,64474577.72,28252871.35
