time,class_ 5,class_ 12,class_ 1,class_ 20,class_ 9,class_ 18,class_ 22,class_ 23,class_ 19,class_ 17,class_ 3,class_ 7,class_ 24,class_ 4,class_ 26,class_ 6,class_ 25,class_ 16,class_ 21,class_ 10,class_ 15,class_ 13,class_ 2,class_ 14,class_ 8,class_ 11,class_ 5,class_ 12,class_ 1,class_ 20,class_ 9,class_ 18,class_ 22,class_ 23,class_ 19,class_ 17,class_ 3,class_ 7,class_ 24,class_ 4,class_ 26,class_ 6,class_ 25,class_ 16,class_ 21,class_ 10,class_ 15,class_ 13,class_ 2,class_ 14,class_ 8,class_ 11
1961,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,4028161.422815513,4973239.496375624,3104780.5264702435,19220597.553634636,2717794.0514169363,15300014.363985881,3348159.0057154945,7868913.138374278,1394104.2255701774,5792072.7088952325,3855805.4039253565,2536035.3016731506,2231738.295943594,1803329.654331488,1636238.5384047881,5634993.874292432,4770264.053437485,6248826.5527637275,5207499.473897723,1532497.7044112226,1097351.6258156227,1648431.7079303567,35717912.50783064,2199418.5155160483,4735037.448095187,39187893.215902746
1962,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,4268235.45730438,5228520.4066840485,3323426.299903804,20876138.62736801,2859964.8524947762,16131309.233530411,3531625.2492460595,8489375.204788184,1471240.8862099398,6166190.322373472,4087168.609705845,2685902.88123324,2360399.867669179,1912356.4206882587,1721478.7496720213,5957777.39671561,5030916.61616095,6565326.293296152,5509869.627762853,1632492.625082468,1154744.135172793,1736640.2453785322,38357248.684962876,2313261.648483442,4992996.184203268,41563813.41364999
1963,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,4461134.944130009,5440510.707288737,3503271.9397013197,22391722.824051645,2981713.0156535027,16834671.011899337,3686692.0086981733,9000337.426257176,1536037.3050319792,6475737.005685217,4282089.136198964,2810235.609902745,2467177.274107141,2002628.3678356644,1794554.1814978246,6228889.51098596,5251394.964166384,6836501.327151075,5769189.770804621,1714629.4585456625,1203409.9383519683,1811870.1030030376,40500234.65159748,2410651.637634401,5211534.165514696,43498752.96516187
1964,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,4640839.317466599,5641627.078668886,3673175.4177208515,24092235.924421962,3098124.4070407543,17503870.364482358,3834169.5827286677,9481557.79718605,1597508.1843978902,6768246.2718279,4467520.885982315,2927621.1557135778,2568290.3767065173,2087810.0323927507,1864464.7146134055,6486336.770345631,5461154.594683651,7095921.883712357,6017298.932023903,1791975.1822023655,1249760.5298354316,1883712.1399373384,42516796.32431927,2503746.3595280345,5419604.896264893,45322639.08551355
1965,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,4814779.909799122,5838861.728699497,3839473.9112865077,25690552.11743883,3212514.6282568723,18159489.38028271,3978625.3349540234,9950693.532562142,1657631.017225964,7054148.989146549,4649383.536587265,3042133.654828614,2667301.93021054,2170896.5837065177,1933188.8029065891,6738463.012171945,5666660.8919955045,7350970.047462961,6261184.7089324985,1867394.8645634956,1295204.0367688849,1954274.06332056,44488223.206751816,2595218.4257073635,5623565.191885744,47107838.50292154
1966,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,4986179.664440912,6035216.57645039,4004937.854025912,27123915.93754319,3326319.328997737,18810434.42943262,4122035.83549719,10415407.417420303,1717261.5272864632,7337985.527555323,4830248.250427358,3155537.3482943573,2765769.3609310775,2253185.9300021995,2001583.4792619199,6988890.141515835,5870712.063005141,7604847.204853913,6503858.794956095,1942134.027833758,1340350.5698336626,2024469.5407091046,46450247.33671534,2686226.0969629614,5826167.450440184,48886028.502334304
1967,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,5156795.30164755,6232313.990370587,4171097.39821727,28548361.802442137,3440316.172120515,19461528.038434703,4265471.544077956,10879857.19803223,1776863.2649076742,7622243.248940922,5011517.108455532,3268789.7537266295,2864552.4003648614,2335383.4242570125,2070113.3173881446,7239591.161880335,6074823.728718354,7859292.915646748,6746940.161524198,2016873.7598054302,1385531.381202245,2094794.6362900597,48422797.842241,2777398.0509148953,6028903.505175935,50674752.43450324
1968,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,5327720.843682844,6431157.647876563,4338924.016196741,29964313.86932072,3554984.18071799,20115740.202490646,4409591.900449423,11346609.752540687,1836721.964561769,7908481.833444223,5194063.058048414,3382482.9766027993,2964196.27210123,2417926.110826357,2139064.8048867774,7491792.483492349,6279929.723603192,8115384.777561338,6991415.372114514,2092040.1607686542,1430951.565093466,2165556.0417462233,50418704.168187074,2869123.094094834,6232693.460243451,52485188.061992764
1969,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,5499702.983126264,6632429.852762148,4509098.071245499,31371152.90966718,3670645.1910467152,20775066.323860366,4554840.09821197,11817396.312889546,1897029.863278385,8197775.214640464,5378481.519427237,3497017.19807561,3065082.15684023,2501110.160932066,2208630.7365452605,7746328.674843367,6486657.807435981,8373853.746503214,7237938.128287826,2167925.9220234775,1476750.2714476513,2236960.8890876714,52447107.59838083,2961664.3692646036,6438156.7039065035,54325192.0599724
1970,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,Concrete,5673287.822569223,6836629.519385334,4682133.441073694,32767711.706159387,3787529.8409849205,21440936.62422162,4701533.894921394,12293465.612012673,1957925.0131978437,8490917.323127579,5565207.652088854,3612681.52094299,3167497.3029184043,2585150.239812985,2278949.5934723197,8003807.799911818,6695458.218510153,8635231.781849297,7486969.147660464,2244746.987798318,1523028.9329622032,2309158.642038497,54515047.81735497,3055212.826565767,6645738.2798881605,56200714.99047546
