time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,16390212.09665155,158993494.22419128,32038417.96847426,14542108.149377119,28049826.106078036,47750607.873715416,20834938.1527985,43198903.674702354,25866916.341568574,10909636.737944627,248309410.26212516,40465827.904721096,15228563.93537719,20462303.50821353,9723711.384207496,56885557.30457024,42268720.39569307,139732209.54847825,12245687.744757293,223681021.7256275,49137432.31901342,30492045.26227179,51646480.05188587,16014387.48087146,43512262.58452214,15517258.215146286
1972,25311739.87081887,263765824.66274318,43415263.9210609,13681142.883476175,69309598.74354988,34902870.435482055,20762903.115198277,32351150.53112984,19234346.341706615,7099465.230278925,233015076.02737966,29386957.752920467,17426472.008607015,11631791.643037273,7138680.800324747,35512687.859666966,76485436.457271,87277514.72865424,8468856.073735522,202711179.75409257,36594499.1508816,23010101.64133444,96559714.65231524,10013031.35356198,22944491.240844417,13594541.45202487
1973,17982398.13475216,251757494.46677902,43754855.74183928,12540924.942427594,82876524.03393357,32531822.042348497,13127761.285615625,32260544.377975803,16309577.769783888,4366405.180995626,260907658.33421096,27124921.02176097,10265790.586983597,11919421.241527282,7405605.663478923,38155164.387243226,31232179.914280824,75291194.08773173,11551593.086213138,214618200.26049617,35453797.67477912,29323438.0634242,81371492.58333553,13739171.186561363,17208623.873450812,14006544.496182434
1974,9170812.80242636,50814414.256526604,36556272.97892214,10796083.38595878,78354507.99442154,26580665.653302934,10740484.567935873,34550461.24756868,25137536.899972063,2293538.338807055,158661724.27247083,43258109.047117315,14685745.212976627,13638032.658564476,8027745.06505453,43893458.103764266,8437810.154672332,95963012.52962522,12454229.628979849,205192287.0266142,37815934.17947662,24937315.436950363,30548636.35838999,22227003.01513216,42551860.60843518,14961652.054375948
1975,21796028.633999053,50442440.87520769,37242318.683532,10994464.0711864,30177726.391165685,37156795.3589924,20375257.486650996,39936249.17158121,25247058.558584932,8190869.857442972,87572676.83803023,34254056.60329961,16728285.16259673,12992315.899977865,8236927.839238794,42260440.6661142,21299436.75961047,107519543.45480768,11380914.913625918,194504467.05786824,39851173.93280598,29263243.120085243,90472692.31760548,9925027.02063935,32958107.856488686,16100884.365907835
1976,26844241.499232482,299512547.337498,35613633.83845636,15549180.585108897,76004185.63427556,30576379.427707233,21626767.84562432,37507756.905043945,27928926.005706806,9401368.011201356,230773455.39756757,41301089.27749563,19196615.983110707,14288648.623294184,8554493.499991428,48268531.43287607,62312201.29908465,100815672.79776917,10578430.661220726,199670304.3318915,43040403.21481957,29583175.225039944,68271725.50906353,13542989.157550223,31306581.50621112,15373781.779629437
1977,23008696.26490739,253941052.81994823,30094946.010567427,16316310.191787794,52575855.46528869,60791467.84665293,26495322.415246256,40373655.7984753,26484891.624277137,8326877.882838347,191505403.417559,42823995.46973387,19326981.02786229,14298282.343470959,8723630.260140494,49008574.05952468,167703104.8902177,107802978.81367336,11489882.065768238,205472587.59207422,52314063.54319455,28364558.508014973,81540843.74066079,8441282.480062189,31079719.66793819,11162312.801681217
1978,25515164.541698333,274610434.94888216,52427765.04272,16885795.81446333,47874491.988133736,39978802.43717292,28735844.933368616,44059468.67684793,25522201.10393773,3288914.5929919076,170909688.1883009,47057059.40223054,18187244.55814986,14034611.49810987,8923052.764076145,48311135.92629567,77442901.82149886,124144089.683439,13033519.383194033,216729223.99725226,48208372.59285147,39142601.97502864,85819334.86024605,9119087.910339696,44973500.696599595,15819873.69383276
1979,11885597.72264295,184197010.10156024,58623012.32927431,10396760.191386009,77307043.45067222,61108098.68893117,19863366.216128577,40756314.712914184,21813438.56964108,3141421.9681626926,249434667.4158936,33154615.536549002,12213962.74933356,16317019.283192141,9504933.234588617,55196025.98580025,37344157.49235655,107843546.351189,14154198.619714972,237294065.91146275,50761484.133114845,27081680.8601218,109880651.50776325,9448219.746501852,44746847.26440415,16796284.19886552
1980,15977852.768523687,85915405.35585396,43520265.795806944,8923247.97718165,261072693.11670768,49247990.27905255,21028271.656700455,34840804.334925815,24623002.9965849,5444346.183840574,158929958.3770477,20108741.879259303,17199793.92011661,20560728.553620987,10794471.217541894,68758632.97749445,21344847.777624525,100313307.55033161,9840825.666256769,261509206.0240006,53246431.537559085,28536064.904472966,78235978.49229723,15118343.81217056,44931959.919477694,19168065.070310645
