t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,6191035.574,565559383.043,8787660.161,6453526.90616,17724000.0,24706421.3174,13201310.5555,6027265.44398,3033296.4791599996,12177000.0,366431222.8166,64817801.8036,7511196.387,,,122258853.1,14851024.511860002,25093425.0,16475906.894000001,37262047.061000004,13833186.34328,1686875.265,124642274.269,13637130.918863999,3947292.1569999997,3384022.3379
1972,7171688.818,600821696.299,10163675.016,6610480.668606,19521000.0,27507435.47141,13823535.875500001,6560619.132464,1904571.8388399999,13363000.0,322270270.7883,68151545.0291,8201654.879999999,,,127094106.9,16845666.457300004,25974633.0,16557639.584999999,44758704.157,14273474.04906,2203232.454,134110170.743,14139411.406514,4083109.0068000006,4339108.32
1973,8713331.333,692723053.604,11797833.86,8435793.521808,26152000.0,31326100.45626,15487267.124699999,7472542.118367,3658829.5249860003,14142000.0,401639624.88,73090756.92819999,9710480.009,,,133431680.0,15656133.888689999,25364867.0,20082925.816000003,41479551.78293,15444797.37532,2645908.813,161770853.0,15879313.56386,4454927.523399999,4490967.3952
1974,9471308.467,672524900.582,12804474.545,9277605.318669999,25808000.0,33358731.86105,18349417.492,7677834.842936,3277028.57697,14877974.498,344550350.6934,77376824.2695,12115912.86,,,140134053.1,20676639.802,25841336.0,21937148.357,41982325.71669,17507207.93198,3126591.104,159320659.974,16381504.179419998,5268817.634000001,3794713.7843
1975,9305687.455,592985393.508,14022666.2,10223390.69846,29600556.074,33183718.008610003,19541205.893,9819975.49501,2365965.9381,13730067.284,324553305.0354,81679298.88520001,11999822.31,,,148733386.2,25435844.983599998,26074690.0,25431500.447,48390904.98519,18209954.272400003,3269131.99,142418674.126,16056631.495478,4912237.098999999,3747608.5276
1976,10881717.456,590104606.66,14949416.265,8888894.78488,34896206.377,51313665.430199996,21901832.812,10204256.58743,2526374.1818100004,13724646.492,305645515.48447,86824231.31300001,14351827.35,,,151400840.3,33971264.1981,29912567.0,27511999.594999995,73893329.81497,20117151.9533,3938358.129,146043212.215,15509126.259254,4855715.1620000005,2836115.07394
1977,10206285.37,627081010.105,14464265.078,10746526.08399,39296237.25,49734199.81851,24830087.375,14490152.45789,2709328.41397,13071025.01,316751907.63699,91691745.957,16458107.051999997,,,154816693.8,42556283.911800005,30407445.0,31245276.339000005,84388948.10846001,21161543.0624,4000513.4715999993,153295292.294,14604791.744626,5635243.2765,2963889.4944599997
1978,10380021.456,696185604.804,22584453.0,12750790.321845999,46587020.631,67974359.38302,25523157.669,14648899.770229999,2785701.74639,14104572.25,317316842.76319,95559656.613,17189944.5,,,154702839.7,56882942.3676,30942983.0,32683807.438,98114624.84510002,25532511.2889,4998471.0342,171204704.361,15449338.367192,5593930.5200000005,2537226.5541040003
1979,12247070.59,717716120.3913921,24195169.092,-4279329.886103999,45705923.109,54860500.59212,26898281.711,14960291.416744001,1476421.441954,17406055.0,328033834.60762995,94055483.391,16796851.68,,,149905160.3,57070555.7911,30615501.0,37996039.443,109591975.1092,27476500.4111,6166867.1328,181355039.796,15964751.114222,6757466.329,2822832.24534
1980,8403851.916000001,642003578.822,31399936.703,17223645.035928,51455240.171,50166936.8256,25618068.790999997,15130212.46638,2807616.1127279997,22053139.0,324269591.21852,133103330.75899999,14793635.37,,,152379173.1,57816135.2214,30098000.0,36472862.12,120611552.10319999,29932815.373400003,7684567.8404,183621835.561,16615550.401864,6364767.267000001,2826371.4961
1981,9131949.549,574130510.1110001,39292100.273,15760552.1207,53308659.0,62977490.01068001,27771534.891,15680539.053759996,3916092.4856099994,23373072.0,306585297.58096,121632020.523,14136547.06,,,154962613.8,62613499.0407,33289000.0,37336941.08,126217080.2,32465403.186999995,8848330.688000001,175439326.054,15590786.697452,7367095.852000001,3151196.6521900003
1982,5618249.776,553825102.3488,41114694.0,15213804.824550001,50427581.981,36109063.331530005,34675842.587000005,17312517.720019996,4230032.9620900005,22518015.0,298950199.31528,90619954.27600001,14212179.64,,,150712146.6,68781645.90210001,35546000.0,39064537.99999999,137396931.3861,32283371.022799995,11101296.43439,162267834.046,17336261.311162002,7705506.94,3069528.30683
1983,5367576.118000001,554250412.45,35615432.85,16989648.26421,46179958.313,39344488.49385,40702049.455,16028970.419370001,2735784.66837,20265651.412,296836659.22947,88296398.882,13790960.12,,,156165347.2,75435290.5248,39685077.5,41079995.739,156659599.7262,35987271.435899995,12172464.449590001,168121379.96,16693425.093595996,8508258.772,3168944.66113
1984,6558465.039999999,548971277.942,29535962.496,16761425.357900001,46797460.375,38763570.00829001,44263886.72,11125486.32722,2583042.46394,21075567.294,284156001.33304,87509239.262,16755701.220000003,,,158580773.1,78574551.02290002,46680923.813,40909573.268,170928796.606,38318081.8372,11408809.14734,168070700.43,15055088.393312,8166924.654999999,3622353.515
1985,8778888.552000001,641599611.562,31240527.5,15819747.41318,45938488.992,40725892.3815,45228909.097,11045681.93275,3416259.93913,18943120.0,386181223.84886,81294260.724,19107620.26,,,159291573.8,71513807.5648,50137348.412,44696009.911,201342857.43317997,34551132.2538,11843721.31031,163115402.597,11726752.310706,8685147.071,3502928.9693199997
1986,9527963.254,655711774.862,29356262.189,17906296.51034,57095747.313,46924955.8719,42054126.316,11347997.313599998,3682960.81195,20898000.0,383611870.03942,85988440.602,22923773.05,,,164649719.7,65055683.7147,54311164.048,49119001.0,225940728.21390003,35588926.854,12904941.5502,161220622.559,14201412.71061,8679375.2277,3591563.40498
1987,12022463.658,769009706.0830001,24221733.688,21060687.84003,57531340.737,49273721.82998,45705372.227,12468425.00531,4137993.7351900004,19863000.0,401000878.97418004,85017086.19999999,28630021.543,,,167434359.7,73444303.4549,58164264.0,54593720.25000001,247928026.588,44509949.3684,16206293.047200002,164594530.312,14153191.022815,11379125.941300001,3253013.4525099997
1988,12931996.271,799810073.0740001,25177182.953,21555103.619599998,60602726.0,50193515.18348,43953206.190000005,12601634.62873,4253313.057990001,18654000.0,414832902.96713,85374566.95600002,29484684.094,,,169629543.7,65621985.25220001,64372616.992000006,63483447.067999996,285550379.0249,42752075.6849,13633452.3223,180625901.0,14771209.468669,12706838.7,4129242.57342
1989,15365370.55,709055830.447392,26244022.084,22884849.39209,60499889.956,47185348.48353,45830677.773,12422366.75678,4709112.4682599995,18903000.0,465603246.40112,78223773.095,28040916.299,,,170770176.0,69986462.8319,67166551.008,67181900.63900001,282950869.8463,47756666.9482,12219208.323399998,189383817.292,16296246.366302999,12873798.1375,3295931.546576
1990,13929391.47,711781969.2,27844999.582,21244205.208809998,60463137.0,39431255.20213,38278763.203,13216635.70972,5481323.7853500005,19944000.0,456254341.16734,70499518.804,27804026.69,,,166983552.0,67877673.21550001,70827708.0,70306696.81199999,269408999.91330004,61403743.930999994,14911914.816,196069442.463,16592814.94394,13293000.714,3347282.134008
1991,10148911.984,639392826.7,29958046.242,19904284.09592,60492483.5,39674025.89403,43723781.057000004,13060903.33069,5511224.31506,21494002.56,450108813.83107,52834738.658,28342412.087,,,154432000.0,61975696.31380001,77806866.0,78952607.682,325439706.08180004,71349344.0121,19720249.033999998,203955032.0,16392044.84084,13849800.762,3399765.2782
1992,5823537.688,674624863.1,32276263.312000003,19831534.41396,60494285.5,45753872.35221,51664612.713999994,13732114.43104,5837995.49088,19746998.118,369949964.44949996,53009618.495,30154767.617,28738400.0,18118400.0,77608000.0,76558714.69719999,80897131.0,81829909.41399999,400237726.33889997,77470379.48460001,19312469.216,200991533.247,17071829.009069998,14571155.040000003,3623977.638224
1993,6307234.08,717971480.6,34423571.625,17782808.15369,60489156.126,48982296.53671999,51776865.97,14305081.28459,5588669.68991,18188115.847,361596563.036592,52747289.779,35240608.768,21950400.0,13862400.0,62272800.0,80352218.714,83848515.024,87611551.875,482116695.18710005,81984076.2541,22647125.338999998,196547213.921,17416087.158919998,15993599.974500002,2867139.3624839997
1994,10013574.313,788252795.0,36794013.625,19070902.488140002,60478795.008,52949066.79502,52338332.04099999,13429863.09435,5508577.06879,19542401.513,384252948.68906003,83991038.9575,30662911.847,15784488.611299999,9411840.0,46464800.0,90196264.39,94146965.016,97088445.124,543790238.3195,98939538.8733,28503008.737999998,198821159.0,17499099.403309997,16874524.5146,3527958.941
1995,9745146.094,801535420.84,33236250.187,19266495.8097,60479600.926,53154559.011010006,53037145.478,15267892.07748,8744306.00321,19698554.398,368933243.70737404,84572777.73879999,35649685.39,10858587.8981,8126401.682799999,46243936.0,98111077.554,98391691.976,94967526.496,604440505.9364,106690987.1963,31709661.616,197500084.484,17112885.911280002,18676192.372479998,3882021.803812
1996,8499555.008000001,868451150.983,37966752.849,19496988.0268,60465176.973,56247624.9831,65142698.65400001,15029730.84018,8121850.16795,22003338.947,391099602.961708,87355494.66749999,40457632.551,6305401.64877,5977345.172,36759356.89569999,102903735.23189999,104294942.123,109050482.394,618166980.5368,123332078.6592,33636538.664000005,199585319.698,17068840.82584,19087770.0101,4732115.415368001
1997,9732887.145,915829551.0,44196147.254,20244098.59529,60452294.056,56387475.2234,65621537.10599999,15008494.31925,6959074.02006,22190713.205,356054743.169816,91116488.4841,49684873.402,7042628.715,5843000.849,34883569.3715,104535002.6495,111937978.166,113189923.808,643272218.1924,133874947.82599999,36411860.993999995,197390471.097,17664264.605513,20355624.334469996,6512504.83706
1998,9554242.839000002,951822019.0,45028763.159,20741963.860052,60461119.731,56036416.9388,67303415.359,18219616.81448,7707067.8824000005,19734421.167,367561850.4574401,97360810.6059,52046829.001,7483785.71008,11179219.8261,33709160.83840001,100094703.9182,114779941.942,75674081.918,674157392.2921001,127086081.83680001,24723759.382,180566454.0,15839479.959365001,25091955.423,5677355.124040001
1999,11173472.854,977589922.0,46204063.349,21444443.252814,60483654.658,52119498.0316,68361305.827,18065315.657449998,4536139.994449999,19676629.653,404393462.79422003,93208120.9735,46250928.197,8162364.323399999,10526109.3619,35464539.324999996,101261427.6518,129254324.98700002,79070794.48599999,719541078.3758799,146185298.9344,21328552.904,177294173.687,17776845.785294,23986123.6481,4725201.13814
2000,10470226.847,995117797.752,59254265.781,20806506.852160003,60482682.865,49040666.4373,71760979.71499999,18884845.419698,5235593.49098,15880331.53,415828151.36200005,94869454.5313,35958104.282,7584317.6691,7363267.635799999,51024512.15269999,111065317.86940001,112634550.468,83758014.77500002,747533151.20934,153883659.994,25364176.172399998,182732792.208,17428176.036428,26637607.1117,5679654.182996
2001,10257156.567,1030070095.685,66119432.00000001,22379924.917388,60480771.884,48694473.0291,70843618.894,19618576.737820003,6473027.06747,18760344.018,407132735.01956,84348204.4735,40572254.956,9064435.273500001,8740134.9972,49325265.07830001,114911529.97129999,123676141.836,85610778.88299999,828168997.4834,169721482.0433,31316172.582,179868344.91,20617412.857780002,29000350.2743,9508197.314860001
2002,9889464.358,977157458.046,62447825.89,23717843.628381997,60484946.129,45605302.713700004,72660674.16,26920252.973920003,8471971.63923,20736984.192,422574293.88324,91085922.3453,30260913.145,10229146.140999999,8745037.7566,58119603.48110001,127269110.377,135673110.93199998,90607250.658,907815480.7622,194907697.0512,34001274.66700001,168471720.0,24316478.981854,31029816.911399998,11061817.175504
2003,7901401.253999999,984098661.387,59678631.564,29407938.346554004,60464373.673,36556383.886,76106032.184,22388973.18862,9117086.68204,21260734.871,423203250.30562,88419518.4858,30558408.889,12132636.0477,10210683.1221,62710692.10710001,136581753.14900002,141127078.82,97760094.831,1073383787.6221,204565473.06829998,36888209.772,161453957.297,22887919.724099997,32882698.680400003,7602966.023668
2004,9228977.302,1050138941.3360001,76332195.155,26921434.907560002,60482727.259,48878936.38528,76822070.264,24847845.706978,9977072.716330001,22030685.804,429732224.08053,90581449.8369,34981082.748,14712133.6146,13313774.7898,72201254.7114,151562473.457,152634857.886,95595361.103,1200385162.9043,227999599.40596,35200244.9258,159203596.0,23345865.736395996,36285039.9616,7808278.392924
2005,8880065.989,1090306681.52,61280118.49,26262825.437811997,60480059.395,56066804.538499996,77987412.79,27174051.535340004,10473185.15042,24812690.045,335107241.69764,91678221.75919999,40171715.147,16224683.856000004,15244368.7596,76468081.6598,146359470.133,167778432.95700002,89650559.224,1303724270.4972,229947440.15781,38169583.3142,162216885.436,24378591.388450004,41721358.5862,8804114.243842
2006,10178432.891,1122729827.968,71756508.344,27020450.711427998,77186161.02,66873919.6125,89417240.166,32751617.437969998,10811466.97892,27365675.306,350179620.93713003,104115671.11230001,52122030.323,32295194.413000003,17907051.5217,84832657.7167,144646813.09,189334520.066,88368287.874,1490924541.6134,254956672.5959,34300718.662999995,163426967.448,24555581.579487998,46762388.234000005,9472523.961902
2007,10887506.794999998,1022430904.9280001,65083630.573,29175928.622012,82292581.004,74432668.77980001,96195724.26099999,36428627.67136,12497352.40925,23931716.082,353026102.77361,116115641.19829999,211453805.112,34944962.0651,21863388.974999998,95802803.6881,166980436.037,204646727.054,91432561.26,1644968444.5607,271272520.82339996,39583525.783,163200260.937,25578799.718238,55946544.48850001,10117325.822424
2008,13100826.596,945248132.944,67209253.336,28164614.12421,85375441.733,74557739.14780001,109571588.511,40915363.41233,12775446.75185,23466066.319,274348925.95826,116037204.9634,207981916.017,32493524.7302,19576347.047000002,97321662.6001,184872743.62100002,224698873.244,92729094.13,1684404826.082,273920278.7718,42898678.55900001,154112107.097,25160850.943508,57238281.7383,11282691.06674
2009,9982341.279,747355675.984,64555571.23900001,24498577.792379998,78381816.5,73868212.7142,116876866.69399999,36243777.37516,14881562.31087,18562231.496,256511867.82979003,98083382.0702,243184004.425,24050668.2856,18658668.0509,72155811.48,192199678.83200002,249372360.298,86884219.592,2004792744.9064002,273981814.40330005,27511509.131,129971789.13500002,27199604.271426003,58879462.3738,15799571.679032
2010,12024561.935,757262614.0,67863381.604,22316614.76878,93283943.351,78334871.6102,121614274.89299999,40632545.38877,16977195.94218,17922244.038,233712869.03201997,108541628.1592,277069892.438,27638736.306,19051949.9662,65374518.40120001,200464725.771,269141800.801,89053371.467,2296269679.0295,285249339.83470005,37806621.848000005,130684309.976,24896876.031574003,50634458.970400006,13320598.023588002
2011,11713051.894,754516023.0,56710163.664,23203029.066206,110183052.748,85143109.8323,108064356.342,42427400.457279995,20169753.05562,16959575.175,239545019.24163,127709263.97839999,355096673.324,29566088.463,20672570.044,75668523.6085,219185535.448,329162546.586,91837952.737,2526110981.6137004,306710490.7322,40462275.57299999,130380165.42,26573240.427727997,61963339.64429999,14770462.523664
2012,11623615.848,774315631.976,60419172.032,28969515.053712,131269401.42099999,84958488.2527,117674816.356,53985256.14131,21656208.669719998,17198147.746,199349647.20222002,113104372.11150001,374591730.175,27819014.242999997,21214464.066,84805156.20549999,213390558.706,333814573.36,91766240.706,2698905504.8769,309325644.15199995,71092521.353,135946465.072,25958120.821027998,76705264.9045,33747586.95677
2013,10655419.577,785299630.0,60904302.951,26182352.851386357,126835217.09699999,87985279.5203,111386079.212,60556181.493744746,25879121.195910003,17124444.42,252348902.19687,71945574.98570001,402073281.648,25730401.513,24408245.126,91581819.5833,194520415.11,345979545.153,93437942.662,2950601310.067,309797716.17956,72729530.70129605,143833185.56599998,25784484.560119998,72061417.79472117,36914048.132458
2014,9535244.708,832190191.727,55234650.411000006,27152518.35613071,140733732.915,93570356.46965484,106052686.678,58342406.795151494,23114746.89855,21657766.937,310960556.37974,70507486.168616,392638075.684,19081018.476,26564375.013,94854823.9292,186856737.828,302363765.385,98048235.619,3040818400.6070995,296100258.95746005,73968570.3645921,143837238.987,21603515.44309366,77502700.30224235,40637332.879086
2015,8811381.283,891507419.588,57915138.6,26733051.373648573,119513891.115,98863932.50620969,102729215.001,64105173.21073233,30194101.447158888,22882171.107,307051327.15046,115685467.94863197,415473867.254,18246723.244,29245909.893,82499397.09619997,189937586.512,323965126.298,95889963.02700001,2874974754.7,311230590.05325997,76039197.13988815,138689490.59,22159954.728715327,113169887.38776352,35817023.597792
2016,12861763.988,888243343.0,59198484.528,27605997.139191147,103556357.985,88042917.99026081,129224316.86899999,56771276.35141698,29832532.09155778,23512784.494,333050131.35243,98964693.44524796,101534016.191,19281446.394,29989034.255000003,71319926.264,198968722.74320263,353758090.85,99257427.611,2949982878.0026097,326607313.61920005,76189046.32418422,134953896.238,17551642.040947188,98723279.08438386,35619630.166732006
