t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,8.317,71.054,7.520999,5.215999,9.803001,14.936,7.026,3.428,1.436,5.861,187.588,41.77,7.553,1.94,0,100.331,9.703,14.931,11.672,32.187,8.483,0.487,59.434,5.586,3.228,2.222
1972,9.091,74.93,8.753,7.050999,11.382,15.606,6.979,3.822,1.397,6.112,213.191,45.894,7.595,1.952,0,104.299,11.295,15.785,11.786,36.019,9.256001,0.596,66.292,5.929,3.102,2.513
1973,10.053,77.576,9.918,7.588999,13.398,16.182,6.846,3.85,1.411,6.864,206.852,48.525,8.946,1.987,0,109.521,10.994,15.016,13.975,37.897,11.17,0.74,78.12,6.301,3.464,2.87
1974,10.641,73.558,10.672,7.624999,15.187,16.977,7.144,4.037,1.451,7.301,203.452,52.201,8.94,2.04,0,115.145,13.005,14.319,14.842,37.832,10.829,0.831,73.108,6.675,3.863,2.891
1975,9.741,62.13,11.2,7.123999,16.391,16.52,7.791,4.533,1.419,7.176,192.852,55.812,10.833,2.169,0,122.057,14.87,16.248,17.129,46.9937,11.881,1.077,65.517,6.292,3.999,2.667
1976,9.898,67.581,12.691,7.634999,18.675,17.501,7.991,4.581,1.513,7.048,198.166,59.909,12.154,24.668,0,124.246,15.867,18.516,18.873,47.6281,12.959,1.81,68.712,6.162,3.857,1.775
1977,9.933,72.629,13.328,7.535999,21.123,17.995,8.849,4.653,1.77,6.573,203.119,63.284,13.39,25.11467,0,127.056,16.602,19.173,21.198,56.7764,13.686,2.549,73.138,6.119,3.928,1.778
1978,10.473,77.546,14.15,8.235,23.239,19.139,10.202,4.846,1.626,6.823,206.804,66.265,15.572,24.61233,0,126.956,18.953,19.626,22.133,66.6375,14.187,3.649,84.882,5.952,4.286,1.749
1979,11.459,76.648,15.352,8.558999,24.871,20.969,13.056,5.206,1.652,6.199,209.948,65.815,13.573,23.802,0,123.019,23.557,18.27,24.413,75.3604,17.259,4.432,87.804,5.981,4.134,1.757
1980,10.34,68.241,16.398,8.938279,27.194,23.439,14.922,5.429,1.80305,7.125,210.581,71.827,12.975,23.71467,4.2,125.049,26.268,17.803,23.612,81.52399,15.203,5.259,87.957,6.057,4.431,1.672
1981,10.152,65.054,18.173,8.829503,26.051,23.459,16.26,6.641,1.77682,8.095,204.569,66.84,15.043,23.78933,4.41925,127.169,31.741,20.908,23.617,84.52,16.272,5.719,84.82801,6.553,4.696,1.869
1982,8.136,57.475,19.343,8.506739,25.644,22.422,16.086,6.631,1.60826,8.08,198.328,75.157,15.778,24.054,4.6385,200.392,34.413,22.65,25.887,96.815,17.921,5.832,80.686,7.054,4.644629,1.73
1983,7.871,63.927,17.363,8.913981,20.87,20.749,18.043,6.107,1.599,7.897,198.173,78.859,13.595,25.132,13.49375,208.56,37.043,25.261,29.282,110.132,19.459,8.095,80.891,6.262,4.893568,1.523
1984,9.386999,70.452,18.702,8.833752,19.497,21.128,22.488,5.557,1.568577,8.084,186.505,82.269,15.738,26.015,14.2401,211.5,43.223,29.541,28.413,125.008,19.517,8.893001,78.86,5.617,5.32135,1.54
1985,10.192,70.284,20.255,8.695295,20.635,21.206,24.608,6.944,1.562796,6.88,176.347,76.718,17.581,25.795,15.051,212.779,44.516,31.971,28.509,147.936,17.98,9.94,72.847,6.667,5.57609,1.65
1986,10.611,71.112,19.825,9.727639,25.252,24.022,22.808,7.3322,1.713959,6.246,176.827,80.356,20.004,27.166,16.889,219.266,42.843,34.983,31.53,168.721,18.707,11.323,71.264,7.133278,6.878,1.924
1987,12.603,67.38,23.482,10.28211,25.468,26.243,26.097,6.6949,1.888073,5.999,181.316,80.014,21.98,27.606,17.332,222.991,45.763,37.135,34.946,189.016,20.774,11.814,71.551,6.917004,7.756,2.074
1988,12.35,71.544,23.606,9.706407,25.329,26.25486,27.549,7.6606,1.816,6.760001,193.818,82.502,22.568,28.16,17.628,225.236,48.797,41.136,41.411,212.831,23.459,13.118,77.554,7.058201,8.302,2.23
1989,12.591,71.308,24.21,10.27073,25.921,23.293,27.887,7.945941,2.309,7.261,202.05,80.533,23.704,27.958,18.42,227.651,54.065,44.197,47.12099,212.949,27.675,14.788,79.717,7.755054,8.279,2.263
1990,11.745,70.944,24.683,10.25889,25.85,23.45166,30.144,6.679068,2.458,6.563,200.368,72.992,24.299,27.275,18.225,222.811,55.37,46.17,49.914,211.96,35.097,14.786,84.445,7.357902,8.611,2.506
