time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,65422166.74125637,865864705.3408177,56827327.301231064,28197124.844845425,70981812.07738729,78978252.55401854,38057245.96573806,58534732.6465847,30289559.47138946,27862601.15455024,733178864.4350548,68033274.98255713,19533319.667598978,24518703.76148132,12944808.778850378,67997525.63112071,102414057.78816798,188648775.6394061,18219883.145904653,263535518.19955644,63870816.94417174,41926138.213652454,165033210.10459262,35828246.3052246,59376775.97428675,18126068.76794857
1972,5581122.1256250795,60940481.78162779,5999185.893446989,1547187.1394564058,8400995.63495546,1719251.2503635653,2573205.300640565,2245725.9766659555,761161.0189816218,105615.88345513665,59606008.40245894,2779457.8140977584,1716978.3875648305,687676.8145413377,514174.1231583341,2115623.366238252,21884826.495633874,4216583.674229717,665972.099985552,7496121.155840279,1794792.3341612297,1741941.4397528796,20822875.0738031,883606.0431089596,211720.6618133128,621500.263775274
1973,2649156.8496877532,59337775.700393155,5325013.129896243,1403089.1976665321,7266783.883861069,3597366.173655431,521837.8501637125,2217095.8441029666,899795.6358017781,504816.29720202513,69883317.93517005,2836241.8281416176,804421.6506693234,882662.7393711178,554119.7561136945,3290773.324124785,430889.80969882925,4248150.809154168,991785.3110460993,8074652.66187883,2380236.585114754,1730287.2892241296,16438479.57891583,2455340.5838368293,1542540.0594123844,858209.0183766712
1974,1915230.407484748,11089317.853361256,2587900.60459599,721718.2284444127,6229710.563955767,1752836.8663704242,0.0,2418804.931005368,1248089.520740712,643721.1608896538,40703283.52037345,5459636.889342598,758705.6630276948,676854.996177685,546626.4257252256,2054216.6596448256,0.0,6510825.646191278,1056167.418510234,7666371.8807805,1652486.1316308582,1819073.3003986801,5419944.65617082,3837071.9647951596,2304622.9743392514,751657.8703304805
1975,5410708.024525034,14457106.471109848,4925845.014843553,1168886.8132420315,7095074.306221515,6613536.28326144,2394569.1107586008,2524756.4832524257,1568630.417971113,809729.3437776837,25059039.139087066,3690282.3572134734,1357941.6550437564,1170363.261514977,785086.6872319903,3929684.4764643796,2892500.609082365,9422095.164708603,786974.8259186051,7432579.297634403,2632230.0617663977,2283319.8753113323,20015867.25970011,1979714.3997190548,1842837.5492560863,671237.6745690879
1976,8632963.32857869,74977319.77502288,4846696.483570123,1540509.5350434368,10653997.079082122,1575549.4082105218,2743092.9592200727,3045439.933631819,1559904.7248504926,1264058.0257855142,70673697.91943023,4864887.341376343,2476621.5189550314,1056478.0952339072,687609.6663920184,3883826.4771541706,21361432.032962717,7052201.16057755,1245186.172653366,7365131.276590807,3155266.0246028,2092960.4722661083,14728256.100802064,2258096.5913173356,2929479.5722137736,642346.7591763061
1977,4662698.178193192,69430571.59222767,1600903.6875116543,2245149.306722544,6113092.949071593,6887596.261316964,3642549.0789580257,3938334.715357875,1428539.920484906,624071.1605543285,67543366.27539504,5750493.4881188525,1674887.0453835758,905843.8161703832,621340.296737933,3375714.2489983873,27352002.396016095,7332765.137725456,1367342.5440968515,8970329.596996764,3549930.6469030506,2282320.496162057,22116283.935429532,1278496.9832483397,2406475.350827144,747112.5889324391
1978,5301962.08045948,93105332.8379736,8552436.856207285,2216723.1188608413,9242044.609927407,5216584.559606101,4980040.128925348,1438249.9717498329,1372663.6091877809,453165.4818631787,66076984.7503819,6454982.811598502,642915.5877983235,969979.7876547214,691564.2352696453,3488250.2354282183,12381815.462878894,8755224.486688701,1327120.3647305877,8905083.501679134,4190569.6446398473,2552756.768605569,21722719.73415536,1547843.428325493,3280305.369124707,726845.0324077073
1979,2694711.150546032,59715276.79549047,9244892.0725719,1025126.9163432687,9398394.769880865,5293415.238420231,1124678.5800325566,1439334.9582434043,1508223.4353492467,190013.22089128365,80483442.56560722,4170020.957520064,803773.4894238798,1175976.71774299,793678.5023878613,4114080.5861644037,0.0,6052286.981341772,1304825.6253861603,7743473.091067437,3230926.7067391234,2092819.553806683,27332124.530356914,1438581.7821781402,3176479.630898527,843363.6648632662
1980,4021668.0612787814,27863762.065378297,4975594.216354635,968699.8800226988,11242505.503669169,8021478.116822171,392838.9885646895,2126644.883040617,1504633.5747391116,446663.0198777827,48010806.03253493,2121052.7814910957,1538055.5975189041,1789546.073641138,1108701.3965135212,6267073.643633443,0.0,8195388.253158666,1272272.7722613935,9429489.445872797,3973668.823327478,2108329.973214393,25275916.578960262,3110428.6569200233,3390284.7802501004,995246.5406557347
