t,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1970,249633337.54497215,1598736779.1711113,36739656.71980555,37772577.245951965,47674082.59852613,118975853.67392193,41777777.06947659,22014250.16176146,8853874.672700278,39055737.606371425,1723238031.4687169,290543606.3205555,39915939.829472885,,,486525717.1,63716059.65421494,121955718.25764287,55253898.47505556,101095414.4858118,62059542.471072175,6112147.780516667,437257959.4357778,108993382.31055397,16227922.059241753,11509508.505290978
1971,260737559.446,1705300182.002,37385201.421,41550486.71837,51491415.529,115853360.3061,39836443.105,26869489.680781,9525988.1996,39459675.58,1760513462.8058,311890362.569,39950379.77,,,512489406.1,79219514.7636,121509458.982,62750931.79500001,179318724.4812,66471102.9688,7092882.896000001,482345920.40799993,109490954.99159299,16461205.762600001,13278934.5694
1972,277901027.35599995,1723348451.922,43212105.881,33138858.441432003,59371737.931,113944828.5127,50290589.061,29599362.85696,8945952.087000001,40945524.74,1860039321.3151002,324255139.684,43876136.139,,,532758010.50000006,105842737.3382,124935470.997,57985462.102,214443575.9052,68365503.51040001,9205021.982,542590450.5640001,113906623.36894001,18167091.9645,15170934.2167
1973,295741175.188,1822214232.0149999,50134350.827999994,39210849.286102004,70106550.481,111717610.06205,56903432.246,33882438.06249,9286066.466195999,43810907.74,1908295551.442,355694462.162,50788149.57,,,559324095.5,115234964.86872001,125327708.369,71336845.19600001,206241144.1717,75728389.95889999,11014770.344999999,632661857.194,121426684.62365,19862332.2036,15918048.525700001
1974,333772581.164,1790615029.615,54539670.925,45699907.03646,79439937.81099999,112937935.18649,66810449.081999995,35270411.91047,10609277.90198,46430211.446,1815208212.552,383591396.139,60953679.074,,,587419363.3,145811552.6131,111569541.69899999,63861599.004,215718677.5537,73132736.14760001,13116253.328999998,579067143.409,129386341.215,22275631.3868,14462730.2138
1975,338886255.666,1511267820.805,59524679.024000004,44527911.471300006,93817780.03100002,108547354.8487,76345300.976,44045535.91969,10964247.937269999,46495302.03,1724795786.0644002,405762626.806,62647050.142000005,,,623466381.7,171294252.4931,111754007.899,74043309.907,248331885.71929997,84845822.5573,13724024.552000003,502020929.4,125989523.82713799,20665563.816299997,13053902.781299999
1976,343273168.10800004,1482439300.9729998,63374703.967,45247164.689,106681665.71900001,114821576.90591998,88592187.9,45708901.83428,7595387.201119999,45962803.163,1713440912.8909001,462906487.745,71968680.95,,,634647919.2,200584444.55319998,132155765.30000001,83998378.573,376999681.81479996,94224085.2589,16510925.207000002,510018178.354,118778398.971507,21361952.6485,9514782.299932001
1977,387313453.08100003,1599995733.21,61518157.057000004,47272116.88656,107487197.52099998,123605057.9799,107304349.24599999,65603860.10151001,8511790.47528,43709911.958,1672801132.6647599,502760674.32500005,79394995.20300001,,,648966626.2,219993941.9052,139042084.71,108191728.123,429452155.9011,94836568.0525,16770213.956110002,551161068.836,121004426.04718,24286654.726299997,10268618.47123
1978,399361103.513,1804276409.7649999,67804157.40900001,50820856.018123,139555245.961,135830600.4894,107746477.576,65188473.16308001,8563363.86792,44924087.566,1690068641.0531,529877733.11800003,90757194.41299999,,,648489368.3,279499333.3926,149538374.742,119657846.71900001,493424898.8891999,108058658.524,20953777.859200004,629741656.2,118665302.49619798,23957696.9339,8973676.79315
1979,400032690.94399995,1775251557.393383,77573919.19,49037053.436594,162247042.30600002,153975590.85840002,118350913.006,66945297.83171001,7877582.57773,46601307.443,1716029732.10058,523810404.69600004,83738539.447,,,628378269.7,302145232.8741,149332974.5,121983179.78100002,540920639.7457999,109777007.3715,22515329.7454,629663817.9640001,123447440.47403,28587072.2875,9970302.00893
