,,air_pas,air_freight,rail_reg,rail_hst,rail_freight,sea_shipping_small,sea_shipping_med,sea_shipping_large,sea_shipping_vl,inland_shipping,bicycle
2020,steel,0.09,0.09,0.605,0.5964,0.9445,0.886,0.886,0.886,0.886,0.886,0.34
2020,aluminium,0.68,0.68,0.3146,0.2517,0.0541,0.0125,0.0125,0.0125,0.0125,0.0125,0.46
2020,copper,0.0046,0,0.0014,0.0131,0.0015,0.0032,0.0032,0.0032,0.0032,0.0032,0
2020,plastics,0.0525,0.0525,0.0209,0.0328,0,0.011,0.011,0.011,0.011,0.011,0.12
2020,glass,0,0,0.0037,0.0185,0,0.0008,0.0008,0.0008,0.0008,0.0008,0
2020,titanium,0.06,0.06,0,0,0,0,0,0,0,0,0
2020,wood,0,0,0,0,0,0.006,0.006,0.006,0.006,0.006,0
2020,rubber,0,0,0,0,0,0,0,0,0,0,0.07
2020,lead,0,0,0,0,0,0,0,0,0,0,0
2020,cobalt,0,0,0,0,0,0,0,0,0,0,0
2020,neodymium,0,0,0,0,0,0,0,0,0,0,0
2020,lithium,0,0,0,0,0,0,0,0,0,0,0
2020,nickel,0,0,0,0,0,0,0,0,0,0,0
2020,manganese,0,0,0,0,0,0,0,0,0,0,0
2050,steel,0.09,0.09,0.605,0.5964,0.9445,0.886,0.886,0.886,0.886,0.886,0.34
2050,aluminium,0.68,0.68,0.3146,0.2517,0.0541,0.0125,0.0125,0.0125,0.0125,0.0125,0.46
2050,copper,0.0046,0,0.0014,0.0131,0.0015,0.0032,0.0032,0.0032,0.0032,0.0032,0
2050,plastics,0.0525,0.0525,0.0209,0.0328,0,0.011,0.011,0.011,0.011,0.011,0.12
2050,glass,0,0,0.0037,0.0185,0,0.0008,0.0008,0.0008,0.0008,0.0008,0
2050,titanium,0.06,0.06,0,0,0,0,0,0,0,0,0
2050,wood,0,0,0,0,0,0.006,0.006,0.006,0.006,0.006,0
2050,rubber,0,0,0,0,0,0,0,0,0,0,0.07
2050,lead,0,0,0,0,0,0,0,0,0,0,0
2050,cobalt,0,0,0,0,0,0,0,0,0,0,0
2050,neodymium,0,0,0,0,0,0,0,0,0,0,0
2050,lithium,0,0,0,0,0,0,0,0,0,0,0
2050,nickel,0,0,0,0,0,0,0,0,0,0,0
2050,manganese,0,0,0,0,0,0,0,0,0,0,0
