yr,type,LCV,MFT,HFT,midi_bus,reg_bus,car
2020,ICE,1728,8229,15947,7324,14855,1409
2020,HEV,1728,8229,15947,7324,14855,1460
2020,PHEV,1728,8229,15947,7324,14855,1709
2020,BEV,1728,8229,15947,7324,14855,1760
2020,FCV,1728,8229,15947,7324,14855,1162
2020,Trolley,0,0,0,0,14855,0
2050,ICE,1598.24,7611.07,14749.50,6774.02,13739.50,1303.19
2050,HEV,1580.84,7528.22,14588.95,6700.29,13589.94,1335.67
2050,PHEV,1576.50,7507.55,14548.91,6681.90,13552.64,1559.17
2050,BEV,1583.25,7539.70,14611.20,6710.51,13610.67,1612.57
2050,FCV,1564.46,7450.21,14437.79,6630.86,13449.13,1052.03
2050,Trolley,0.00,0.00,0.00,0.00,13613.57,0.00
