Time,type_data,unit,Region,category,technology,sub_technology,value,min,max
2022,inflow,kWh/vehicle,World,EV_battery,Cars,Cars - BEV,61,55,90
2022,inflow,kWh/vehicle,World,EV_battery,Cars,Cars - HEV,5.286666666666667,5.286666666666667,5.286666666666667
2022,inflow,kWh/vehicle,World,EV_battery,Cars,Cars - PHEV,14,14,14
2022,inflow,kWh/vehicle,World,EV_battery,Heavy Freight Trucks,Heavy Freight Trucks - BEV,311,190,390
2022,inflow,kWh/vehicle,World,EV_battery,Heavy Freight Trucks,Heavy Freight Trucks - HEV,22.179791481810113,22.179791481810113,22.179791481810113
2022,inflow,kWh/vehicle,World,EV_battery,Heavy Freight Trucks,Heavy Freight Trucks - PHEV,47.74001774622893,47.74001774622893,47.74001774622893
2022,inflow,kWh/vehicle,World,EV_battery,Light Commercial Vehicles,Light Commercial Vehicles - BEV,100,100,100
2022,inflow,kWh/vehicle,World,EV_battery,Light Commercial Vehicles,Light Commercial Vehicles - HEV,10.118110236220472,10.118110236220472,10.118110236220472
2022,inflow,kWh/vehicle,World,EV_battery,Light Commercial Vehicles,Light Commercial Vehicles - PHEV,21.732283464566933,21.732283464566933,21.732283464566933
2022,inflow,kWh/vehicle,World,EV_battery,Medium Freight Trucks,Medium Freight Trucks - BEV,92,50,110
2022,inflow,kWh/vehicle,World,EV_battery,Medium Freight Trucks,Medium Freight Trucks - HEV,6.644444444444444,6.644444444444444,6.644444444444444
2022,inflow,kWh/vehicle,World,EV_battery,Medium Freight Trucks,Medium Freight Trucks - PHEV,14.311111111111112,14.311111111111112,14.311111111111112
2022,inflow,kWh/vehicle,World,EV_battery,Midi Buses,Midi Buses - BEV,150,150,150
2022,inflow,kWh/vehicle,World,EV_battery,Midi Buses,Midi Buses - HEV,9.697802197802197,9.697802197802197,9.697802197802197
2022,inflow,kWh/vehicle,World,EV_battery,Midi Buses,Midi Buses - PHEV,20.87912087912088,20.87912087912088,20.87912087912088
2022,inflow,kWh/vehicle,World,EV_battery,Regular Buses,Regular Buses - BEV,300,180,560
2022,inflow,kWh/vehicle,World,EV_battery,Regular Buses,Regular Buses - HEV,21.544585987261147,21.544585987261147,21.544585987261147
2022,inflow,kWh/vehicle,World,EV_battery,Regular Buses,Regular Buses - PHEV,46.361464968152866,46.361464968152866,46.361464968152866
2022,inflow,kWh/vehicle,World,EV_battery,Regular Buses,Regular Buses - Trolley,28.184713375796182,28.184713375796182,28.184713375796182
2030,inflow,kWh/vehicle,World,EV_battery,Cars,Cars - BEV,63,55,90
2030,inflow,kWh/vehicle,World,EV_battery,Cars,Cars - HEV,5.46,5.46,5.46
2030,inflow,kWh/vehicle,World,EV_battery,Cars,Cars - PHEV,22.5,20,25
2030,inflow,kWh/vehicle,World,EV_battery,Heavy Freight Trucks,Heavy Freight Trucks - BEV,650,210,780
2030,inflow,kWh/vehicle,World,EV_battery,Heavy Freight Trucks,Heavy Freight Trucks - HEV,46.356477373558114,46.356477373558114,46.356477373558114
2030,inflow,kWh/vehicle,World,EV_battery,Heavy Freight Trucks,Heavy Freight Trucks - PHEV,99.77817213842059,99.77817213842059,99.77817213842059
