Time,source,type_data,unit,Region,category,technology,low-nickel,high-nickel,LFP,Na-ion
2005,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.568245125,0.191891055,0.239863819,0
2006,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.568245125,0.191891055,0.239863819,0
2007,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.568245125,0.191891055,0.239863819,0
2008,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.568245125,0.191891055,0.239863819,0
2009,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.568245125,0.191891055,0.239863819,0
2010,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.745762712,0.11299435,0.141242938,0
2011,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.654218534,0.161364684,0.184416782,0
2012,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.540551338,0.219736316,0.239712345,0
2013,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.475753604,0.229357798,0.294888598,0
2014,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.420625724,0.220162225,0.359212051,0
2015,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.503236618,0.217833043,0.278930339,0
2016,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.440135113,0.246851811,0.313013075,0
2017,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.450294358,0.268096674,0.281608967,0
2018,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.476007325,0.294089969,0.229902706,0
2019,Liang_2023,inflow,share,World,EV_battery_all_modes,battery,0.291125345,0.432984721,0.275889934,0
2020,own calculation,inflow,share,World,EV_battery_all_modes,battery,0.291125345,0.432984721,0.275889934,0
2021,own calculation,inflow,share,World,EV_battery_all_modes,battery,0.291125345,0.432984721,0.320593289,0
2022,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,0.09,0.54,0.38,0
2023,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,0.07,0.52,0.41,0
2024,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,0.04,0.46,0.5,0
2030,own assumption,inflow,share,World,EV_battery_all_modes,battery,0,0.37,0.62,0.01
2035,own assumption,inflow,share,World,EV_battery_all_modes,battery,0,0.28,0.7,0.02
2040,own assumption,inflow,share,World,EV_battery_all_modes,battery,0,0.17,0.8,0.03
2045,own assumption,inflow,share,World,EV_battery_all_modes,battery,0,0.16,0.8,0.04
2050,own assumption,inflow,share,World,EV_battery_all_modes,battery,0,0.15,0.8,0.05
