Year,Large,Medium,Very Large
1970,1375,15496,244
1971,1455,16619,365
1972,1560,17623,491
1973,1674,18540,648
1974,1814,19467,831
1975,1904,20271,1027
1976,1972,21160,1188
1977,2043,22286,1282
1978,2064,22665,1317
1979,2126,22895,1326
1980,2259,23188,1314
1981,2423,23625,1313
1982,2511,23997,1283
1983,2587,24297,1228
1984,2683,24205,1194
1985,2783,24152,1125
1986,2795,23790,1103
1987,2904,23575,1098
1988,2999,23579,1117
1989,3123,23849,1168
1990,3245,24268,1222
1991,3357,24707,1272
1992,3447,25050,1315
1993,3551,25295,1352
1994,3700,25538,1350
1995,3894,25875,1386
1996,4070,26186,1456
1997,4276,26449,1525
1998,4480,26653,1556
1999,4617,26755,1587
2000,4815,26774,1687
2001,5091,26679,1773
2002,5318,26789,1860
2003,5574,26783,1992
2004,5948,27078,2180
2005,6421,27848,2406
2006,6902,28688,2666
2007,7433,29753,2926
2008,8015,31098,3209
2009,8393,31960,3566
2010,9061,32747,4026
2011,9721,33184,4477
2012,10219,33657,4809
2013,10623,33827,5035
2014,10929,34074,5288
2015,11318,34519,5523
2016,11535,34880,5748
2017,11776,35080,6039
2018,11978,35400,6263
2019,12340,35635,6530
2020,12707,35908,6736
2021,13000,36189,6999
2022,13388,36711,7234
2023,13805,37142,7517
2024,14341,37624,7882
2025,14873,38162,8289
