Time,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,kg/count,World,vehicles,cars,ICE,steel,870.3369092426666,860,891.010727728
2020,kg/count,World,vehicles,cars,ICE,aluminium,145.37830096666667,136.1349029,150
2020,kg/count,World,vehicles,cars,ICE,copper,21.983064568333333,20,25.949193705000003
2020,kg/count,World,vehicles,cars,ICE,plastics,175.44050216399998,175.44050216399998,175.44050216399998
2020,kg/count,World,vehicles,cars,ICE,glass,37.44909241,37.44909241,37.44909241
2020,kg/count,World,vehicles,cars,ICE,rubber,43.989013815999996,43.989013815999996,43.989013815999996
2020,kg/count,World,vehicles,cars,ICE,lead,11.257242134,11.257242134,11.257242134
2020,kg/count,World,vehicles,cars,ICE,cobalt,0.0332524,0.028,0.039
2020,kg/count,World,vehicles,cars,ICE,neodymium,0.065,0.028,0.21
2020,kg/count,World,vehicles,cars,ICE,lithium,0.005533333333333334,0.0014,0.01
2020,kg/count,World,vehicles,cars,ICE,manganese,10.6,6,10.6
2020,kg/count,World,vehicles,cars,ICE,platinum,0.0030181481481481474,0.0001,0.0081
2020,kg/count,World,vehicles,cars,ICE,magnesium,6,3,9
2020,kg/count,World,vehicles,cars,ICE,molybdenum,0.305,0.305,0.63
2020,kg/count,World,vehicles,cars,ICE,niobium,0.128,0.063,0.128
2020,kg/count,World,vehicles,cars,ICE,silver,0.012,0.012,0.03
2020,kg/count,World,vehicles,cars,ICE,tantalum,0.007933333333333332,0.0058,0.011
2020,kg/count,World,vehicles,cars,ICE,palladium,0.0042,0.0012,0.006
2020,kg/count,World,vehicles,cars,ICE,dysprosium,0.007,0.00083,0.027
2020,kg/count,World,vehicles,cars,ICE,praseodymium,0.00297,0.0008100000000000001,0.0056
2020,kg/count,World,vehicles,cars,ICE,samarium,0.00053,0.00043,0.00073
2020,kg/count,World,vehicles,cars,ICE,cerium,0.020999999999999998,0.00029,0.037
2020,kg/count,World,vehicles,cars,ICE,gallium,0.0003533333333333334,8e-05,0.0005600000000000001
2020,kg/count,World,vehicles,cars,ICE,indium,0.00019333333333333333,5e-05,0.00038
2020,kg/count,World,vehicles,cars,ICE,yttrium,0.0001566666666666667,2e-05,0.00023
2020,kg/count,World,vehicles,cars,ICE,lanthanum,0.0325,0,0.035
2020,kg/count,World,vehicles,cars,ICE,erbium,0.00011999999999999999,0,0.00017999999999999998
2020,kg/count,World,vehicles,cars,ICE,ytterbium,0.00010666666666666668,0,0.00016
2020,kg/count,World,vehicles,cars,ICE,rhodium,0.4,0,0.8
2020,kg/count,World,vehicles,cars,ICE,silicon,13.3,13.3,13.3
2020,kg/count,World,vehicles,cars,HEV,steel,891.63082416,860,923.2616483200001
2020,kg/count,World,vehicles,cars,HEV,aluminium,160.53121299999998,141.062426,180
2020,kg/count,World,vehicles,cars,HEV,copper,27.44422385,26.888447700000004,28
2020,kg/count,World,vehicles,cars,HEV,plastics,181.79072616,181.79072616,181.79072616
2020,kg/count,World,vehicles,cars,HEV,glass,38.8045954,38.8045954,38.8045954
2020,kg/count,World,vehicles,cars,HEV,wood,0,0,0
2020,kg/count,World,vehicles,cars,HEV,rubber,45.581235039999996,45.581235039999996,45.581235039999996
2020,kg/count,World,vehicles,cars,HEV,lead,11.664707960000001,11.664707960000001,11.664707960000001
2020,kg/count,World,vehicles,cars,HEV,cobalt,0.034456,0.034456,0.034456
2020,kg/count,World,vehicles,cars,HEV,neodymium,0.207,0.207,0.53188
2020,kg/count,World,vehicles,cars,HEV,lithium,0.005533333333333334,0.0014,0.01
2020,kg/count,World,vehicles,cars,HEV,manganese,10.8,10.8,10.8
2020,kg/count,World,vehicles,cars,HEV,platinum,0.0030181481481481474,0.0001,0.0081
2020,kg/count,World,vehicles,cars,HEV,magnesium,6.1,6.1,6.1
2020,kg/count,World,vehicles,cars,HEV,molybdenum,0.305,0.305,0.305
2020,kg/count,World,vehicles,cars,HEV,niobium,0.128,0.10914,0.128
2020,kg/count,World,vehicles,cars,HEV,silver,0.013,0.013,0.013
2020,kg/count,World,vehicles,cars,HEV,tantalum,0.01083,0.01083,0.01083
2020,kg/count,World,vehicles,cars,HEV,palladium,0.0053,0.00181,0.0053
2020,kg/count,World,vehicles,cars,HEV,dysprosium,0.095,0.095,0.12966
2020,kg/count,World,vehicles,cars,HEV,praseodymium,0.00401,0.00401,0.00401
2020,kg/count,World,vehicles,cars,HEV,samarium,0.0014,0.0014,0.0014
2020,kg/count,World,vehicles,cars,HEV,cerium,0.03,0.00031,0.03
2020,kg/count,World,vehicles,cars,HEV,gallium,0.00057,0.00057,0.00057
2020,kg/count,World,vehicles,cars,HEV,indium,8e-05,8e-05,8e-05
2020,kg/count,World,vehicles,cars,HEV,yttrium,0.00023,0.00023,0.00023
2020,kg/count,World,vehicles,cars,HEV,lanthanum,0.029,0.006679999999999999,0.029
2020,kg/count,World,vehicles,cars,HEV,erbium,0.00017999999999999998,0.00017999999999999998,0.00017999999999999998
2020,kg/count,World,vehicles,cars,HEV,ytterbium,0.00016,0.00016,0.00016
2020,kg/count,World,vehicles,cars,HEV,rhodium,0.63,0.63,0.63
2020,kg/count,World,vehicles,cars,HEV,silicon,14.1,14.1,14.1
2020,kg/count,World,vehicles,cars,PHEV,steel,838.2454389165,828.2896770349329,858.1569626796345
2020,kg/count,World,vehicles,cars,PHEV,aluminium,218.637021439,204.7357101165187,225.58767710024063
2020,kg/count,World,vehicles,cars,PHEV,copper,80.6097430685,73.33803966951774,95.15314986646452
2020,kg/count,World,vehicles,cars,PHEV,plastics,173.64439765,173.64439765,173.64439765
2020,kg/count,World,vehicles,cars,PHEV,glass,41.123685799,41.123685799,41.123685799
2020,kg/count,World,vehicles,cars,PHEV,wood,12.734386203000001,12.734386203000001,12.734386203000001
2020,kg/count,World,vehicles,cars,PHEV,rubber,40.255489873,40.255489873,40.255489873
2020,kg/count,World,vehicles,cars,PHEV,lead,2.48767167,2.48767167,2.48767167
2020,kg/count,World,vehicles,cars,PHEV,cobalt,0.030762,0.025902972417028547,0.03607914015228976
2020,kg/count,World,vehicles,cars,PHEV,neodymium,0.24,0.10338461538461535,0.7753846153846152
