year,sector,unit,Type,parameter,value,min,max,distribution
2020,vehicles,years,air_pas,mean,20,15,30,
2020,vehicles,years,air_pas,stdev,0.281,,,fixed
2020,vehicles,years,air_pas,shape,0,,,fixed
2020,vehicles,years,air_pas,scale,0,,,fixed
2020,vehicles,years,air_freight,mean,21,16,31,
2020,vehicles,years,air_freight,stdev,0.281,,,fixed
2020,vehicles,years,air_freight,shape,0,,,fixed
2020,vehicles,years,air_freight,scale,0,,,fixed
2020,vehicles,years,rail_reg,mean,35,30,45,
2020,vehicles,years,rail_reg,stdev,0.266,,,fixed
2020,vehicles,years,rail_reg,shape,0,,,fixed
2020,vehicles,years,rail_reg,scale,0,,,fixed
2020,vehicles,years,rail_hst,mean,30,25,40,
2020,vehicles,years,rail_hst,stdev,0.266,,,fixed
2020,vehicles,years,rail_hst,shape,0,,,fixed
2020,vehicles,years,rail_hst,scale,0,,,fixed
2020,vehicles,years,rail_freight,mean,38,33,48,
2020,vehicles,years,rail_freight,stdev,0.266,,,fixed
2020,vehicles,years,rail_freight,shape,0,,,fixed
2020,vehicles,years,rail_freight,scale,0,,,fixed
2020,vehicles,years,sea_shipping_small,mean,26,21,36,
2020,vehicles,years,sea_shipping_small,stdev,0.266,,,fixed
2020,vehicles,years,sea_shipping_small,shape,0,,,fixed
2020,vehicles,years,sea_shipping_small,scale,0,,,fixed
2020,vehicles,years,sea_shipping_med,mean,26,21,36,
2020,vehicles,years,sea_shipping_med,stdev,0.266,,,fixed
2020,vehicles,years,sea_shipping_med,shape,0,,,fixed
2020,vehicles,years,sea_shipping_med,scale,0,,,fixed
2020,vehicles,years,sea_shipping_large,mean,26,21,36,
2020,vehicles,years,sea_shipping_large,stdev,0.266,,,fixed
2020,vehicles,years,sea_shipping_large,shape,0,,,fixed
2020,vehicles,years,sea_shipping_large,scale,0,,,fixed
2020,vehicles,years,sea_shipping_vl,mean,26,21,36,
2020,vehicles,years,sea_shipping_vl,stdev,0.266,,,fixed
2020,vehicles,years,sea_shipping_vl,shape,0,,,fixed
2020,vehicles,years,sea_shipping_vl,scale,0,,,fixed
2020,vehicles,years,LCV,mean,14,9,24,
2020,vehicles,years,LCV,stdev,0.196,,,fixed
2020,vehicles,years,LCV,shape,0,,,fixed
2020,vehicles,years,LCV,scale,0,,,fixed
2020,vehicles,years,MFT,mean,8,3,18,
2020,vehicles,years,MFT,stdev,0.266,,,fixed
2020,vehicles,years,MFT,shape,0,,,fixed
2020,vehicles,years,MFT,scale,0,,,fixed
2020,vehicles,years,HFT,mean,8,3,18,
2020,vehicles,years,HFT,stdev,0.266,,,fixed
2020,vehicles,years,HFT,shape,0,,,fixed
2020,vehicles,years,HFT,scale,0,,,fixed
2020,vehicles,years,midi_bus,mean,13,8,23,
2020,vehicles,years,midi_bus,stdev,0.322,,,fixed
2020,vehicles,years,midi_bus,shape,0,,,fixed
2020,vehicles,years,midi_bus,scale,0,,,fixed
2020,vehicles,years,reg_bus,mean,13,8,23,
2020,vehicles,years,reg_bus,stdev,0.322,,,fixed
2020,vehicles,years,reg_bus,shape,0,,,fixed
2020,vehicles,years,reg_bus,scale,0,,,fixed
2020,vehicles,years,inland_shipping,mean,40,35,50,
2020,vehicles,years,inland_shipping,stdev,0.266,,,fixed
2020,vehicles,years,inland_shipping,shape,0,,,fixed
2020,vehicles,years,inland_shipping,scale,0,,,fixed
2020,vehicles,years,bicycle,mean,10,5,20,
2020,vehicles,years,bicycle,stdev,0.266,,,fixed
2020,vehicles,years,bicycle,shape,0,,,fixed
2020,vehicles,years,bicycle,scale,0,,,fixed
2020,vehicles,years,car,mean,14.74,9.74,24.74,
2020,vehicles,years,car,stdev,0.4,,,fixed
2020,vehicles,years,car,shape,2.01,,,fixed
2020,vehicles,years,car,scale,16.07,,,fixed
2050,vehicles,years,air_pas,mean,20,15,30,
2050,vehicles,years,air_pas,stdev,0.281,,,fixed
2050,vehicles,years,air_pas,shape,0,,,fixed
2050,vehicles,years,air_pas,scale,0,,,fixed
2050,vehicles,years,air_freight,mean,21,16,31,
2050,vehicles,years,air_freight,stdev,0.281,,,fixed
2050,vehicles,years,air_freight,shape,0,,,fixed
2050,vehicles,years,air_freight,scale,0,,,fixed
2050,vehicles,years,rail_reg,mean,35,30,45,
2050,vehicles,years,rail_reg,stdev,0.266,,,fixed
2050,vehicles,years,rail_reg,shape,0,,,fixed
2050,vehicles,years,rail_reg,scale,0,,,fixed
2050,vehicles,years,rail_hst,mean,30,25,40,
2050,vehicles,years,rail_hst,stdev,0.266,,,fixed
2050,vehicles,years,rail_hst,shape,0,,,fixed
2050,vehicles,years,rail_hst,scale,0,,,fixed
2050,vehicles,years,rail_freight,mean,38,33,48,
2050,vehicles,years,rail_freight,stdev,0.266,,,fixed
2050,vehicles,years,rail_freight,shape,0,,,fixed
2050,vehicles,years,rail_freight,scale,0,,,fixed
2050,vehicles,years,sea_shipping_small,mean,26,21,36,
2050,vehicles,years,sea_shipping_small,stdev,0.266,,,fixed
2050,vehicles,years,sea_shipping_small,shape,0,,,fixed
2050,vehicles,years,sea_shipping_small,scale,0,,,fixed
