year,sector,unit,Type,parameter,value,min,max,distribution
2020,vehicles,years,LCV,mean,14,9,24,
2020,vehicles,years,LCV,stdev,0.196,,,fixed
2020,vehicles,years,LCV,shape,0,,,fixed
2020,vehicles,years,LCV,scale,0,,,fixed
2020,vehicles,years,MFT,mean,8,3,18,
2020,vehicles,years,MFT,stdev,0.266,,,fixed
2020,vehicles,years,MFT,shape,0,,,fixed
2020,vehicles,years,MFT,scale,0,,,fixed
2020,vehicles,years,HFT,mean,8,3,18,
2020,vehicles,years,HFT,stdev,0.266,,,fixed
2020,vehicles,years,HFT,shape,0,,,fixed
2020,vehicles,years,HFT,scale,0,,,fixed
2020,vehicles,years,midi_bus,mean,13,8,23,
2020,vehicles,years,midi_bus,stdev,0.322,,,fixed
2020,vehicles,years,midi_bus,shape,0,,,fixed
2020,vehicles,years,midi_bus,scale,0,,,fixed
2020,vehicles,years,reg_bus,mean,13,8,23,
2020,vehicles,years,reg_bus,stdev,0.322,,,fixed
2020,vehicles,years,reg_bus,shape,0,,,fixed
2020,vehicles,years,reg_bus,scale,0,,,fixed
2020,vehicles,years,bicycle,mean,10,5,20,
2020,vehicles,years,bicycle,stdev,0.266,,,fixed
2020,vehicles,years,bicycle,shape,0,,,fixed
2020,vehicles,years,bicycle,scale,0,,,fixed
2020,vehicles,years,car,mean,14.74,9.74,24.74,
2020,vehicles,years,car,stdev,0.4,,,fixed
2020,vehicles,years,car,shape,2.01,,,fixed
2020,vehicles,years,car,scale,16.07,,,fixed
2050,vehicles,years,LCV,mean,14,9,24,
2050,vehicles,years,LCV,stdev,0.196,,,fixed
2050,vehicles,years,LCV,shape,0,,,fixed
2050,vehicles,years,LCV,scale,0,,,fixed
2050,vehicles,years,MFT,mean,8,3,18,
2050,vehicles,years,MFT,stdev,0.266,,,fixed
2050,vehicles,years,MFT,shape,0,,,fixed
2050,vehicles,years,MFT,scale,0,,,fixed
2050,vehicles,years,HFT,mean,8,3,18,
2050,vehicles,years,HFT,stdev,0.266,,,fixed
2050,vehicles,years,HFT,shape,0,,,fixed
2050,vehicles,years,HFT,scale,0,,,fixed
2050,vehicles,years,midi_bus,mean,13,8,23,
2050,vehicles,years,midi_bus,stdev,0.322,,,fixed
2050,vehicles,years,midi_bus,shape,0,,,fixed
2050,vehicles,years,midi_bus,scale,0,,,fixed
2050,vehicles,years,reg_bus,mean,13,8,23,
2050,vehicles,years,reg_bus,stdev,0.322,,,fixed
2050,vehicles,years,reg_bus,shape,0,,,fixed
2050,vehicles,years,reg_bus,scale,0,,,fixed
2050,vehicles,years,bicycle,mean,10,5,20,
2050,vehicles,years,bicycle,stdev,0.266,,,fixed
2050,vehicles,years,bicycle,shape,0,,,fixed
2050,vehicles,years,bicycle,scale,0,,,fixed
2050,vehicles,years,car,mean,14.74,9.74,24.74,
2050,vehicles,years,car,stdev,0.4,,,fixed
2050,vehicles,years,car,shape,2.01,,,fixed
2050,vehicles,years,car,scale,16.07,,,fixed
