time,category,unit,technology,material,min,max
2020,transport,fraction,air_freight,aluminium,0.612,0.748
2020,transport,fraction,air_freight,cobalt,0.0,0.0
2020,transport,fraction,air_freight,copper,0.0,0.0
2020,transport,fraction,air_freight,glass,0.0,0.0
2020,transport,fraction,air_freight,lead,0.0,0.0
2020,transport,fraction,air_freight,lithium,0.0,0.0
2020,transport,fraction,air_freight,manganese,0.0,0.0
2020,transport,fraction,air_freight,neodymium,0.0,0.0
2020,transport,fraction,air_freight,nickel,0.0,0.0
2020,transport,fraction,air_freight,plastics,0.04725,0.05775
2020,transport,fraction,air_freight,rubber,0.0,0.0
2020,transport,fraction,air_freight,steel,0.081,0.099
2020,transport,fraction,air_freight,titanium,0.054,0.066
2020,transport,fraction,air_freight,wood,0.0,0.0
2020,transport,fraction,air_pas,aluminium,0.612,0.748
2020,transport,fraction,air_pas,cobalt,0.0,0.0
2020,transport,fraction,air_pas,copper,0.00414,0.00506
2020,transport,fraction,air_pas,glass,0.0,0.0
2020,transport,fraction,air_pas,lead,0.0,0.0
2020,transport,fraction,air_pas,lithium,0.0,0.0
2020,transport,fraction,air_pas,manganese,0.0,0.0
2020,transport,fraction,air_pas,neodymium,0.0,0.0
2020,transport,fraction,air_pas,nickel,0.0,0.0
2020,transport,fraction,air_pas,plastics,0.04725,0.05775
2020,transport,fraction,air_pas,rubber,0.0,0.0
2020,transport,fraction,air_pas,steel,0.081,0.099
2020,transport,fraction,air_pas,titanium,0.054,0.066
2020,transport,fraction,air_pas,wood,0.0,0.0
2020,transport,fraction,bicycle,aluminium,0.414,0.506
2020,transport,fraction,bicycle,cobalt,0.0,0.0
2020,transport,fraction,bicycle,copper,0.0,0.0
2020,transport,fraction,bicycle,glass,0.0,0.0
2020,transport,fraction,bicycle,lead,0.0,0.0
2020,transport,fraction,bicycle,lithium,0.0,0.0
2020,transport,fraction,bicycle,manganese,0.0,0.0
2020,transport,fraction,bicycle,neodymium,0.0,0.0
2020,transport,fraction,bicycle,nickel,0.0,0.0
2020,transport,fraction,bicycle,plastics,0.108,0.132
2020,transport,fraction,bicycle,rubber,0.063,0.077
2020,transport,fraction,bicycle,steel,0.306,0.374
2020,transport,fraction,bicycle,titanium,0.0,0.0
2020,transport,fraction,bicycle,wood,0.0,0.0
2020,transport,fraction,inland_shipping,aluminium,0.011,0.014
2020,transport,fraction,inland_shipping,cobalt,0.0,0.0
2020,transport,fraction,inland_shipping,copper,0.00288,0.00352
2020,transport,fraction,inland_shipping,glass,0.00072,0.00088
2020,transport,fraction,inland_shipping,lead,0.0,0.0
2020,transport,fraction,inland_shipping,lithium,0.0,0.0
2020,transport,fraction,inland_shipping,manganese,0.0,0.0
2020,transport,fraction,inland_shipping,neodymium,0.0,0.0
2020,transport,fraction,inland_shipping,nickel,0.0,0.0
2020,transport,fraction,inland_shipping,plastics,0.0099,0.0121
2020,transport,fraction,inland_shipping,rubber,0.0,0.0
2020,transport,fraction,inland_shipping,steel,0.797,0.975
2020,transport,fraction,inland_shipping,titanium,0.0,0.0
2020,transport,fraction,inland_shipping,wood,0.0054,0.0066
2020,transport,fraction,rail_freight,aluminium,0.049,0.059
2020,transport,fraction,rail_freight,cobalt,0.0,0.0
2020,transport,fraction,rail_freight,copper,0.00135,0.00165
2020,transport,fraction,rail_freight,glass,0.0,0.0
2020,transport,fraction,rail_freight,lead,0.0,0.0
2020,transport,fraction,rail_freight,lithium,0.0,0.0
2020,transport,fraction,rail_freight,manganese,0.0,0.0
2020,transport,fraction,rail_freight,neodymium,0.0,0.0
2020,transport,fraction,rail_freight,nickel,0.0,0.0
2020,transport,fraction,rail_freight,plastics,0.0,0.0
2020,transport,fraction,rail_freight,rubber,0.0,0.0
2020,transport,fraction,rail_freight,steel,0.85,1.039
2020,transport,fraction,rail_freight,titanium,0.0,0.0
2020,transport,fraction,rail_freight,wood,0.0,0.0
2020,transport,fraction,rail_hst,aluminium,0.226,0.277
2020,transport,fraction,rail_hst,cobalt,0.0,0.0
2020,transport,fraction,rail_hst,copper,0.01179,0.01441
2020,transport,fraction,rail_hst,glass,0.01665,0.02035
2020,transport,fraction,rail_hst,lead,0.0,0.0
2020,transport,fraction,rail_hst,lithium,0.0,0.0
2020,transport,fraction,rail_hst,manganese,0.0,0.0
2020,transport,fraction,rail_hst,neodymium,0.0,0.0
2020,transport,fraction,rail_hst,nickel,0.0,0.0
2020,transport,fraction,rail_hst,plastics,0.02952,0.03608
2020,transport,fraction,rail_hst,rubber,0.0,0.0
2020,transport,fraction,rail_hst,steel,0.537,0.656
2020,transport,fraction,rail_hst,titanium,0.0,0.0
2020,transport,fraction,rail_hst,wood,0.0,0.0
2020,transport,fraction,rail_reg,aluminium,0.283,0.346
2020,transport,fraction,rail_reg,cobalt,0.0,0.0
2020,transport,fraction,rail_reg,copper,0.00126,0.00154
2020,transport,fraction,rail_reg,glass,0.00333,0.00407
2020,transport,fraction,rail_reg,lead,0.0,0.0
