time,sector,unit,technology,material,min,max
2020,transport,fraction,bicycle,aluminium,0.414,0.506
2020,transport,fraction,bicycle,cobalt,0.0,0.0
2020,transport,fraction,bicycle,copper,0.0,0.0
2020,transport,fraction,bicycle,glass,0.0,0.0
2020,transport,fraction,bicycle,lead,0.0,0.0
2020,transport,fraction,bicycle,lithium,0.0,0.0
2020,transport,fraction,bicycle,manganese,0.0,0.0
2020,transport,fraction,bicycle,neodymium,0.0,0.0
2020,transport,fraction,bicycle,nickel,0.0,0.0
2020,transport,fraction,bicycle,plastics,0.108,0.132
2020,transport,fraction,bicycle,rubber,0.063,0.077
2020,transport,fraction,bicycle,steel,0.306,0.374
2020,transport,fraction,bicycle,titanium,0.0,0.0
2020,transport,fraction,bicycle,wood,0.0,0.0
2020,vehicles,fraction,HFT - BEV,aluminium,0.0324,0.0396
2020,vehicles,fraction,HFT - BEV,cobalt,0.0,0.0
2020,vehicles,fraction,HFT - BEV,copper,0.0045,0.0055
2020,vehicles,fraction,HFT - BEV,glass,0.0027,0.0033
2020,vehicles,fraction,HFT - BEV,lead,0.0,0.0
2020,vehicles,fraction,HFT - BEV,lithium,0.0,0.0
2020,vehicles,fraction,HFT - BEV,manganese,0.0,0.0
2020,vehicles,fraction,HFT - BEV,neodymium,0.0,0.0
2020,vehicles,fraction,HFT - BEV,nickel,0.0,0.0
2020,vehicles,fraction,HFT - BEV,plastics,0.0504,0.0616
2020,vehicles,fraction,HFT - BEV,rubber,0.0522,0.0638
2020,vehicles,fraction,HFT - BEV,steel,0.6651,0.8129
2020,vehicles,fraction,HFT - BEV,titanium,0.0,0.0
2020,vehicles,fraction,HFT - BEV,wood,0.0,0.0
2020,vehicles,fraction,HFT - FCV,aluminium,0.0324,0.0396
2020,vehicles,fraction,HFT - FCV,cobalt,0.0,0.0
2020,vehicles,fraction,HFT - FCV,copper,0.0045,0.0055
2020,vehicles,fraction,HFT - FCV,glass,0.0027,0.0033
2020,vehicles,fraction,HFT - FCV,lead,0.0,0.0
2020,vehicles,fraction,HFT - FCV,lithium,0.0,0.0
2020,vehicles,fraction,HFT - FCV,manganese,0.0,0.0
2020,vehicles,fraction,HFT - FCV,neodymium,0.0,0.0
2020,vehicles,fraction,HFT - FCV,nickel,0.0,0.0
2020,vehicles,fraction,HFT - FCV,plastics,0.0504,0.0616
2020,vehicles,fraction,HFT - FCV,rubber,0.0522,0.0638
2020,vehicles,fraction,HFT - FCV,steel,0.6651,0.8129
2020,vehicles,fraction,HFT - FCV,titanium,0.0,0.0
2020,vehicles,fraction,HFT - FCV,wood,0.0,0.0
2020,vehicles,fraction,HFT - HEV,aluminium,0.0324,0.0396
2020,vehicles,fraction,HFT - HEV,cobalt,0.0,0.0
2020,vehicles,fraction,HFT - HEV,copper,0.0045,0.0055
2020,vehicles,fraction,HFT - HEV,glass,0.0027,0.0033
2020,vehicles,fraction,HFT - HEV,lead,0.0,0.0
2020,vehicles,fraction,HFT - HEV,lithium,0.0,0.0
2020,vehicles,fraction,HFT - HEV,manganese,0.0,0.0
2020,vehicles,fraction,HFT - HEV,neodymium,0.0,0.0
2020,vehicles,fraction,HFT - HEV,nickel,0.0,0.0
2020,vehicles,fraction,HFT - HEV,plastics,0.0504,0.0616
2020,vehicles,fraction,HFT - HEV,rubber,0.0522,0.0638
