time,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1971,5098978.453624996,43236788.239011474,1965097.440153559,992885.3803782829,2974528.174103995,3560812.690343532,1259093.2721417185,1803980.2247099476,1073825.707940021,738585.0101231197,37607980.60332633,6754140.270014729,1128109.1410035265,3213968.322957585,1789592.3562821324,9325873.623235174,2439011.0399566903,6150363.906087502,688471.6008948033,8276117.806305512,2219255.539651447,1310838.3026221364,9012810.778838709,2965116.514343332,1629483.873912252,1574361.9731237344
1972,420299.01541473053,3258150.7109975647,153979.523321752,45530.62256539581,375233.92519792373,189317.5401067095,86168.42182378424,71293.33542292449,33281.65413070798,49862.6892909184,2870529.436887157,282615.6061415483,108709.19949418578,110695.58484885315,68961.39965962339,374883.6100220764,312038.0763327042,166258.74707374067,25409.52510753442,349988.4228409179,87351.49083922044,66479.10847251955,987179.8182723107,200234.84131595932,37963.665744621714,70879.04167747247
1973,627204.7041847334,3966968.7703539054,224040.09635593765,75664.89406207127,511540.5266020937,256599.58293310503,58651.353523312486,81625.10286588084,42201.6894938095,38753.44764691362,3343143.7467820095,460836.3371661187,119923.84540112157,273753.20722822496,154892.82345001723,624954.8048321641,200469.05656256524,171786.4094379559,48427.11240615259,367595.8944520413,132116.47078815277,77807.45313018802,1173432.3894504036,273144.5250063181,40137.02124174261,112888.76569076627
1974,701656.232158947,2734119.3162772134,193331.13681468338,50144.40857900054,403683.48460428655,264860.0885877694,77258.33751004716,81479.13865498359,43941.62756674876,39404.90894510521,2269729.4759329357,436941.9379524131,99307.06554649673,368463.85140499566,184550.19549943254,781079.9509344375,209811.4025846198,267473.04700728017,40160.05469000671,390894.43447361706,94172.40100612534,103086.98781888312,552662.333527631,274087.83923254954,69220.63112826264,78766.50327621882
1975,469963.90009631484,2770579.706709327,183066.34411417233,75338.9438302354,375227.9185150017,321280.77705826267,92572.1452892086,113092.59391110537,44570.449869294534,44353.24331485817,2368158.580447477,609620.3380908672,204972.85149759817,387041.49049256404,181355.83324034794,872350.1527856214,304488.48676860204,267001.85359066457,36848.363344644444,552333.3522630568,119857.32146970878,107735.66159635803,1015628.3535427204,261721.59214076403,87342.12049438836,134636.45922328188
1976,544033.9573023717,4200783.816455532,257729.88390431888,89047.04096082962,472979.1601504921,330973.60017874226,132444.53978051362,133488.55555617894,49312.533977863655,51196.69765283779,3416728.8414663333,590454.0065457316,167325.4008091215,358261.2098855809,154040.23169874543,762130.6185910688,554495.420426942,255903.28897882337,36947.964941291975,365420.43776588124,138243.2631662366,100461.9699474055,1091312.2028360805,269504.89455774945,87035.89942885435,114410.77285988822
1977,430298.0995645298,4166911.399834901,247719.8482991067,104396.46517833344,301850.8736628938,458842.86342087056,164414.29551318998,180224.55037004978,52689.51137465528,54594.09617973641,3213889.0109265554,635296.3744766242,251892.15639647722,328092.88369879173,136939.29604750223,614033.5610704713,781278.0537405979,296657.6439400899,77057.73921704222,626807.1814036078,169688.92694906704,129748.85553272658,1057063.5656441208,296639.5851530783,89863.2700178804,113201.80688000363
1978,464048.227409644,4781445.436851904,334524.66835785675,100603.72834278521,480613.36054809636,431808.54644555086,174647.3668108044,159886.8207725756,57016.47414845432,57079.64205710682,3136862.7555978145,571734.1666768832,164466.39855821372,289119.83241659333,85929.21568172016,495838.9268705415,683917.9850039328,347896.65265403443,110414.10056678607,501077.2628733767,168715.03146435562,152856.10469240198,1218835.8881441408,258151.68895329698,126436.61584854782,108884.33020932088
1979,716121.594940874,4483375.58528898,492389.66756975785,79968.89246834817,546421.063890906,539483.2184681186,152299.04600538235,96322.83880936052,51126.81452566247,70622.17449359197,3523535.7237446266,525989.2742175288,95344.65519827342,224164.73396939188,131756.24954958342,767491.3700857712,629001.1790409682,384201.9848563044,142005.20377664533,584360.6094485936,230054.30005656404,154077.00422873555,1287364.7548655022,287204.1141353313,140710.8031289719,81374.81210585801
1980,584038.0326547329,3357731.5465654046,474573.4321805051,77245.24017468478,616620.2750166103,541132.9859298965,181484.54340652624,153817.37164043257,66835.69881603812,85841.59759719126,2879263.1933752224,391707.56373053556,107080.69091642264,251729.80004549955,169267.4740988429,986105.5292301012,529128.7282779133,350704.8824164093,46054.36869303181,480672.8886760827,227937.63757243473,193738.17109317824,1000903.2460184568,281179.3910770938,126827.68223679223,92832.68426688218
1981,464363.08473550354,3973188.4993109414,527585.7752825437,92892.44980970406,304572.9919304937,479837.05057666317,221627.16398809568,145275.40102302143,59165.083697996546,83048.54583865446,2890202.9002169156,333883.9567284938,97870.17565843131,194155.5299168784,144742.0692716864,696085.6307783659,660874.020851135,419529.9387358921,228347.58852190874,483828.27735810506,198913.9314719483,202711.45734645863,992543.1533463869,310725.96376625553,127529.48812157047,162183.21260455775
1982,313907.7270560791,3409992.1928034034,211970.1295369776,80288.11862652599,407228.2698116678,395501.9181068886,220207.2928429452,149784.38800839617,66977.85901505055,74410.40291030171,3215774.233451253,374892.44272995536,102803.80560638539,183795.9720677129,139641.3521580141,654806.2548284297,892785.8395657312,341933.5370302319,111180.9090413679,569790.1783841203,225552.52665111402,196041.36999714506,840365.8258853047,353599.7466757042,158011.74640887408,140467.96172673456
